unit_label,status,provider,provider_provenance,package_id,branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,win_rate_pct,sharpe,total_profit_pct,trade_count,evidence_class,quality_weight,allowed_feedback_targets
TMVP ema_rsi_persistence_long_v1 - yfinance/YF SPY 1h,completed,yfinance/YF,yfinance/YF SPY 1h,tmvp-ema_rsi_persistence_long_v1-yfinance-yf-1h-v1,TrendExpansion -> MomentumContinuation -> ema_rsi_persistence -> ema_rsi_persistence_long_v1,TrendExpansion,MomentumContinuation,ema_rsi_persistence,ema_rsi_persistence_long_v1,37.9032,0.1144,1.76,124,market_factor_weak_positive_sample,0_for_bbn_catboost_execution_tree_learning,branch_nursery_profit_factor_hypothesis_filter_design_only
TMVP momentum_failure_guard_v1 - IBKR SPY 1h,completed,IBKR,IBKR SPY 1h,tmvp-momentum_failure_guard_v1-ibkr-1h-v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,34.7368,0.1249,0.31,95,market_factor_weak_positive_sample,0_for_bbn_catboost_execution_tree_learning,branch_nursery_profit_factor_hypothesis_filter_design_only
TMVP compression_breakout_followthrough_long_v1 - yfinance/YF SPY 1h,completed,yfinance/YF,yfinance/YF SPY 1h,tmvp-compression_breakout_followthrough_long_v1-yfinance-yf-1h-v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,33.3333,0.0257,0.17,3,market_factor_weak_positive_sample,0_for_bbn_catboost_execution_tree_learning,branch_nursery_profit_factor_hypothesis_filter_design_only
TMVP volume_impulse_reclaim_long_v1 - yfinance/YF SPY 1h,completed,yfinance/YF,yfinance/YF SPY 1h,tmvp-volume_impulse_reclaim_long_v1-yfinance-yf-1h-v1,TrendExpansion -> MomentumContinuation -> volume_impulse_pullback -> volume_impulse_reclaim_long_v1,TrendExpansion,MomentumContinuation,volume_impulse_pullback,volume_impulse_reclaim_long_v1,31.5789,-0.4083,-7.57,133,market_factor_negative_sample,0_for_bbn_catboost_execution_tree_learning,profit_factor_hypothesis_filter_design_branch_nursery_only
TMVP ema_rsi_persistence_long_v1 - IBKR SPY 1h,completed,IBKR,IBKR SPY 1h,tmvp-ema_rsi_persistence_long_v1-ibkr-1h-v1,TrendExpansion -> MomentumContinuation -> ema_rsi_persistence -> ema_rsi_persistence_long_v1,TrendExpansion,MomentumContinuation,ema_rsi_persistence,ema_rsi_persistence_long_v1,30.0752,-3.0662,-3.71,133,market_factor_negative_sample,0_for_bbn_catboost_execution_tree_learning,profit_factor_hypothesis_filter_design_branch_nursery_only
TMVP momentum_failure_guard_v1 - yfinance/YF SPY 1h,completed,yfinance/YF,yfinance/YF SPY 1h,tmvp-momentum_failure_guard_v1-yfinance-yf-1h-v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,28.1553,-0.6538,-14.51,103,market_factor_negative_sample,0_for_bbn_catboost_execution_tree_learning,profit_factor_hypothesis_filter_design_branch_nursery_only
TMVP volume_impulse_reclaim_long_v1 - IBKR SPY 1h,completed,IBKR,IBKR SPY 1h,tmvp-volume_impulse_reclaim_long_v1-ibkr-1h-v1,TrendExpansion -> MomentumContinuation -> volume_impulse_pullback -> volume_impulse_reclaim_long_v1,TrendExpansion,MomentumContinuation,volume_impulse_pullback,volume_impulse_reclaim_long_v1,22.8571,-1.1218,-4.28,70,market_factor_negative_sample,0_for_bbn_catboost_execution_tree_learning,profit_factor_hypothesis_filter_design_branch_nursery_only
TMVP volume_impulse_reclaim_long_v1 - Binance BTCUSDT 1h,completed,Binance,Binance BTCUSDT 1h,tmvp-volume_impulse_reclaim_long_v1-binance-1h-v1,TrendExpansion -> MomentumContinuation -> volume_impulse_pullback -> volume_impulse_reclaim_long_v1,TrendExpansion,MomentumContinuation,volume_impulse_pullback,volume_impulse_reclaim_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP volume_impulse_reclaim_long_v1 - Bybit BTCUSDT 1h,completed,Bybit,Bybit BTCUSDT 1h,tmvp-volume_impulse_reclaim_long_v1-bybit-1h-v1,TrendExpansion -> MomentumContinuation -> volume_impulse_pullback -> volume_impulse_reclaim_long_v1,TrendExpansion,MomentumContinuation,volume_impulse_pullback,volume_impulse_reclaim_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP volume_impulse_reclaim_long_v1 - Kraken XBTUSD 1h,completed,Kraken,Kraken XBTUSD 1h,tmvp-volume_impulse_reclaim_long_v1-kraken-1h-v1,TrendExpansion -> MomentumContinuation -> volume_impulse_pullback -> volume_impulse_reclaim_long_v1,TrendExpansion,MomentumContinuation,volume_impulse_pullback,volume_impulse_reclaim_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
