axis,bucket,positive_spoof_support,invalid_flip_candidate_support,required_valid_normal_control_support,valid_normal_control_support_observed,valid_normal_control_shortfall,decision
contract_family,energy,2657,793,73,0,73,still_short_no_public_source_owned_controls
contract_family,equity_index,614,285,73,0,73,still_short_no_public_source_owned_controls
contract_family,metals,1633,388,73,0,73,still_short_no_public_source_owned_controls
contract_family,volatility_index,278,87,73,0,73,still_short_no_public_source_owned_controls
venue_exact,CFE/CBOE Futures Exchange,278,87,73,0,73,still_short_no_public_source_owned_controls
venue_exact,CME Globex,614,285,73,0,73,still_short_no_public_source_owned_controls
venue_exact,COMEX/CME Globex,1633,388,73,0,73,still_short_no_public_source_owned_controls
venue_exact,NYMEX/CME Globex,2657,793,73,0,73,still_short_no_public_source_owned_controls
symbol_exact,Crude Oil futures,1101,324,73,0,73,still_short_no_public_source_owned_controls
symbol_exact,E-mini S&P 500 futures,614,285,73,0,73,still_short_no_public_source_owned_controls
symbol_exact,High-Grade Copper futures,1633,388,73,0,73,still_short_no_public_source_owned_controls
symbol_exact,Natural Gas futures,1556,469,73,0,73,still_short_no_public_source_owned_controls
symbol_exact,VIX futures,278,87,73,0,73,still_short_no_public_source_owned_controls
chronological_year,2011,1633,388,73,0,73,still_short_no_public_source_owned_controls
chronological_year,2012,2657,793,73,0,73,still_short_no_public_source_owned_controls
chronological_year,2013,542,187,73,0,73,still_short_no_public_source_owned_controls
chronological_year,2014,350,185,73,0,73,still_short_no_public_source_owned_controls
