parent,required_files_found,required_files_missing,complete_exact_required_package,under_required_root
/private/tmp/ict-engine-direct-manipulation-row-intake,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-oystacher-exhibit-a-probe,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-oystacher-exhibit-a-row-materialization-v1,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-oystacher-probe,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-oystacher-probe2,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-r6-oystacher-candidate/raw,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-r6-oystacher-exact-date-candidate-extract-v1,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-r6-oystacher-exhibit-a-public-acquisition-probe-v1/raw,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-r6-oystacher-khara-salim-positive-row-candidate-screen-v1/raw,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-r6-oystacher-large-source-acquisition-screen-v1,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-r6-oystacher-positive-row-candidate-screen-v1/raw,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-engine-r6-oystacher-public-normal-control-source-probe-v1,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-oystacher-govinfo-vB0tdv,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/private/tmp/ict-oystacher-govinfo-yAc5hD,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-direct-manipulation-row-intake,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-oystacher-exhibit-a-probe,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-oystacher-exhibit-a-row-materialization-v1,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-oystacher-probe,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-oystacher-probe2,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-r6-oystacher-candidate/raw,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-r6-oystacher-exact-date-candidate-extract-v1,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-r6-oystacher-exhibit-a-public-acquisition-probe-v1/raw,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-r6-oystacher-khara-salim-positive-row-candidate-screen-v1/raw,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-r6-oystacher-large-source-acquisition-screen-v1,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-r6-oystacher-positive-row-candidate-screen-v1/raw,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-engine-r6-oystacher-public-normal-control-source-probe-v1,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-oystacher-govinfo-vB0tdv,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
/tmp/ict-oystacher-govinfo-yAc5hD,,direct_manipulation_matched_controls.csv;direct_manipulation_positive_rows.csv;direct_manipulation_provenance.json,False,False
