surface,query,returncode,stderr,stdout_head
kaggle,5m market regime,0,,"ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
thisathdamiru/bybit-multi-crypto-historical-data-2020-2026,Bybit Full-Lifetime Multi-Crypto Historical Data,18264837966,2026-05-09 10:41:59.257000,116,1,0.7647059"
kaggle,intraday regime label,0,,"ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
thisathdamiru/bybit-multi-crypto-historical-data-2020-2026,Bybit Full-Lifetime Multi-Crypto Historical Data,18264837966,2026-05-09 10:41:59.257000,116,1,0.7647059
toocool69/synthetic-stock-price-data-1m-instances,Synthetic Stock Price Data (1M instances),40833341,2025-11-25 16:56:47,9,0,0.9411765"
kaggle,crypto market regime 5m,0,,"ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
thisathdamiru/bybit-multi-crypto-historical-data-2020-2026,Bybit Full-Lifetime Multi-Crypto Historical Data,18264837966,2026-05-09 10:41:59.257000,116,1,0.7647059"
kaggle,BTCUSD HMM market regimes,0,,No datasets found
huggingface,5m market regime,0,,[]
huggingface,intraday regime label,0,,[]
huggingface,crypto market regime 5m,0,,[]
huggingface,BTCUSD HMM market regimes,0,,[]
huggingface,multi timeframe market regimes,0,,"[{""_id"": ""68ae1a3e12d812aeec001db6"", ""id"": ""akashkumar5/Multi_Timeframe_Market_Regimes_HMM6_BTCUSD"", ""author"": ""akashkumar5"", ""disabled"": false, ""gated"": false, ""lastModified"": ""2025-12-13T08:25:14.000Z"", ""likes"": 1, ""trendingScore"": 0, ""private"": false, ""sha"": ""ad173569abc3baed92d0a1261ec003368706b761"", ""description"": ""\n\t\n\t\t\n\t\tMulti‑Timeframe Market Regimes (HMM‑6)\n\t\n\n\n\t\n\t\t\n\t\tDataset Summary\n\t\n\nThis dataset provides labeled crypto market regimes derived from multi-timeframe (5m, 15m) OHLCV data and technical indicators.\nMarket regimes are inferred using a 6-state Hidden Markov Model (HMM).\nThe dataset is suitable for market regime detection, regime-aware modeling, and sequence modeling baselines (LSTM / Transformers).\nNo future leakage: all indicators are computed using information available up to the… See the full description on the dataset page: https://huggingface.co/datasets/akashkumar5/Multi_Timeframe_Market_Regimes_HMM6_BTCUSD."", ""downloads"": 10, ""tags"": [""license:cc-by-4.0"", ""size_categories:100K<n<1M"", ""format:parquet"", ""modality:tabular"", ""modality:text"", ""modality:timeseries"", ""library:datasets"", ""library:pandas"", ""library:mlcroissant"", ""library:polars"", ""region:us"", ""datasets"", ""finance"", ""timeseries"", ""tabular"", ""classification"", ""market-regime"", ""technical-indicators"", ""bitcoin""], ""createdAt"": ""2025-08-26T20:34:06.000Z"", ""key"": """"}]"
github,"""intraday market regime"" labels",0,,"[]
"
github,"""market regime"" ""5m"" labels",0,,"[]
"
github,"""regime label"" ""BTCUSD""",0,,"[]
"
github,"""multi timeframe market regimes""",0,,"[{""description"":""CryptoMarket Regime Classifier is a machine learning framework that detects market regimes (Trend, Range, Squeeze, etc.) in crypto markets using multi-timeframe data and Hidden Markov Models. The project provides plug-and-play labeled datasets and trained models (HMM + LSTM) for downstream strategy development, position sizing, and risk management."",""fullName"":""akash-kumar5/CryptoMarket_Regime_Classifier"",""stargazersCount"":36,""updatedAt"":""2026-05-11T05:31:54Z"",""url"":""https://github.com/akash-kumar5/CryptoMarket_Regime_Classifier""},{""description"":""📈 Bitcoin trading system using Hidden Markov Models for market regime detection. Real-time signals, multi-timeframe analysis & interactive regime visualization."",""fullName"":""alfredang/hmm-ai-trader"",""stargazersCount"":4,""updatedAt"":""2026-03-27T01:03:11Z"",""url"":""https://github.com/alfredang/hmm-ai-trader""},{""description"":""Adaptive Trading Strategy with Market Regime Detection and Multi-Timeframe Analysis"",""fullName"":""rishitmavani/trading-strategy"",""stargazersCount"":0,""updatedAt"":""2026-02-11T09:37:57Z"",""url"":""https://github.com/rishitmavani/trading-strategy""},{""description"":""Do multi-timeframe regime indicators capture market structure, or just reshape noise into patterns?"",""fullName"":""EmreSto/signal-or-noise"",""stargazersCount"":0,""updatedAt"":""2026-04-09T18:58:17Z"",""url"":""https://github.com/EmreSto/signal-or-noise""},{""description"":""Binance Futures scalping bot — dynamic watchlist, multi-timeframe signals, ATR-based TP/SL, market regime detection"",""fullName"":""kiattisakph/crypto-scalp-bot"",""stargazersCount"":1,""updatedAt"":""2026-05-11T06:44:12Z"",""url"":""https://github.com/kiattisakph/crypto-scalp-bot""},{""description"":""A machine learning pipeline that detects and predicts crypto market regimes using multi-timeframe OHLCV data and a two-stage ML approach (HMM → LSTM) for smarter trading strategy adaptation."",""fullName"":""codestreamhubio/crypto-regime-insight-engine"",""stargazersCount"":0,""updatedAt"":""2026-02-06T17:18:01Z"
