container,member,size,kind,class,hits,headers
/Users/thrill3r/Downloads/Tomac/70wr2.49rrr5.84pf62.93e.csv,,1233593,csv,unknown_context,,entry|sl|tp1|tp2|dir|type|entry_time|tp1_hit|exit|reason|pnl
/Users/thrill3r/Downloads/Tomac/77wr6.99pf2rrr.csv,,1237914,csv,unknown_context,,Entry|Exit|Type|Result|PnL
/Users/thrill3r/Downloads/Tomac/80wr8pf1.97rrr.csv,,504899,csv,unknown_context,,entry_time|exit_time|type|res|pnl
/Users/thrill3r/Downloads/Tomac/82wr1.5rrr7.5pf.csv,,156121,csv,unknown_context,,Entry Time|Exit Time|Direction|Entry|Exit|Net PnL|Reason
/Users/thrill3r/Downloads/Tomac/85wr12.9pf2.21rrr.csv,,931679,csv,unknown_context,,Entry Time|Exit Time|Net PnL|Type|Reason
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_final.csv,,10188,csv,unknown_context,,Net PnL|Result|Direction
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_results.csv,,2801,csv,strategy_or_backtest_context,,Net PnL|Result
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_v2.csv,,4586,csv,unknown_context,,Time|Direction|Net PnL|Result|Entry|Exit
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_v3.csv,,57686,csv,unknown_context,,Time|Direction|Net PnL|Result|Entry|Exit
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_EUR_final.csv,,63283,csv,unknown_context,,Net PnL|Result|Direction
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_NQ_final.csv,,3287,csv,unknown_context,,Net PnL|Result|Direction
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_NQ_results.csv,,1062,csv,strategy_or_backtest_context,,Net PnL|Result
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_XAU_final.csv,,4293,csv,unknown_context,,Net PnL|Result|Direction
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_YM_final.csv,,32722,csv,unknown_context,,Net PnL|Result|Direction
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_all_contracts_summary.csv,,113,csv,strategy_or_backtest_context,,Contract|Trades|WinRate%|RRR|ProfitFactor|TotalPnL
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_balanced.csv,,20849,csv,unknown_context,,Time|Net PnL|Result|Direction
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_final_summary.csv,,216,csv,strategy_or_backtest_context,,Contract|Trades|WinRate%|RRR|ProfitFactor|TotalPnL
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_pro_results.csv,,501,csv,strategy_or_backtest_context,,Time|Net PnL|Result|Direction|Entry|Exit
/Users/thrill3r/Downloads/Tomac/92w0.5rrrr5.54pf.csv,,337152,csv,unknown_context,,Entry Time|Exit Time|Net PnL|Type|Reason
/Users/thrill3r/Downloads/Tomac/98wr0.8rrr41.07pf.csv,,1272927,csv,unknown_context,,Time|Net PnL|Result
/Users/thrill3r/Downloads/Tomac/GLBX-20260404-NQ.zip,condition.json,594696,zip_member,unknown_context,,
/Users/thrill3r/Downloads/Tomac/GLBX-20260404-NQ.zip,metadata.json,683,zip_member,unknown_context,,
/Users/thrill3r/Downloads/Tomac/GLBX-20260404-NQ.zip,glbx-mdp3-20100606-20260403.ohlcv-1m.csv,787648781,zip_member,ohlcv_or_bar_context,close|high|low|open|volume,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol
/Users/thrill3r/Downloads/Tomac/GLBX-20260404-NQ.zip,manifest.json,1463,zip_member,unknown_context,,
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/condition.json,,563507,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/glbx-mdp3-20100606-20260403.ohlcv-1m.csv,,927819291,csv,ohlcv_or_bar_context,close|high|low|open|volume,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/manifest.json,,2342,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/metadata.json,,683,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv,,4267811,csv,symbology_context,instrument_id|raw_symbol,raw_symbol|instrument_id|date
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.json,,56948,json,symbology_context,,
/Users/thrill3r/Downloads/Tomac/es future 2021-2025.zip,condition.json,563507,zip_member,unknown_context,,
/Users/thrill3r/Downloads/Tomac/es future 2021-2025.zip,metadata.json,683,zip_member,unknown_context,,
/Users/thrill3r/Downloads/Tomac/es future 2021-2025.zip,symbology.json,56948,zip_member,symbology_context,,
/Users/thrill3r/Downloads/Tomac/es future 2021-2025.zip,symbology.csv,4267811,zip_member,symbology_context,instrument_id|raw_symbol,raw_symbol|instrument_id|date
/Users/thrill3r/Downloads/Tomac/es future 2021-2025.zip,glbx-mdp3-20110101-20251231.ohlcv-1m.csv,881122398,zip_member,ohlcv_or_bar_context,close|high|low|open|volume,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol
/Users/thrill3r/Downloads/Tomac/es future 2021-2025.zip,manifest.json,2342,zip_member,unknown_context,,
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/condition.json,,413267,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/glbx-mdp3-20150101-20251231.ohlcv-1m.csv,,539544466,csv,ohlcv_or_bar_context,close|high|low|open|volume,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/manifest.json,,2343,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/metadata.json,,683,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv,,8273022,csv,symbology_context,instrument_id|raw_symbol,raw_symbol|instrument_id|date
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.json,,159781,json,symbology_context,,
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025.zip,condition.json,413267,zip_member,unknown_context,,
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025.zip,metadata.json,683,zip_member,unknown_context,,
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025.zip,symbology.json,159781,zip_member,symbology_context,,
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025.zip,symbology.csv,8273022,zip_member,symbology_context,instrument_id|raw_symbol,raw_symbol|instrument_id|date
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025.zip,glbx-mdp3-20150101-20251231.ohlcv-1m.csv,539544466,zip_member,ohlcv_or_bar_context,close|high|low|open|volume,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025.zip,manifest.json,2343,zip_member,unknown_context,,
/Users/thrill3r/Downloads/Tomac/full_backtest_ES.csv,,2087525,csv,strategy_or_backtest_context,,Time|Net PnL|Result|Direction|Entry|Exit|Year
/Users/thrill3r/Downloads/Tomac/full_backtest_EUR.csv,,1056173,csv,strategy_or_backtest_context,,Time|Net PnL|Result|Direction|Entry|Exit
/Users/thrill3r/Downloads/Tomac/full_backtest_NQ.csv,,1678636,csv,strategy_or_backtest_context,,Time|Net PnL|Result|Direction|Entry|Exit
/Users/thrill3r/Downloads/Tomac/full_backtest_XAU.csv,,396476,csv,strategy_or_backtest_context,,Time|Net PnL|Result|Direction|Entry|Exit
/Users/thrill3r/Downloads/Tomac/full_backtest_YM.csv,,1542896,csv,strategy_or_backtest_context,,Time|Net PnL|Result|Direction|Entry|Exit
/Users/thrill3r/Downloads/Tomac/full_backtest_summary.csv,,197,csv,strategy_or_backtest_context,,Contract|Years|Trades|WinRate%|RRR|ProfitFactor|TotalPnL|Passed
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/condition.json,,187797,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/databento.rar,,102402878,rar,unknown_context,,
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/gc_201101_202604.csv,,401491646,csv,ohlcv_or_bar_context,close|high|low|open|volume,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/glbx-mdp3-20210106-20260105.ohlcv-1m.csv,,585690521,csv,ohlcv_or_bar_context,close|high|low|open|volume,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/manifest.json,,2345,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/metadata.json,,683,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv,,30984640,csv,symbology_context,instrument_id|raw_symbol,raw_symbol|instrument_id|date
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.json,,1324648,json,symbology_context,,
/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/es.continuous-15m.json,,7786235,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/eur.continuous-15m.json,,4256273,json,unknown_context,,
/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/nq-structure-ict-mutation.json,,599,json,unknown_context,,
