requirement,status,evidence,gap
Use the named Board A markdown and preserve multi-agent coordination,pass,docs/plans/2026-05-10-actionable-regime-confidence-todo.md; sha256_at_generation=dcab39cd3fd8009d256092a3f5d7324d9085ce5de42a72ecca124a63a3ca85e5,none
Every MainRegimeV2 regime reaches accepted calibrated confidence >=95%,blocked,"021256 audit and 022005 TSIE dry run both report accepted_rows_added=0, new_confidence_gate=false, strict_full_objective_achieved=false",No accepted Bull/Bear/Sideways/Crisis packet at >=95%; TSIE is candidate-only.
Each accepted regime has its own qualifying condition,blocked,022005 maps Bear/Bull/Sideways support but does not create accepted rows; Crisis absent,No accepted per-regime qualifying_condition packet exists.
Validate accepted confidence across other markets,blocked,022005 provides IDX support only and explicitly requires cross-market transfer; R6 owner-export controls remain absent,No accepted cross-market transfer/calibration artifact.
Validate accepted confidence across other cycles/timeframes,blocked,"r3={'path': '/tmp/ict-engine-native-subhour-source-label-intake', 'present': False, 'kind': 'absent', 'file_count': 0}; r5={'path': '/tmp/ict-engine-source-panel-recency-extension', 'present': False, 'kind': 'absent', 'file_count': 0}; TSIE hours are hourly/session only",Native sub-hour and recency-extension roots remain absent; no accepted cross-timeframe packet.
Record IBKR/TradingViewRemix/yfinance/Kraken provider context,partial,"021456 maps providers: yfinance ready, TradingViewRemix/MCP not ready, IBKR not ready as market-data provider, Kraken partial",Provider context is read-only/non-promoting and does not supply source/control roots.
Operate Auto-Quant on real artifacts,partial,"021808 Auto-Quant readiness: bootstrap_exit=0, prepare_exit=1, after_prepare_status=dependency_ready_data_missing, data_ready=False","Dependency readiness improved, but prepare failed and data_ready=false; no promotion evidence."
Operate filter/Pre-Bayes/BBN/CatBoost/path-ranking/execution tree,partial,"021456 runtime chain: pre_bayes_confidence=0.5822867835012198, policy_matched_rows=0, execution_actionable=False, export_mature_rows=0",Surfaces are callable/read-only only; no accepted downstream promotion rerun is allowed.
R6 has source-owned normal controls or explicit FLIP approval,blocked,"r6={'path': '/tmp/ict-engine-board-a-r6-owner-export-v1', 'present': False, 'kind': 'absent', 'file_count': 0}; legacy_direct={'path': '/tmp/ict-engine-direct-manipulation-row-intake', 'present': True, 'kind': 'dir', 'file_count': 3}",Owner-export root absent; legacy direct rows are explicitly non-promoting; FLIP approval false.
Canonical merge and downstream promotion rerun are allowed,blocked,latest_audit canonical=False; tsie canonical=False; provider canonical=False,Canonical merge and downstream rerun remain false across current evidence.
Goal can be marked complete,blocked,strict_full_objective_achieved=false and update_goal=false in current evidence,Objective is not achieved.
