label,timestamp_or_date,symbol,source_owner,market_family,split_role,timeframe,source_confidence,source_row_id
Bull,2000-01-21,AMD,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:445:AMD:2000-01-21:Bull
Bull,2000-01-21,BA,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:447:BA:2000-01-21:Bull
Bull,2000-01-25,AMD,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:513:AMD:2000-01-25:Bull
Bull,2000-01-25,INTC,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:525:INTC:2000-01-25:Bull
Bull,2000-01-25,^RUT,source-owned-stock-market-regimes-2000-2026,us_index,heldout_market,1d,1.0000000000,stock_market_regimes_2000_2026:545:^RUT:2000-01-25:Bull
Bull,2000-01-26,GS,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:557:GS:2000-01-26:Bull
Bull,2000-01-26,SBUX,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:568:SBUX:2000-01-26:Bull
Bull,2000-01-26,^RUT,source-owned-stock-market-regimes-2000-2026,us_index,heldout_market,1d,1.0000000000,stock_market_regimes_2000_2026:579:^RUT:2000-01-26:Bull
Bull,2000-01-27,INTC,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:593:INTC:2000-01-27:Bull
Bull,2000-01-27,TMO,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:604:TMO:2000-01-27:Bull
Bull,2000-01-27,^RUT,source-owned-stock-market-regimes-2000-2026,us_index,heldout_market,1d,1.0000000000,stock_market_regimes_2000_2026:613:^RUT:2000-01-27:Bull
Bull,2000-01-28,SBUX,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:636:SBUX:2000-01-28:Bull
Sideways,2000-01-21,AAPL,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:444:AAPL:2000-01-21:Sideways
Sideways,2000-01-21,BAC,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:448:BAC:2000-01-21:Sideways
Sideways,2000-01-21,COP,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:450:COP:2000-01-21:Sideways
Sideways,2000-01-21,CSCO,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:451:CSCO:2000-01-21:Sideways
Sideways,2000-01-21,CVX,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:452:CVX:2000-01-21:Sideways
Sideways,2000-01-21,DIS,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:453:DIS:2000-01-21:Sideways
Sideways,2000-01-21,GE,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:454:GE:2000-01-21:Sideways
Sideways,2000-01-21,GS,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:455:GS:2000-01-21:Sideways
Sideways,2000-01-21,HD,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:456:HD:2000-01-21:Sideways
Sideways,2000-01-21,INTC,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:457:INTC:2000-01-21:Sideways
Sideways,2000-01-21,JNJ,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:458:JNJ:2000-01-21:Sideways
Sideways,2000-01-21,JPM,source-owned-stock-market-regimes-2000-2026,us_single_stock,calibration,1d,1.0000000000,stock_market_regimes_2000_2026:459:JPM:2000-01-21:Sideways
