candidate_source,run_id,source_row_id,trade_date,symbol,venue_or_market_center,matched_negative_group_id,candidate_row_status
sarao,20260511T225505-codex-r6-sarao-positive-row-candidate-screen-v1,cftc_sarao_20100504_layering_sell_600_1173_25,2010-05-04,E-mini S&P 500 futures,CME Globex,cftc_sarao_20100504_layering_110036,proposed_sidecar_not_shared_intake
sarao,20260511T225505-codex-r6-sarao-positive-row-candidate-screen-v1,cftc_sarao_20100504_layering_sell_600_1173_50,2010-05-04,E-mini S&P 500 futures,CME Globex,cftc_sarao_20100504_layering_110036,proposed_sidecar_not_shared_intake
sarao,20260511T225505-codex-r6-sarao-positive-row-candidate-screen-v1,cftc_sarao_20100504_layering_sell_600_1173_75,2010-05-04,E-mini S&P 500 futures,CME Globex,cftc_sarao_20100504_layering_110036,proposed_sidecar_not_shared_intake
sarao,20260511T225505-codex-r6-sarao-positive-row-candidate-screen-v1,cftc_sarao_20100504_layering_sell_600_1174_00,2010-05-04,E-mini S&P 500 futures,CME Globex,cftc_sarao_20100504_layering_110036,proposed_sidecar_not_shared_intake
sarao,20260511T225505-codex-r6-sarao-positive-row-candidate-screen-v1,cftc_sarao_20140303_buy_2000_lot_spoof_second,2014-03-03,E-mini S&P 500 futures,CME Globex,cftc_sarao_20140303_2000_lot_spoof,proposed_sidecar_not_shared_intake
sarao,20260511T225505-codex-r6-sarao-positive-row-candidate-screen-v1,cftc_sarao_20130930_buy_2000_lot_spoof_third,2013-09-30,E-mini S&P 500 futures,CME Globex,cftc_sarao_20130930_2000_lot_spoof,proposed_sidecar_not_shared_intake
nowak_smith,20260511T233454-codex-r6-nowak-smith-positive-row-candidate-screen-v1,cftc_nowak_smith_20130506_nowak_gold_sell_layered_spoof,2013-05-06,"Gold Futures contract, June 2013 expiry",COMEX/CME Globex,cftc_nowak_smith_20130506_nowak_gold_sell_layered,proposed_sidecar_not_shared_intake
nowak_smith,20260511T233454-codex-r6-nowak-smith-positive-row-candidate-screen-v1,cftc_nowak_smith_20131007_nowak_gold_buy_layered_spoof,2013-10-07,"Gold Futures contract, December 2013 expiry",COMEX/CME Globex,cftc_nowak_smith_20131007_nowak_gold_buy_layered,proposed_sidecar_not_shared_intake
nowak_smith,20260511T233454-codex-r6-nowak-smith-positive-row-candidate-screen-v1,cftc_nowak_smith_20140303_nowak_gold_buy_layered_spoof,2014-03-03,"Gold Futures contract, April 2014 expiry",COMEX/CME Globex,cftc_nowak_smith_20140303_nowak_gold_buy_layered,proposed_sidecar_not_shared_intake
nowak_smith,20260511T233454-codex-r6-nowak-smith-positive-row-candidate-screen-v1,cftc_nowak_smith_20130125_smith_silver_buy_layered_spoof,2013-01-25,"Silver Futures contract, March 2013 expiry",COMEX/CME Globex,cftc_nowak_smith_20130125_smith_silver_buy_layered,proposed_sidecar_not_shared_intake
