root,path,matched_terms,disposition,ready_source_owned_control_candidate,size_bytes
/tmp,/tmp/20260512T000803-codex-r6-jpm-cbot-treasury-control-uplift-v1.staging/positive_spoofing_layering_rows.csv,spoof;spoofing,local_candidate_not_classified_as_ready_owner_control,False,62121
/tmp,/tmp/courtlistener_oystacher_docket_exact.json,oystacher,local_candidate_not_classified_as_ready_owner_control,False,58
/tmp,/tmp/courtlistener_oystacher_dockets.json,oystacher,local_candidate_not_classified_as_ready_owner_control,False,58
/tmp,/tmp/current_state_audit_after_v62_owner_export_v1.final.jsoncheck,owner_export,prior_readback_or_request_artifact_not_owner_export_data,False,16999
/tmp,/tmp/current_state_audit_after_v62_owner_export_v1.jsoncheck,owner_export,prior_readback_or_request_artifact_not_owner_export_data,False,17685
/tmp,/tmp/ict-engine-cftc-oystacher-order.pdf,oystacher,source_trace_file_not_verifier_native_control_export,False,147602
/tmp,/tmp/ict-engine-direct-manipulation-row-intake.lock,manipulation,historical_intake_manifest_artifact_not_new_owner_export,False,0
/tmp,/tmp/ict-engine-direct-manipulation-row-intake/positive_spoofing_layering_rows.csv,spoof;spoofing,historical_intake_manifest_artifact_not_new_owner_export,False,58924
/tmp,/tmp/ict-engine-justia-oystacher-headers.txt,oystacher,source_trace_file_not_verifier_native_control_export,False,2186
/tmp,/tmp/ict-engine-justia-oystacher.html,oystacher,source_trace_file_not_verifier_native_control_export,False,5618
/tmp,/tmp/ict-engine-oystacher-exhibit-a-probe/oystacher_exhibit_a.pdf,oystacher,isolated_or_same_exhibit_artifact_not_source_owned_normal_controls,False,1132071
/tmp,/tmp/ict-engine-oystacher-exhibit-a-row-materialization-v1/gov.uscourts.ilnd.316889.1.1.oystacher_exhibit_a.pdf,oystacher,isolated_or_same_exhibit_artifact_not_source_owned_normal_controls,False,1132071
/tmp,/tmp/ict-engine-oystacher-exhibit-a.pdf,oystacher,isolated_or_same_exhibit_artifact_not_source_owned_normal_controls,False,1132071
/tmp,/tmp/ict-engine-oystacher-probe/oystacher.pdf,oystacher,source_trace_file_not_verifier_native_control_export,False,2553330
/tmp,/tmp/ict-engine-oystacher-probe/oystacher.txt,oystacher,source_trace_file_not_verifier_native_control_export,False,59124
/tmp,/tmp/ict-engine-oystacher-probe2/oystacher.pdf,oystacher,source_trace_file_not_verifier_native_control_export,False,2553330
/tmp,/tmp/ict-engine-oystacher-probe2/oystacher.txt,oystacher,source_trace_file_not_verifier_native_control_export,False,116919
/tmp,/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake/positive_spoofing_layering_rows.csv,spoof;spoofing,isolated_or_same_exhibit_artifact_not_source_owned_normal_controls,False,58924
/tmp,/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake/positive_spoofing_layering_rows.csv,spoof;spoofing,isolated_or_same_exhibit_artifact_not_source_owned_normal_controls,False,58924
/tmp,/tmp/ict-engine-r6-oystacher-exhibit-a-public-acquisition-probe-v1/raw/cftc_oystacher_complaint.headers.txt,oystacher,isolated_or_same_exhibit_artifact_not_source_owned_normal_controls,False,793
/tmp,/tmp/ict-engine-r6-oystacher-exhibit-a-public-acquisition-probe-v1/raw/cftc_oystacher_complaint.pdf,oystacher,isolated_or_same_exhibit_artifact_not_source_owned_normal_controls,False,2553330
/tmp,/tmp/ict-engine-r6-oystacher-exhibit-a-public-acquisition-probe-v1/raw/cftc_oystacher_complaint.txt,oystacher,isolated_or_same_exhibit_artifact_not_source_owned_normal_controls,False,116919
/tmp,/tmp/ict-engine-r6-oystacher-normal-control-preflight-v1.rerun.out,oystacher,prior_readback_or_request_artifact_not_owner_export_data,False,363
/tmp,/tmp/ict-engine-r6-oystacher-normal-control-preflight-v1.verify.out,oystacher,prior_readback_or_request_artifact_not_owner_export_data,False,363
/tmp,/tmp/oystacher_policy_jsoncheck,oystacher,prior_readback_or_request_artifact_not_owner_export_data,False,19332
/tmp,/tmp/r6_owner_export_presence_sweep_v1.jsoncheck,owner_export;r6_owner,prior_readback_or_request_artifact_not_owner_export_data,False,3445
/tmp,/tmp/r6_owner_export_request_bundle_v2_json_check.out,owner_export;r6_owner,prior_readback_or_request_artifact_not_owner_export_data,False,5690
/tmp,/tmp/r6_owner_export_sendable_requests_v3_json_check.out,owner_export;r6_owner,prior_readback_or_request_artifact_not_owner_export_data,False,0
/tmp,/tmp/r6_oystacher_approval_decision_package_v1.json.valid,oystacher,approval_template_or_pending_decision_not_explicit_approval,False,7249
/tmp,/tmp/r6_oystacher_approval_template_v1.json.valid,oystacher,approval_template_or_pending_decision_not_explicit_approval,False,1011
/tmp,/tmp/r6_oystacher_canonical_merge_preflight_v1.final.jsoncheck,oystacher,prior_readback_or_request_artifact_not_owner_export_data,False,16248
/tmp,/tmp/r6_oystacher_canonical_merge_preflight_v1.jsoncheck,oystacher,prior_readback_or_request_artifact_not_owner_export_data,False,16248
/tmp,/tmp/r6_oystacher_local_control_path_disposition_v1.rerun.out,oystacher,prior_readback_or_request_artifact_not_owner_export_data,False,1315
/tmp,/tmp/r6_oystacher_rerun.out,oystacher,prior_readback_or_request_artifact_not_owner_export_data,False,0
