Datetime,Adj Close_BTC-USD,Close_BTC-USD,High_BTC-USD,Low_BTC-USD,Open_BTC-USD,Volume_BTC-USD
2026-05-06 00:00:00+00:00,81014.921875,81014.921875,81244.84375,80725.2890625,80884.8125,0
2026-05-06 01:00:00+00:00,81428.9765625,81428.9765625,81488.8203125,80973.71875,81011.0625,429518848
2026-05-06 02:00:00+00:00,81355.4921875,81355.4921875,81437.3125,81036.90625,81437.3125,0
2026-05-06 03:00:00+00:00,81576.2578125,81576.2578125,81743.328125,81349.453125,81358.5234375,0
2026-05-06 04:00:00+00:00,81331.046875,81331.046875,81634.796875,81265.6328125,81579.171875,0
2026-05-06 05:00:00+00:00,81319.140625,81319.140625,81336.0,81054.28125,81316.1171875,0
2026-05-06 06:00:00+00:00,81472.953125,81472.953125,81517.8984375,81202.796875,81306.9765625,198524928
2026-05-06 07:00:00+00:00,81370.0,81370.0,81606.0,81306.0,81497.90625,0
2026-05-06 08:00:00+00:00,81956.6875,81956.6875,81984.0,81318.1015625,81350.828125,832966656
2026-05-06 09:00:00+00:00,81998.40625,81998.40625,82059.8515625,81685.4296875,81966.84375,1236283392
2026-05-06 10:00:00+00:00,82285.2734375,82285.2734375,82382.09375,81965.2578125,82022.4296875,1085046784
2026-05-06 11:00:00+00:00,82522.03125,82522.03125,82814.21875,82261.7109375,82261.7109375,1632116736
2026-05-06 12:00:00+00:00,82223.59375,82223.59375,82535.96875,82157.2421875,82512.5390625,342368256
2026-05-06 13:00:00+00:00,81666.0703125,81666.0703125,82209.921875,81607.953125,82196.5703125,0
2026-05-06 14:00:00+00:00,81515.4296875,81515.4296875,81962.8515625,81137.640625,81658.9296875,1121538048
2026-05-06 15:00:00+00:00,81699.078125,81699.078125,81809.3515625,81300.0,81534.9921875,174989312
2026-05-06 16:00:00+00:00,81622.3828125,81622.3828125,81863.6015625,81419.46875,81705.2890625,0
2026-05-06 17:00:00+00:00,81447.8984375,81447.8984375,81706.703125,81375.0078125,81615.46875,229330944
2026-05-06 18:00:00+00:00,81347.828125,81347.828125,81554.5390625,81269.0390625,81456.3125,278974464
2026-05-06 19:00:00+00:00,81461.6015625,81461.6015625,81510.0,81190.8671875,81353.3671875,48132096
