species,source_family,ref,url,row_surface,candidate_disposition,real_market_rows,explicit_positive_labels,matched_negative_controls,provenance_rows,request_positive_rows,request_matched_controls,request_provenance_manifest,current_acceptance_state,required_next_artifact,notes
bear_raid,no_candidate_in_v2_screen,,,,blocked_no_candidate_source_surface,False,False,False,False,yes,yes,yes,blocked_no_source_surface,identify_source_owner_then_acquire_positive_control_rows,No source surface was retained by v2 for this required direct Manipulation species.
painting_tape,no_candidate_in_v2_screen,,,,blocked_no_candidate_source_surface,False,False,False,False,yes,yes,yes,blocked_no_source_surface,identify_source_owner_then_acquire_positive_control_rows,No source surface was retained by v2 for this required direct Manipulation species.
pinging,paper_restricted_market_data,Spoofing and pinging in foreign exchange markets,https://www.sciencedirect.com/science/article/abs/pii/S1042443120301621,restricted_ebs_fx_complete_lob_study,blocked_restricted_paper_no_public_row_export,True,True,False,False,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Paper-level evidence confirms relevance, but the public surface does not export replayable positives and matched controls."
pinging,raw_market_data_provider,Tardis historical crypto tick-level order book data,https://tardis.dev/,raw_l2_l3_trades_order_books,blocked_raw_order_book_no_direct_labels,True,False,False,True,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Can supply raw direct order-book context, but it does not provide source-owned manipulation positives or matched negative groups."
quote_spoofing,official_report_schema,FINRA Potential Manipulation Report,https://www.finra.org/compliance-tools/report-center/cross-market-equities-supervision/potential-manipulation-report,member_report_exception_schema,blocked_schema_target_rows_not_public,False,True,False,False,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Official schema target for layering/quote-spoofing exceptions, but public page is not an exportable positive/control row panel."
quote_stuffing,paper_method,Quote stuffing research using TotalView-ITCH / US equities,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1958281,paper_method_and_event_definition,blocked_method_definition_no_exported_rows,True,True,False,False,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Useful event-definition provenance, but the public paper page is not a source-owned row export with matched controls."
quote_stuffing,raw_lob_sample,LOBSTER / Level-3 order book sample mirrors,https://lobsterdata.com/,raw_l3_order_book_messages,blocked_raw_lob_no_positive_labels,True,False,False,True,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Useful for normal-market controls or feature prototyping, but no source-owned direct manipulation labels are attached."
quote_stuffing,raw_market_data_provider,Tardis historical crypto tick-level order book data,https://tardis.dev/,raw_l2_l3_trades_order_books,blocked_raw_order_book_no_direct_labels,True,False,False,True,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Can supply raw direct order-book context, but it does not provide source-owned manipulation positives or matched negative groups."
spoofing_layering,library,lobflow order-book spoofing/market-event tooling,https://pypi.org/project/lobflow/,feature_detection_library,blocked_library_no_source_rows,False,False,False,False,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"May help design future probes, but a library without source-owned rows cannot satisfy Board A."
spoofing_layering,official_report_schema,FINRA Potential Manipulation Report,https://www.finra.org/compliance-tools/report-center/cross-market-equities-supervision/potential-manipulation-report,member_report_exception_schema,blocked_schema_target_rows_not_public,False,True,False,False,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Official schema target for layering/quote-spoofing exceptions, but public page is not an exportable positive/control row panel."
spoofing_layering,paper_method,Statistical-physics spoofing study on LUNA and Bitcoin,https://arxiv.org/abs/2306.08185,method_and_market_case_study,blocked_method_case_study_no_labeled_controls,True,False,False,False,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Market case-study/method source, but no Board A-ready positive/control rows or provenance manifest were found."
spoofing_layering,paper_restricted_market_data,Spoofing and pinging in foreign exchange markets,https://www.sciencedirect.com/science/article/abs/pii/S1042443120301621,restricted_ebs_fx_complete_lob_study,blocked_restricted_paper_no_public_row_export,True,True,False,False,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Paper-level evidence confirms relevance, but the public surface does not export replayable positives and matched controls."
spoofing_layering,raw_lob_sample,LOBSTER / Level-3 order book sample mirrors,https://lobsterdata.com/,raw_l3_order_book_messages,blocked_raw_lob_no_positive_labels,True,False,False,True,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Useful for normal-market controls or feature prototyping, but no source-owned direct manipulation labels are attached."
spoofing_layering,raw_market_data_provider,Tardis historical crypto tick-level order book data,https://tardis.dev/,raw_l2_l3_trades_order_books,blocked_raw_order_book_no_direct_labels,True,False,False,True,yes,yes,yes,blocked_rows_not_acquired,source_owned_positive_rows_plus_matched_controls_plus_provenance,"Can supply raw direct order-book context, but it does not provide source-owned manipulation positives or matched negative groups."
