provider,instrument,timeframe,root,source_ticker,attachment_policy,consumer_scope,calibration_support,calibration_wilson95_lcb,heldout_time_support,heldout_time_wilson95_lcb,heldout_ticker_support,heldout_ticker_wilson95_lcb,accepted_95_source_label_attachment,blocker
yfinance,^DJI,1m,Bull,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^GSPC,1m,Bull,^GSPC,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^DJI,5m,Bull,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^GSPC,5m,Bull,^GSPC,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^DJI,15m,Bull,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^GSPC,15m,Bull,^GSPC,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^DJI,30m,Bull,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^GSPC,30m,Bull,^GSPC,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^DJI,1h,Bull,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^GSPC,1h,Bull,^GSPC,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^DJI,4h,Bull,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^GSPC,4h,Bull,^GSPC,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,1665,0.9976981284,1135,0.9966268713,6490,0.9994084459,True,
yfinance,^DJI,1m,Bear,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,125,0.9701846063,293,0.9870588871,1906,0.9979885981,True,
yfinance,^GSPC,1m,Bear,^GSPC,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,125,0.9701846063,293,0.9870588871,1906,0.9979885981,True,
yfinance,^DJI,5m,Bear,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,125,0.9701846063,293,0.9870588871,1906,0.9979885981,True,
yfinance,^GSPC,5m,Bear,^GSPC,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,125,0.9701846063,293,0.9870588871,1906,0.9979885981,True,
yfinance,^DJI,15m,Bear,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,125,0.9701846063,293,0.9870588871,1906,0.9979885981,True,
yfinance,^GSPC,15m,Bear,^GSPC,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,125,0.9701846063,293,0.9870588871,1906,0.9979885981,True,
yfinance,^DJI,30m,Bear,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,125,0.9701846063,293,0.9870588871,1906,0.9979885981,True,
yfinance,^GSPC,30m,Bear,^GSPC,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,125,0.9701846063,293,0.9870588871,1906,0.9979885981,True,
yfinance,^DJI,1h,Bear,^DJI,same_ticker_daily_parent_context_to_intraday_session_date_v1,intraday_parent_day_context_not_intraday_micro_regime,125,0.9701846063,293,0.9870588871,1906,0.9979885981,True,
