instrument,root,current_acceptance,calibration_2024_support,calibration_2024_wilson95_lcb,heldout_time_2025_support,heldout_time_2025_wilson95_lcb,calibration_split_passes,heldout_split_passes,one_split_passes,extra_2024_source_sessions_to_pass_fixed_split,extra_2025_source_sessions_to_pass_fixed_split,total_extra_sessions_to_make_fixed_splits_pass,post_2025_extension_use,blocker
HD,Bull,blocked,162,0.9768365592,69,0.9472627418,true,false,true,0,4,4,rerun_new_chronological_gate_only,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
XOM,Sideways,blocked,100,0.9630065018,68,0.9465286635,true,false,true,0,5,5,rerun_new_chronological_gate_only,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TMO,Bull,blocked,118,0.9684716610,67,0.9457738606,true,false,true,0,6,6,rerun_new_chronological_gate_only,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
ABBV,Sideways,blocked,75,0.9512761575,67,0.9457738606,true,false,true,0,6,6,rerun_new_chronological_gate_only,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
UNH,Bear,blocked,66,0.9449974430,151,0.9751910189,false,true,true,7,0,7,rerun_new_chronological_gate_only,calibration_support_below_73|calibration_wilson95_below_0_95
^DJI,Sideways,blocked,66,0.9449974430,87,0.9577124931,false,true,true,7,0,7,rerun_new_chronological_gate_only,calibration_support_below_73|calibration_wilson95_below_0_95
AMD,Bear,blocked,63,0.9425288004,76,0.9518864149,false,true,true,10,0,10,rerun_new_chronological_gate_only,calibration_support_below_73|calibration_wilson95_below_0_95
AMD,Bull,blocked,76,0.9518864149,62,0.9416559279,true,false,true,0,11,11,rerun_new_chronological_gate_only,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
HD,Sideways,blocked,62,0.9416559279,80,0.9541818705,false,true,true,11,0,11,rerun_new_chronological_gate_only,calibration_support_below_73|calibration_wilson95_below_0_95
JNJ,Sideways,blocked,99,0.9626467879,61,0.9407561321,true,false,true,0,12,12,rerun_new_chronological_gate_only,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TMO,Bear,blocked,59,0.9388706295,98,0.9622800099,false,true,true,14,0,14,rerun_new_chronological_gate_only,calibration_support_below_73|calibration_wilson95_below_0_95
DIS,Bull,blocked,88,0.9581729333,55,0.9347150989,true,false,true,0,18,18,rerun_new_chronological_gate_only,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
INTC,Bear,blocked,89,0.9586234548,53,0.9324180114,true,false,true,0,20,20,rerun_new_chronological_gate_only,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CSCO,Sideways,blocked,59,0.9388706295,66,0.9449974430,false,false,false,14,7,21,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
UNH,Bull,blocked,93,0.9603324974,51,0.9299533801,true,false,true,0,22,22,low_priority_or_requires_both_split_repair,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AAPL,Bear,blocked,50,0.9286524009,81,0.9547219146,false,true,true,23,0,23,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95
DIS,Bear,blocked,69,0.9472627418,54,0.9335864119,false,false,false,4,19,23,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BA,Crisis,blocked,49,0.9273021808,92,0.9599186107,false,true,true,24,0,24,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95
COP,Sideways,blocked,62,0.9416559279,56,0.9358060633,false,false,false,11,17,28,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TMO,Sideways,blocked,75,0.9512761575,43,0.9179901968,true,false,true,0,30,30,low_priority_or_requires_both_split_repair,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WMT,Sideways,blocked,43,0.9179901968,75,0.9512761575,false,true,true,30,0,30,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95
TSLA,Bull,blocked,42,0.9162012091,76,0.9518864149,false,true,true,31,0,31,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95
BA,Bear,blocked,138,0.9729172355,40,0.9123783988,true,false,true,0,33,33,low_priority_or_requires_both_split_repair,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
XOM,Bear,blocked,37,0.9059421742,81,0.9547219146,false,true,true,36,0,36,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95
WFC,Sideways,blocked,60,0.9398281479,50,0.9286524009,false,false,false,13,23,36,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^GSPC,Sideways,blocked,42,0.9162012091,67,0.9457738606,false,false,false,31,6,37,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JNJ,Bear,blocked,73,0.9500079920,34,0.8984854458,true,false,true,0,39,39,low_priority_or_requires_both_split_repair,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
SBUX,Bull,blocked,58,0.9378821442,49,0.9273021808,false,false,false,15,24,39,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NKE,Sideways,blocked,55,0.9347150989,50,0.9286524009,false,false,false,18,23,41,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AAPL,Sideways,blocked,68,0.9465286635,34,0.8984854458,false,false,false,5,39,44,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BAC,Sideways,blocked,51,0.9299533801,51,0.9299533801,false,false,false,22,22,44,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
HD,Bear,blocked,28,0.8793566952,101,0.9633593536,false,true,true,45,0,45,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95
