request_id,provider,instrument,timeframe,root,missing_or_rejected_reason,required_label_source,forbidden_proxy_sources,minimum_acceptance_note,decision_layer,decision,decision_tier,source_family,guardrail
mainregimev2-root-slot-0009,yfinance,ES=F,1m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0010,yfinance,ES=F,1m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0012,yfinance,ES=F,1m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_spx_tradable_proxy,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy_macro_crisis,NBER US contraction months,Allowed only for SPY and ES=F bars inside NBER contraction months; keep proxy tier explicit and do not treat as universal cross-asset Crisis labels.
mainregimev2-root-slot-0029,yfinance,SPY,1m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0030,yfinance,SPY,1m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0032,yfinance,SPY,1m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_spx_tradable_proxy,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy_macro_crisis,NBER US contraction months,Allowed only for SPY and ES=F bars inside NBER contraction months; keep proxy tier explicit and do not treat as universal cross-asset Crisis labels.
mainregimev2-root-slot-0045,yfinance,^GSPC,1m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,same_underlying_spx_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_calendar_window,Yardeni S&P 500 Bull/Bear dated windows,Use only session dates inside Yardeni S&P 500 windows; monthly bars require unambiguous month containment; refresh open-ended 2022-10-12 Bull window before live attachment.
mainregimev2-root-slot-0046,yfinance,^GSPC,1m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,same_underlying_spx_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_calendar_window,Yardeni S&P 500 Bull/Bear dated windows,Use only session dates inside Yardeni S&P 500 windows; monthly bars require unambiguous month containment; refresh open-ended 2022-10-12 Bull window before live attachment.
mainregimev2-root-slot-0048,yfinance,^GSPC,1m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_macro_crisis_calendar_window,NBER US contraction months,"Use only bars whose timestamp falls in an NBER contraction month; mark as macro Crisis provenance, not a volatility-only OHLCV detector."
mainregimev2-root-slot-0065,yfinance,ES=F,5m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
