provider,query,status,error,record_count,url,raw_snippet
huggingface,MainRegimeV2,200,,0,https://huggingface.co/api/datasets?search=MainRegimeV2&limit=10,[]
zenodo,MainRegimeV2,200,,0,https://zenodo.org/api/records?q=MainRegimeV2&size=10,"{""hits"": {""hits"": [], ""total"": 0}, ""aggregations"": {""publication_date"": {""buckets"": [], ""label"": ""Publication date""}, ""access_status"": {""buckets"": [], ""label"": ""Access status""}, ""resource_type"": {""buckets"": [], ""label"": ""Resource types""}, ""subject"": {""buckets"": [], ""label"": ""Subjects""}, ""file_type"":"
figshare,MainRegimeV2,200,,0,https://api.figshare.com/v2/articles/search,[]
kaggle,MainRegimeV2,200,,0,https://www.kaggle.com/api/v1/datasets/list?search=MainRegimeV2&page=1&sortBy=relevance&fileType=all,[]
huggingface,stock market regimes 2000 2026,200,,0,https://huggingface.co/api/datasets?search=stock%20market%20regimes%202000%202026&limit=10,[]
zenodo,stock market regimes 2000 2026,200,,10,https://zenodo.org/api/records?q=stock%20market%20regimes%202000%202026&size=10,"{""hits"": {""hits"": [{""created"": ""2026-04-12T07:06:56.016373+00:00"", ""modified"": ""2026-04-12T07:06:56.336810+00:00"", ""id"": 19532833, ""conceptrecid"": ""19532832"", ""doi"": ""10.5281/zenodo.19532833"", ""conceptdoi"": ""10.5281/zenodo.19532832"", ""doi_url"": ""https://doi.org/10.5281/zenodo.19532833"", ""metadata"": "
figshare,stock market regimes 2000 2026,200,,0,https://api.figshare.com/v2/articles/search,[]
kaggle,stock market regimes 2000 2026,200,,1,https://www.kaggle.com/api/v1/datasets/list?search=stock%20market%20regimes%202000%202026&page=1&sortBy=relevance&fileType=all,"[{""subtitleNullable"":""Labeled bull, bear, crisis \u0026 volatility regimes with macro data"",""creatorNameNullable"":""Muhammad Afaq Bhatti"",""creatorUrlNullable"":""mafaqbhatti"",""totalBytesNullable"":14239487,""urlNullable"":""https://www.kaggle.com/datasets/mafaqbhatti/stock-market-regimes-20002026"",""license"
huggingface,native subhour market regime labels Crisis,200,,0,https://huggingface.co/api/datasets?search=native%20subhour%20market%20regime%20labels%20Crisis&limit=10,[]
zenodo,native subhour market regime labels Crisis,200,,10,https://zenodo.org/api/records?q=native%20subhour%20market%20regime%20labels%20Crisis&size=10,"{""hits"": {""hits"": [{""created"": ""2025-12-28T07:07:21.250257+00:00"", ""modified"": ""2025-12-28T07:07:21.533845+00:00"", ""id"": 18073695, ""conceptrecid"": ""18073694"", ""doi"": ""10.5281/zenodo.18073695"", ""conceptdoi"": ""10.5281/zenodo.18073694"", ""doi_url"": ""https://doi.org/10.5281/zenodo.18073695"", ""metadata"": "
figshare,native subhour market regime labels Crisis,200,,0,https://api.figshare.com/v2/articles/search,[]
kaggle,native subhour market regime labels Crisis,200,,0,https://www.kaggle.com/api/v1/datasets/list?search=native%20subhour%20market%20regime%20labels%20Crisis&page=1&sortBy=relevance&fileType=all,[]
huggingface,source panel market regime labels 2026,200,,0,https://huggingface.co/api/datasets?search=source%20panel%20market%20regime%20labels%202026&limit=10,[]
zenodo,source panel market regime labels 2026,200,,10,https://zenodo.org/api/records?q=source%20panel%20market%20regime%20labels%202026&size=10,"{""hits"": {""hits"": [{""created"": ""2026-02-21T14:31:56.317068+00:00"", ""modified"": ""2026-02-21T14:31:56.486291+00:00"", ""id"": 18724445, ""conceptrecid"": ""18724444"", ""doi"": ""10.5281/zenodo.18724445"", ""conceptdoi"": ""10.5281/zenodo.18724444"", ""doi_url"": ""https://doi.org/10.5281/zenodo.18724445"", ""metadata"": "
figshare,source panel market regime labels 2026,200,,0,https://api.figshare.com/v2/articles/search,[]
