base_symbol,comparison_symbol,relationship_type,relationship_confidence,timeframe,session,comparison_timeframe,comparison_session,timeframe_aligned,session_overlap,correlation_window_bars,recent_correlation,event_time,smt_signal,base_swing_type,base_event_time,base_level,comparison_swing_type,comparison_event_time,comparison_level,event_window_bars,event_time_delta_bars,same_event_window_confirmed,swept_side,normalized_for_inverse_correlation,raw_comparison_swing_type,raw_comparison_level,near_pd_array,pd_array_type,mss_or_cisd_confirmed,displacement_confirmed,regime_bucket,provider_provenance,evidence_source,confidence,fail_closed_reason,confirmation_role,actionable
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-07T18:25:00+00:00,bullish_smt,LL,2026-05-07T18:25:00+00:00,28642.5,HL,2026-05-07T18:10:00+00:00,7358.75,3,3,True,sell_side_liquidity,False,HL,7358.75,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-08T19:15:00+00:00,bearish_smt,HH,2026-05-08T19:15:00+00:00,29306.0,LH,2026-05-08T19:20:00+00:00,7418.75,3,1,True,buy_side_liquidity,False,LH,7418.75,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-11T05:45:00+00:00,bullish_smt,LL,2026-05-11T05:45:00+00:00,29317.5,HL,2026-05-11T05:45:00+00:00,7410.25,3,0,True,sell_side_liquidity,False,HL,7410.25,False,none,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-11T14:30:00+00:00,bullish_smt,LL,2026-05-11T14:30:00+00:00,29246.75,HL,2026-05-11T14:30:00+00:00,7421.5,3,0,True,sell_side_liquidity,False,HL,7421.5,False,none,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
NQ,YM,positive,0.0,5m,NY_AM,5m,NY_AM,True,True,929,0.2622,,none,n/a,,,n/a,,,3,,False,none,False,,,False,none,False,False,other,yfinance,provider_backed_same_timeframe_aligned_candles_fail_closed,0.0,recent_positive_correlation_unstable,confirmation_only,False
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,15m,London_NY_overlap,True,True,434,0.7889,2026-05-06T07:30:00+00:00,bullish_smt,LL,2026-05-06T07:30:00+00:00,1.1728830337524414,HL,2026-05-06T07:15:00+00:00,1.3584741353988647,3,1,True,sell_side_liquidity,False,HL,1.3584741353988647,False,none,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,15m,London_NY_overlap,True,True,434,0.7889,2026-05-11T21:15:00+00:00,bearish_smt,HH,2026-05-11T21:15:00+00:00,1.1791062355041504,LH,2026-05-11T21:00:00+00:00,1.3618041276931763,3,1,True,buy_side_liquidity,False,LH,1.3618041276931763,False,none,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,15m,London_NY_overlap,True,True,434,0.7889,2026-05-12T11:00:00+00:00,bullish_smt,LL,2026-05-12T11:00:00+00:00,1.17384672164917,HL,2026-05-12T11:00:00+00:00,1.3523565530776978,3,0,True,sell_side_liquidity,False,HL,1.3523565530776978,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
EURUSD,DXY,negative,0.0,15m,London_NY_overlap,15m,London_NY_overlap,True,True,303,-0.9229,,none,n/a,,,n/a,,,3,,False,none,True,,,False,none,False,False,other,yfinance,provider_backed_same_timeframe_aligned_candles_fail_closed,0.0,no_same_event_smt_confirmation_failure_detected,confirmation_only,False
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-08T07:15:00+00:00,bullish_smt,LL,2026-05-08T07:15:00+00:00,4706.2001953125,HL,2026-05-08T07:15:00+00:00,79.86000061035156,3,0,True,sell_side_liquidity,False,HL,79.86000061035156,False,none,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-08T12:30:00+00:00,bullish_smt,LL,2026-05-08T12:30:00+00:00,4709.60009765625,HL,2026-05-08T12:15:00+00:00,80.90499877929688,3,1,True,sell_side_liquidity,False,HL,80.90499877929688,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-11T00:45:00+00:00,bullish_smt,LL,2026-05-11T00:45:00+00:00,4678.39990234375,HL,2026-05-11T01:00:00+00:00,80.05500030517578,3,1,True,sell_side_liquidity,False,HL,80.05500030517578,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-11T04:30:00+00:00,bullish_smt,LL,2026-05-11T04:30:00+00:00,4675.89990234375,HL,2026-05-11T04:30:00+00:00,80.75,3,0,True,sell_side_liquidity,False,HL,80.75,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-11T16:30:00+00:00,bullish_smt,LL,2026-05-11T16:30:00+00:00,4716.7998046875,HL,2026-05-11T16:45:00+00:00,85.7300033569336,3,1,True,sell_side_liquidity,False,HL,85.7300033569336,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-12T03:45:00+00:00,bullish_smt,LL,2026-05-12T03:45:00+00:00,4726.7998046875,HL,2026-05-12T03:45:00+00:00,86.56500244140625,3,0,True,sell_side_liquidity,False,HL,86.56500244140625,False,none,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,311,0.7749,2026-05-12T10:00:00+00:00,bearish_smt,HH,2026-05-12T10:00:00+00:00,4716.7001953125,LH,2026-05-12T10:00:00+00:00,85.1449966430664,3,0,True,buy_side_liquidity,False,LH,85.1449966430664,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
XAUUSD,DXY,negative,0.0,15m,NY_AM,15m,NY_AM,True,True,299,-0.5794,,none,n/a,,,n/a,,,3,,False,none,True,,,False,none,False,False,other,yfinance,provider_backed_same_timeframe_aligned_candles_fail_closed,0.0,no_same_event_smt_confirmation_failure_detected,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-15T17:00:00+00:00,bearish_smt,HH,2026-03-15T17:00:00+00:00,71987.2890625,LH,2026-03-15T17:00:00+00:00,2117.396728515625,3,0,True,buy_side_liquidity,False,LH,2117.396728515625,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-17T10:00:00+00:00,bullish_smt,LL,2026-03-17T10:00:00+00:00,73614.75,HL,2026-03-17T10:00:00+00:00,2307.620361328125,3,0,True,sell_side_liquidity,False,HL,2307.620361328125,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-19T21:00:00+00:00,bearish_smt,HH,2026-03-19T21:00:00+00:00,70695.4375,LH,2026-03-19T19:00:00+00:00,2156.0771484375,3,2,True,buy_side_liquidity,False,LH,2156.0771484375,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-20T04:00:00+00:00,bearish_smt,HH,2026-03-20T04:00:00+00:00,70939.7734375,LH,2026-03-20T04:00:00+00:00,2158.4345703125,3,0,True,buy_side_liquidity,False,LH,2158.4345703125,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-27T04:00:00+00:00,bullish_smt,LL,2026-03-27T04:00:00+00:00,68269.15625,HL,2026-03-27T04:00:00+00:00,2043.33984375,3,0,True,sell_side_liquidity,False,HL,2043.33984375,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-27T18:00:00+00:00,bullish_smt,LL,2026-03-27T18:00:00+00:00,65539.1875,HL,2026-03-27T18:00:00+00:00,1973.5860595703125,3,0,True,sell_side_liquidity,False,HL,1973.5860595703125,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-03-29T03:00:00+00:00,bearish_smt,HH,2026-03-29T03:00:00+00:00,67000.8125,LH,2026-03-29T03:00:00+00:00,2015.5404052734375,3,0,True,buy_side_liquidity,False,LH,2015.5404052734375,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-01T13:00:00+00:00,bullish_smt,LL,2026-04-01T13:00:00+00:00,67969.1171875,HL,2026-04-01T13:00:00+00:00,2110.518310546875,3,0,True,sell_side_liquidity,False,HL,2110.518310546875,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-02T00:00:00+00:00,bearish_smt,HH,2026-04-02T00:00:00+00:00,68633.1484375,LH,2026-04-02T00:00:00+00:00,2158.142822265625,3,0,True,buy_side_liquidity,False,LH,2158.142822265625,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-07T02:00:00+00:00,bullish_smt,LL,2026-04-07T02:00:00+00:00,68286.8046875,HL,2026-04-07T02:00:00+00:00,2094.010009765625,3,0,True,sell_side_liquidity,False,HL,2094.010009765625,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-08T09:00:00+00:00,bearish_smt,HH,2026-04-08T09:00:00+00:00,71932.7578125,LH,2026-04-08T09:00:00+00:00,2261.873779296875,3,0,True,buy_side_liquidity,False,LH,2261.873779296875,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-08T14:00:00+00:00,bullish_smt,LL,2026-04-08T14:00:00+00:00,70754.125,HL,2026-04-08T14:00:00+00:00,2189.805419921875,3,0,True,sell_side_liquidity,False,HL,2189.805419921875,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-10T00:00:00+00:00,bullish_smt,LL,2026-04-10T00:00:00+00:00,71609.296875,HL,2026-04-10T01:00:00+00:00,2179.488037109375,3,1,True,sell_side_liquidity,False,HL,2179.488037109375,False,none,False,False,range,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-11T13:00:00+00:00,bullish_smt,LL,2026-04-11T13:00:00+00:00,72594.53125,HL,2026-04-11T13:00:00+00:00,2235.64404296875,3,0,True,sell_side_liquidity,False,HL,2235.64404296875,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-12T23:00:00+00:00,bullish_smt,LL,2026-04-12T23:00:00+00:00,70581.140625,HL,2026-04-12T22:00:00+00:00,2184.7685546875,3,1,True,sell_side_liquidity,False,HL,2184.7685546875,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-15T22:00:00+00:00,bearish_smt,HH,2026-04-15T22:00:00+00:00,75400.0,LH,2026-04-15T22:00:00+00:00,2380.320068359375,3,0,True,buy_side_liquidity,False,LH,2380.320068359375,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-19T13:00:00+00:00,bearish_smt,HH,2026-04-19T13:00:00+00:00,76257.0703125,LH,2026-04-19T13:00:00+00:00,2350.419921875,3,0,True,buy_side_liquidity,False,LH,2350.419921875,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-20T14:00:00+00:00,bearish_smt,HH,2026-04-20T14:00:00+00:00,75765.2109375,LH,2026-04-20T13:00:00+00:00,2326.889892578125,3,1,True,buy_side_liquidity,False,LH,2326.889892578125,False,none,False,False,trend,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,1428,0.9033,2026-04-24T09:00:00+00:00,bullish_smt,LL,2026-04-24T09:00:00+00:00,77436.0,HL,2026-04-24T09:00:00+00:00,2305.080078125,3,0,True,sell_side_liquidity,False,HL,2305.080078125,False,none,False,False,transition,yfinance,provider_backed_same_timeframe_aligned_candles,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,confirmation_only,False
