provider,symbol,timeframe,data_status,data_usable,bars,score_status,label_source_status,label_calibration_status,unsupported_reason,bull_candidate_rows,bear_candidate_rows,sideways_candidate_rows,crisis_candidate_rows,manipulation_overlay_status,manipulation_reason
yfinance,CL=F,1m,ok,True,6898,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,509,0,6150,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,DIA,1m,ok,True,2727,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,2147,0,2600,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,ES=F,1m,ok,True,6514,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,6130,0,6388,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,GC=F,1m,ok,True,6917,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,5247,0,6791,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,GLD,1m,ok,True,2730,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,1686,0,2543,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,NQ=F,1m,ok,True,6514,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,5699,0,6388,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,QQQ,1m,ok,True,2730,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,2122,0,2603,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,SPY,1m,ok,True,2730,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,2365,0,2603,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,USO,1m,ok,True,2730,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,58,0,2231,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,YM=F,1m,ok,True,6486,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,5944,0,6360,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,^DJI,1m,ok,True,2730,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,2146,0,2603,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,^GSPC,1m,ok,True,2730,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,2355,0,2603,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,^NDX,1m,ok,True,2730,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,2098,0,2603,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,^VIX,1m,ok,True,5425,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,234,0,4709,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,CL=F,5m,ok,True,13375,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,239,3,8699,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,DIA,5m,ok,True,4680,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,1479,0,4388,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,ES=F,5m,ok,True,13430,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,8728,0,13161,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,GC=F,5m,ok,True,13430,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,4218,0,12613,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,GLD,5m,ok,True,4680,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,786,0,3596,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,NQ=F,5m,ok,True,13429,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,7494,0,13122,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,QQQ,5m,ok,True,4680,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,1530,0,4331,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,SPY,5m,ok,True,4680,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,1899,0,4444,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,USO,5m,ok,True,4680,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,85,3,1998,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,YM=F,5m,ok,True,13468,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,8148,0,13211,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,^DJI,5m,ok,True,4680,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,1492,0,4388,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,^GSPC,5m,ok,True,4680,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,1882,0,4445,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,^NDX,5m,ok,True,4680,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,1527,0,4330,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,^VIX,5m,ok,True,9114,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,0,196,2588,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
yfinance,CL=F,15m,ok,True,4466,scored,unsupported_missing_independent_root_labels,blocked,yfinance_close_matrix_has_prices_but_no_source_backed_root_labels_per_cell,38,76,1432,0,not_applicable_to_bar_ohlcv_cell,direct_event_overlay_requires_order_lifecycle_l2_l3_mbo_social_or_onchain_event_evidence
