path,name,suffix,header_hits,archive_member_hits,classification,accepted_source_control,reason
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv,symbology.csv,.csv,mbo,none,tomac_symbology_context_only,false,Symbology lookup file; not positive/control rows or provenance.
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.csv,symbology.csv,.csv,mbo,none,tomac_symbology_context_only,false,Symbology lookup file; not positive/control rows or provenance.
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv,symbology.csv,.csv,mbo,none,tomac_symbology_context_only,false,Symbology lookup file; not positive/control rows or provenance.
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.csv,symbology.csv,.csv,mbo,none,tomac_symbology_context_only,false,Symbology lookup file; not positive/control rows or provenance.
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv,symbology.csv,.csv,mbo,none,tomac_symbology_context_only,false,Symbology lookup file; not positive/control rows or provenance.
/Users/thrill3r/Downloads/ictscripts/ict_concepts_catalog.json,ict_concepts_catalog.json,.json,execution|fill|side|price|size|sequence|mbo,none,unrelated_text_or_metadata,false,"Text/metadata hit, not verifier-native market evidence."
/Users/thrill3r/Downloads/repo-intake/gbrain/docs/architecture/infra-layer.md,infra-layer.md,.md,side,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/gbrain/eval/data/world-v1/companies__acme-labs-50.json,companies__acme-labs-50.json,.json,side,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/gbrain/eval/data/world-v1/companies__acme-0.json,companies__acme-0.json,.json,fill|side|size,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/cognee/notebooks/data/guido_contributions.json,guido_contributions.json,.json,delete|side|sequence|mbo,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/cognee/notebooks/data/alice_in_wonderland.txt,alice_in_wonderland.txt,.txt,fill|side|size,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/cognee/notebooks/data/pep_style_guide.md,pep_style_guide.md,.md,side,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/cognee/notebooks/data/my_developer_rules.md,my_developer_rules.md,.md,modify,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/holaOS/docs/superpowers/plans/2026-04-10-gateway-auth-unification.md,2026-04-10-gateway-auth-unification.md,.md,modify|delete|side,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Pnlclaw-community/skills/indicator-guide/SKILL.md,SKILL.md,.md,price|mbo,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/AutoHedge/logs/trades_20250305_193100.csv,trades_20250305_193100.csv,.csv,price,none,local_trade_log_not_owner_export,false,Local/private trade log; no source-owner control labels or provenance.
