market,pair,timeframe,source,output,rows,first,last
NQ,NQ/USD,1m,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/nq.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/NQ_USD-1m.feather,301577,2012-07-06T12:46:00+00:00,2023-10-26T16:19:00+00:00
NQ,NQ/USD,5m,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-5m/nq.continuous-5m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/NQ_USD-5m.feather,73909,2012-07-06T12:45:00+00:00,2023-10-26T16:15:00+00:00
NQ,NQ/USD,15m,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-15m/nq.continuous-15m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/NQ_USD-15m.feather,28909,2012-07-06T12:45:00+00:00,2023-10-26T16:15:00+00:00
NQ,NQ/USD,1h,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1h/nq.continuous-1h.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/NQ_USD-1h.feather,8880,2012-07-06T12:00:00+00:00,2023-10-26T16:00:00+00:00
NQ,NQ/USD,4h,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-4h/nq.continuous-4h.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/NQ_USD-4h.feather,2912,2012-07-06T12:00:00+00:00,2023-10-26T16:00:00+00:00
NQ,NQ/USD,1d,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1d/nq.continuous-1d.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/NQ_USD-1d.feather,724,2012-07-06T00:00:00+00:00,2023-10-26T00:00:00+00:00
ES,ES/USD,1m,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1m/es.continuous-1m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/ES_USD-1m.feather,299107,2012-04-23T13:38:00+00:00,2025-08-04T12:10:00+00:00
ES,ES/USD,5m,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-5m/es.continuous-5m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/ES_USD-5m.feather,89433,2012-04-23T13:35:00+00:00,2025-08-04T12:10:00+00:00
ES,ES/USD,15m,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-15m/es.continuous-15m.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/ES_USD-15m.feather,39717,2012-04-23T13:30:00+00:00,2025-08-04T12:00:00+00:00
ES,ES/USD,1h,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1h/es.continuous-1h.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/ES_USD-1h.feather,14036,2012-04-23T13:00:00+00:00,2025-08-04T12:00:00+00:00
ES,ES/USD,4h,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-4h/es.continuous-4h.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/ES_USD-4h.feather,5075,2012-04-23T12:00:00+00:00,2025-08-04T12:00:00+00:00
ES,ES/USD,1d,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-1d/es.continuous-1d.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T135318+0800-codex-long-history-es-nq-aq-staging-v1/workspace/auto-quant/user_data/data/ES_USD-1d.feather,1383,2012-04-23T00:00:00+00:00,2025-08-04T00:00:00+00:00
