axis,bucket,positive_spoof_support,invalid_flip_candidate_support,required_valid_normal_control_support,owner,official_route,date_fit_status,detail_fit_status,requested_product_scope,requested_date_scope,requested_detail,delivery_file,decision
contract_family,energy,2657,793,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,all Oystacher energy contract-family symbols,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
contract_family,equity_index,614,285,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,all Oystacher equity_index contract-family symbols,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
contract_family,metals,1633,388,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,all Oystacher metals contract-family symbols,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
contract_family,volatility_index,278,87,73,Cboe/CFE,cboe_cfe_datashop_or_market_data_support,2014_custom_export_required,public_pages_not_order_lifecycle,all Oystacher volatility_index contract-family symbols,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
venue_exact,CFE/CBOE Futures Exchange,278,87,73,Cboe/CFE,cboe_cfe_datashop_or_market_data_support,2014_custom_export_required,public_pages_not_order_lifecycle,all Oystacher symbols on CFE/CBOE Futures Exchange,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
venue_exact,CME Globex,614,285,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,all Oystacher symbols on CME Globex,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
venue_exact,COMEX/CME Globex,1633,388,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,all Oystacher symbols on COMEX/CME Globex,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
venue_exact,NYMEX/CME Globex,2657,793,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,all Oystacher symbols on NYMEX/CME Globex,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
symbol_exact,Crude Oil futures,1101,324,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_2012_product_start_confirmation,depth_order_lifecycle_route_plausible,Crude Oil futures,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
symbol_exact,E-mini S&P 500 futures,614,285,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_2013_product_start_confirmation,depth_order_lifecycle_route_plausible,E-mini S&P 500 futures,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
symbol_exact,High-Grade Copper futures,1633,388,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_2011_product_start_confirmation,depth_order_lifecycle_route_plausible,High-Grade Copper futures,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
symbol_exact,Natural Gas futures,1556,469,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_2012_product_start_confirmation,depth_order_lifecycle_route_plausible,Natural Gas futures,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
symbol_exact,VIX futures,278,87,73,Cboe/CFE,cboe_cfe_datashop_or_market_data_support,needs_2014_historical_depth_export_confirmation,public_pages_not_order_lifecycle,VIX futures,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
chronological_year,2011,1633,388,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,all Oystacher required symbols active in 2011,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
chronological_year,2012,2657,793,73,CME Group,cme_datamine_market_depth_or_market_by_order,needs_product_start_confirmation,depth_order_lifecycle_route_plausible,all Oystacher required symbols active in 2012,2011-2014 Oystacher Exhibit A date coverage; exact rows must map to the requested axis/bucket and be outside same-exhibit FLIP promotion unless approved,"source-owned normal/non-manipulation order-lifecycle rows with order/trade timestamps, side, product/contract, venue, order count, quantity, and provenance",/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv,export_required_controls_not_acquired
