requirement,evidence,status,notes
"Profitability factor must be rooted in regime identity","Current Cursor 034002 uses BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation and NQRootAdaptiveCostCrisisRepairV3","partial","Rooted source exists, but current downstream promotion is rejected"
"Preserve branch path main_regime -> sub_regime -> sub_sub_regime_or_profit_factor -> profit_factor","044611 enriched 15415/15415 Auto-Quant trade rows with rooted branch paths; 050430 saw rooted candidates in policy/workflow surfaces","partial","Path visibility improved but is diagnostic and not trade-usable"
"Auto-Quant selected-data evidence","034002 cleanwire ingest exists; no explicit HTF/MTF/LTF user-selected run exists after the current gate","fail","Next action still requires explicit user selection"
"Pre-Bayes/filter branch pass","034002/044611/050430 readbacks show Pre-Bayes observe_only","fail","observe_only is not a pass"
"BBN posterior application","044611/050430 show read-only visibility but BBN application skipped","fail","Read-only branch visibility is not posterior application"
"CatBoost/path-ranker production validation","034002 trained/applied/registered/enabled CatBoost; 050430/044611 validation remains 0/30 and calibration not fitted","fail","Raw/candidate-set readiness is proxy evidence only"
"Execution candidate readiness","034002/044611/050430 execution-candidate remains execution_blocked or not ready/actionable","fail","No trade-usable candidate"
"Execution tree admission","Current Cursor downstream_consumption=execution_tree:fail_closed","fail","No full rooted branch set admitted as trade usable"
"Provider visibility yfinance IBKR TradingViewRemix Kraken","050430 provider-status mixed: yfinance and Kraken CLI ready; IBKR dependency-unhealthy with gateway reachable; TradingView MCP probe failed","partial","Provider names/visibility do not equal all-ready selected-data evidence"
"044701 source-label single atom scan","044701 count-once reconciliation: row_count 248440, accepted labels [], update_goal=false","fail","Stable but non-promoting source-label diagnostic evidence"
"045830 Extra Trees threshold screen","Process PIDs 7689/7729/8281 active; stdout 0 bytes; stderr 227 bytes; exit absent at readback","in_progress","Do not consume until terminal and hash-stable"
"Multi-agent append-only safety","This audit appends artifacts and board row only; no cursor edit or runtime code change","pass","No active rows overwritten"
"Completion/update_goal","Audit verdict strict_full_objective=false, promotion_allowed=false, update_goal=false","fail","Goal not complete"
