name,returncode,stdout_path,stderr_path
provider_status_agent,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_agent.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_agent.stderr.txt
provider_status_yfinance,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_yfinance.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_yfinance.stderr.txt
provider_status_ibkr,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_ibkr.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_ibkr.stderr.txt
provider_status_tradingview_mcp,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_tradingview_mcp.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_tradingview_mcp.stderr.txt
provider_status_kraken_cli,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_kraken_cli.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_kraken_cli.stderr.txt
provider_status_kraken_public,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_kraken_public.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_kraken_public.stderr.txt
auto_quant_status,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/auto_quant_status.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/auto_quant_status.stderr.txt
analyze_live_nq_yfinance,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/analyze_live_nq_yfinance.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/analyze_live_nq_yfinance.stderr.txt
analyze_demo,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/analyze_demo.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/analyze_demo.stderr.txt
pre_bayes_nq,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/pre_bayes_nq.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/pre_bayes_nq.stderr.txt
pre_bayes_demo,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/pre_bayes_demo.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/pre_bayes_demo.stderr.txt
policy_training_nq,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/policy_training_nq.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/policy_training_nq.stderr.txt
policy_training_demo,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/policy_training_demo.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/policy_training_demo.stderr.txt
workflow_execution_candidate_nq,0,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/workflow_execution_candidate_nq.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/workflow_execution_candidate_nq.stderr.txt
