requirement,evidence,status,blocker
Use the named Board A markdown as the live contract,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,pass,
Preserve multi-agent cursor/worktree state,current cursor 20260512T000801+0800-codex-r6-exact-split-support-debt-audit-v1; board sha256 98fa00deea114a20281b87178ad1371e641b942d0ebe460d0911aa2e458aa297,pass,
MainRegimeV2 Bull/Bear/Sideways/Crisis have source-backed 95% scoped evidence,docs/experiments/actionable-regime-confidence/runs/20260511T162942-codex-daily-main-root-source-inventory-v1/daily-main-root-inventory/daily_main_root_source_inventory_v1.json,partial,"scoped daily/source inventory exists, but strict full-market/full-timeframe/full-cycle objective remains false in current cursor"
Validate regime evidence on other markets,docs/experiments/actionable-regime-confidence/runs/20260511T170714-codex-qqq-nq-daily-crossmarket-attachment-v1/crossmarket-attachment/qqq_nq_daily_crossmarket_attachment_v1.json,partial,"QQQ/NQ daily cross-market attachment exists, but full universe and intraday/native source-label cells remain incomplete"
Validate regime evidence on other timeframes,docs/experiments/actionable-regime-confidence/runs/20260511T131922-codex-source-consensus-axiswise-timeframe-gate-v1/source-consensus-axiswise/source_consensus_axiswise_timeframe_gate_v1.json; docs/experiments/actionable-regime-confidence/runs/20260511T180420-codex-native-subhour-overlap-blocker-v1/native-subhour-overlap/native_subhour_overlap_blocker_v1.json,blocked,native subhour ready overlap cells 0 of 4; gate native_subhour_overlap_blocker_v1=no_source_overlap_0of4_cells
"Direct Manipulation R6 uses direct event/order-lifecycle rows, not OHLCV proxy",docs/experiments/actionable-regime-confidence/runs/20260511T235815-codex-r6-live-intake-rehydrate-calibration-v1/r6-live-intake-rehydrate-calibration/r6_live_intake_rehydrate_calibration_v1.json,partial,pooled axis passes but split/species gates remain blocked: chrono=False symbol=False venue=False species=None
R5 source-panel recency after 2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T215420-codex-source-panel-recency-upstream-refresh-check-v1/source-panel-recency-refresh/source_panel_recency_upstream_refresh_check_v1.json,blocked,source_has_required_recency=False; gate source_panel_recency_upstream_refresh_check_v1=upstream_not_refreshed_r5_still_missing_required_files
"Check yfinance, IBKR, TradingViewRemix/MCP, Kraken provider paths",docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_yfinance.stdout.txt; docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_ibkr.stdout.txt; docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_tradingview_mcp.stdout.txt; docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_kraken_cli.stdout.txt; docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/provider_status_kraken_public.stdout.txt,partial,provider status must be interpreted per-provider; unavailable providers are non-promoting for confidence gates
Run Auto-Quant status/readiness,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/auto_quant_status.stdout.txt,pass,
Run ict-engine live/provider analysis plus fallback demo analysis,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/analyze_live_nq_yfinance.stdout.txt; docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/analyze_demo.stdout.txt,partial,"live NQ/yfinance is required evidence when successful; demo is only downstream surface exercise, not market validation"
Run Pre-Bayes/BBN readback,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/pre_bayes_nq.stdout.txt; docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/pre_bayes_demo.stdout.txt,pass,
Run CatBoost/policy-training and structural path-ranker export,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/policy_training_nq.stdout.txt; docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/policy_training_demo.stdout.txt; docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/export_path_ranking_nq.stdout.txt; docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/export_path_ranking_demo.stdout.txt,partial,green command surface does not imply mature rows or strict objective closure
Run execution-tree/workflow status,docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/workflow_execution_candidate_nq.stdout.txt; docs/experiments/actionable-regime-confidence/runs/20260512T000729-codex-board-a-current-gap-and-chain-audit-v59/command-output/workflow_execution_candidate_demo.stdout.txt,pass,
Do not mark goal complete until every explicit requirement is covered,this v59 checklist,blocked,"current cursor explicitly blocked; R6 split/species, R5 recency, R3 native-subhour, and full cross-context coverage remain open"
