check,value,disposition
filename_sidecar_scan_hits,0,no_source_control_sidecar_filename_hits
nonbinary_mainregimev2_hits,0,no_mainregimev2_source_export
nonbinary_source_confidence_hits,0,no_source_confidence_sidecar
nonbinary_matched_negative_hits,0,no_matched_control_sidecar
nonbinary_order_lifecycle_hits,0,no_order_lifecycle_sidecar
nonbinary_market_regime_label_report_files,2,local_report_style_labels_only_non_promoting
csv_header_source_label_or_control_hits,0,no_csv_header_source_label_or_control_hits
tomac_raw_futures_packages_observed,"ES EUR GC NQ YM",raw_ohlcv_or_runtime_artifacts_only
valid_required_root_unlock,false,no_unlock
source_control_evidence_acquired,false,no_unlock
update_goal,false,not_complete
