surface,query_id,query,url,status,error
openalex,mainregimev2_exact,"""MainRegimeV2""",https://api.openalex.org/works?per-page=8&search=%22MainRegimeV2%22,200,
openalex,stock_regimes_extension_exact,"""stock_market_regimes_2026_extension""",https://api.openalex.org/works?per-page=8&search=%22stock_market_regimes_2026_extension%22,200,
openalex,native_subhour_rows_exact,"""native_subhour_source_label_rows""",https://api.openalex.org/works?per-page=8&search=%22native_subhour_source_label_rows%22,200,
openalex,positive_rows_exact,"""direct_manipulation_positive_rows""",https://api.openalex.org/works?per-page=8&search=%22direct_manipulation_positive_rows%22,200,
openalex,matched_controls_exact,"""direct_manipulation_matched_controls""",https://api.openalex.org/works?per-page=8&search=%22direct_manipulation_matched_controls%22,200,
openalex,oystacher_3red_controls,"""Oystacher"" ""3Red Trading"" ""matched controls""",https://api.openalex.org/works?per-page=8&search=%22Oystacher%22%20%223Red%20Trading%22%20%22matched%20controls%22,200,
openalex,bull_bear_sideways_crisis,"""market regime"" ""Bull"" ""Bear"" ""Sideways"" ""Crisis""",https://api.openalex.org/works?per-page=8&search=%22market%20regime%22%20%22Bull%22%20%22Bear%22%20%22Sideways%22%20%22Crisis%22,200,
openalex,lob_spoofing_controls,"""limit order book"" ""spoofing"" ""matched controls""",https://api.openalex.org/works?per-page=8&search=%22limit%20order%20book%22%20%22spoofing%22%20%22matched%20controls%22,200,
semantic_scholar,mainregimev2_exact,"""MainRegimeV2""","https://api.semanticscholar.org/graph/v1/paper/search?limit=8&fields=title,year,url,abstract,externalIds&query=%22MainRegimeV2%22",,<HTTPError 429: ''>
semantic_scholar,stock_regimes_extension_exact,"""stock_market_regimes_2026_extension""","https://api.semanticscholar.org/graph/v1/paper/search?limit=8&fields=title,year,url,abstract,externalIds&query=%22stock_market_regimes_2026_extension%22",200,
semantic_scholar,native_subhour_rows_exact,"""native_subhour_source_label_rows""","https://api.semanticscholar.org/graph/v1/paper/search?limit=8&fields=title,year,url,abstract,externalIds&query=%22native_subhour_source_label_rows%22",,<HTTPError 429: ''>
semantic_scholar,positive_rows_exact,"""direct_manipulation_positive_rows""","https://api.semanticscholar.org/graph/v1/paper/search?limit=8&fields=title,year,url,abstract,externalIds&query=%22direct_manipulation_positive_rows%22",200,
semantic_scholar,matched_controls_exact,"""direct_manipulation_matched_controls""","https://api.semanticscholar.org/graph/v1/paper/search?limit=8&fields=title,year,url,abstract,externalIds&query=%22direct_manipulation_matched_controls%22",,<HTTPError 429: ''>
semantic_scholar,oystacher_3red_controls,"""Oystacher"" ""3Red Trading"" ""matched controls""","https://api.semanticscholar.org/graph/v1/paper/search?limit=8&fields=title,year,url,abstract,externalIds&query=%22Oystacher%22%20%223Red%20Trading%22%20%22matched%20controls%22",,<HTTPError 429: ''>
semantic_scholar,bull_bear_sideways_crisis,"""market regime"" ""Bull"" ""Bear"" ""Sideways"" ""Crisis""","https://api.semanticscholar.org/graph/v1/paper/search?limit=8&fields=title,year,url,abstract,externalIds&query=%22market%20regime%22%20%22Bull%22%20%22Bear%22%20%22Sideways%22%20%22Crisis%22",,<HTTPError 429: ''>
semantic_scholar,lob_spoofing_controls,"""limit order book"" ""spoofing"" ""matched controls""","https://api.semanticscholar.org/graph/v1/paper/search?limit=8&fields=title,year,url,abstract,externalIds&query=%22limit%20order%20book%22%20%22spoofing%22%20%22matched%20controls%22",,<HTTPError 429: ''>
paperswithcode,mainregimev2_exact,"""MainRegimeV2""",https://paperswithcode.com/api/v1/search/?q=%22MainRegimeV2%22,200,json_parse_failed
paperswithcode,stock_regimes_extension_exact,"""stock_market_regimes_2026_extension""",https://paperswithcode.com/api/v1/search/?q=%22stock_market_regimes_2026_extension%22,200,json_parse_failed
paperswithcode,native_subhour_rows_exact,"""native_subhour_source_label_rows""",https://paperswithcode.com/api/v1/search/?q=%22native_subhour_source_label_rows%22,200,json_parse_failed
paperswithcode,positive_rows_exact,"""direct_manipulation_positive_rows""",https://paperswithcode.com/api/v1/search/?q=%22direct_manipulation_positive_rows%22,200,json_parse_failed
paperswithcode,matched_controls_exact,"""direct_manipulation_matched_controls""",https://paperswithcode.com/api/v1/search/?q=%22direct_manipulation_matched_controls%22,200,json_parse_failed
paperswithcode,oystacher_3red_controls,"""Oystacher"" ""3Red Trading"" ""matched controls""",https://paperswithcode.com/api/v1/search/?q=%22Oystacher%22%20%223Red%20Trading%22%20%22matched%20controls%22,200,json_parse_failed
paperswithcode,bull_bear_sideways_crisis,"""market regime"" ""Bull"" ""Bear"" ""Sideways"" ""Crisis""",https://paperswithcode.com/api/v1/search/?q=%22market%20regime%22%20%22Bull%22%20%22Bear%22%20%22Sideways%22%20%22Crisis%22,200,json_parse_failed
paperswithcode,lob_spoofing_controls,"""limit order book"" ""spoofing"" ""matched controls""",https://paperswithcode.com/api/v1/search/?q=%22limit%20order%20book%22%20%22spoofing%22%20%22matched%20controls%22,200,json_parse_failed
