path,matched_keywords,size_bytes,mtime_utc
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T213446-codex-us-panel-source-label-equivalence-extension-v1/us-panel-source-label-equivalence-extension/source_label_equivalence_rows_before.removed.txt,source_label_equivalence_rows,224,2026-05-11T13:41:02.883403+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T213910-codex-source-label-equivalence-duplicate-cleanup-v1/source-label-equivalence-duplicate-cleanup/source_label_equivalence_provenance_deduped.json,source_label_equivalence_provenance,3465,2026-05-11T13:44:27.294987+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T213910-codex-source-label-equivalence-duplicate-cleanup-v1/source-label-equivalence-duplicate-cleanup/source_label_equivalence_rows_deduped.removed.txt,source_label_equivalence_rows,461,2026-05-11T13:46:52.994821+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T214406-codex-source-label-intake-race-repair-v1/source-label-intake-race-repair/source_label_equivalence_provenance_repaired.json,source_label_equivalence_provenance,1838,2026-05-11T13:49:25.526053+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T214406-codex-source-label-intake-race-repair-v1/source-label-intake-race-repair/source_label_equivalence_rows_repaired.removed.txt,source_label_equivalence_rows,461,2026-05-11T13:51:50.750208+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction-v55/matched_negative_normal_activity_rows_v55.csv,matched_negative_normal_activity_rows,58890,2026-05-11T15:55:58.667153+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows,40082,2026-05-11T15:56:16.957964+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235048-codex-r6-jpmorgan-order-positive-row-candidate-screen-v1/delta-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows,13428,2026-05-11T15:58:15.618531+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235726-codex-r6-isolated-reconstruction-snapshot-v56/r6-isolated-reconstruction-snapshot-v56/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows,58890,2026-05-11T15:55:58.664346+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235745-codex-r6-active-sidecar-isolated-calibration-v1/r6-active-sidecar-isolated-calibration/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows,58689,2026-05-11T16:00:47.584349+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235815-codex-r6-live-intake-rehydrate-calibration-v1/r6-live-intake-rehydrate-calibration/matched_negative_normal_activity_rows_v1.csv,matched_negative_normal_activity_rows,58890,2026-05-11T15:55:58.667153+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235900-codex-r6-direct-intake-v56-clean-readback/r6-direct-intake-v56-clean-readback/matched_negative_normal_activity_rows_v56.csv,matched_negative_normal_activity_rows,58890,2026-05-11T15:55:58.667153+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235910-codex-r6-canonical-intake-v57-materialization-v1/r6-canonical-intake-v57-materialization/matched_negative_normal_activity_rows_v57.csv,matched_negative_normal_activity_rows,58890,2026-05-11T15:55:58.667153+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260511T235910-codex-r6-live-intake-rehydration-v1/r6-live-intake-rehydration/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows,58890,2026-05-11T15:55:58.667153+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000038-codex-r6-isolated-rehydration-split-readback-v1/r6-isolated-rehydration-split-readback/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows,58890,2026-05-11T16:09:15.863471+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000048-codex-r6-isolated-reconstruction-verification-v57/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows,58890,2026-05-11T16:05:55.822637+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000345-codex-r6-moncada-species-extension-calibration-v1/r6-moncada-species-extension-calibration/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows,64548,2026-05-11T16:08:45.495241+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000345-codex-r6-moncada-species-extension-calibration-v1/r6-moncada-species-extension-calibration/matched_negative_normal_activity_rows_moncada_species_v1.csv,matched_negative_normal_activity_rows,64548,2026-05-11T16:08:45.495241+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000803-codex-r6-jpm-cbot-treasury-control-uplift-v1/r6-jpm-cbot-treasury-control-uplift/matched_negative_normal_activity_rows_projected_v1.csv,matched_negative_normal_activity_rows,62426,2026-05-11T16:11:55.132171+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T002000-codex-r6-oystacher-exhibit-a-row-materialization-v1/r6-oystacher-exhibit-a-row-materialization/isolated-oystacher-exhibit-a-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows,1093232,2026-05-11T16:29:02.122587+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T003003-codex-r6-owner-export-verifier-native-contract-v1/r6-owner-export-verifier-native-contract/matched_negative_normal_activity_rows.header.csv,matched_negative_normal_activity_rows,292,2026-05-11T16:30:51.900357+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T003653-codex-r6-oystacher-approval-decision-package-v1/checks/r6_oystacher_approval_decision_package_v1_assertions.out,r6_oystacher_approval_decision_package,343,2026-05-11T16:38:27.431437+00:00
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T003653-codex-r6-oystacher-approval-decision-package-v1/r6-oystacher-approval-decision-package/r6_oystacher_approval_decision_package_v1.json,r6_oystacher_approval_decision_package,6631,2026-05-11T16:38:27.425957+00:00
