path,header,classification
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/glbx-mdp3-20100606-20260403.ohlcv-1m.csv,"ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol",ohlcv_context_only
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv,"raw_symbol,instrument_id,date",symbology_context_only
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/glbx-mdp3-20150101-20251231.ohlcv-1m.csv,"ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol",ohlcv_context_only
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv,"raw_symbol,instrument_id,date",symbology_context_only
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/gc_201101_202604.csv,"ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol",ohlcv_context_only
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/glbx-mdp3-20210106-20260105.ohlcv-1m.csv,"ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol",ohlcv_context_only
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv,"raw_symbol,instrument_id,date",symbology_context_only
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/NQ_1min_Continuous_Shifted_2836.csv,"ts_event,symbol,open_adj,high_adj,low_adj,close_adj,volume",ohlcv_context_only
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/glbx-mdp3-20100606-20260403.ohlcv-1m.csv,"ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol",ohlcv_context_only
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/nq_201101_202604.csv,"ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol",ohlcv_context_only
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.csv,"raw_symbol,instrument_id,date",symbology_context_only
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/glbx-mdp3-20110101-20251231.ohlcv-1m.csv,"ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol",ohlcv_context_only
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.csv,"raw_symbol,instrument_id,date",symbology_context_only
