name,returncode,timed_out,stdout_path,stderr_path,exit_path
source_label_equivalence_verifier,2,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/source_label_equivalence_verifier.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/source_label_equivalence_verifier.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/source_label_equivalence_verifier.exit
source_panel_recency_verifier,2,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/source_panel_recency_verifier.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/source_panel_recency_verifier.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/source_panel_recency_verifier.exit
direct_manipulation_verifier_live,0,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/direct_manipulation_verifier_live.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/direct_manipulation_verifier_live.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/direct_manipulation_verifier_live.exit
direct_manipulation_verifier_owner_export,2,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/direct_manipulation_verifier_owner_export.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/direct_manipulation_verifier_owner_export.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/direct_manipulation_verifier_owner_export.exit
provider_status_agent,0,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_agent.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_agent.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_agent.exit
provider_status_ibkr,0,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_ibkr.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_ibkr.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_ibkr.exit
provider_status_tradingview_mcp,0,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_tradingview_mcp.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_tradingview_mcp.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_tradingview_mcp.exit
provider_status_yfinance,0,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_yfinance.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_yfinance.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_yfinance.exit
provider_status_kraken_public,0,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_kraken_public.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_kraken_public.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_kraken_public.exit
provider_status_kraken_cli,0,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_kraken_cli.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_kraken_cli.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/provider_status_kraken_cli.exit
auto_quant_status_local,0,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/auto_quant_status_local.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/auto_quant_status_local.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/auto_quant_status_local.exit
analyze_nq_demo_agent,0,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/analyze_nq_demo_agent.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/analyze_nq_demo_agent.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/analyze_nq_demo_agent.exit
pre_bayes_status_nq,0,False,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/pre_bayes_status_nq.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/pre_bayes_status_nq.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T004827-codex-current-goal-completion-audit-after-v70-v1/command-output/pre_bayes_status_nq.exit
