source_id,root,native_scope,start_date,end_date,date_granularity,source_url,projection_status,notes
yardeni_sp500_bull_bear_tables_2024,Bull,S&P 500,2002-10-09,2007-10-09,day,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,requires_owner_crosswalk,"Yardeni S&P 500 bull market window; native to S&P 500 only."
yardeni_sp500_bull_bear_tables_2024,Bull,S&P 500,2009-03-09,2020-02-19,day,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,requires_owner_crosswalk,"Yardeni S&P 500 bull market window; native to S&P 500 only."
yardeni_sp500_bull_bear_tables_2024,Bull,S&P 500,2020-03-23,2022-01-03,day,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,requires_owner_crosswalk,"Yardeni S&P 500 bull market window; native to S&P 500 only."
yardeni_sp500_bull_bear_tables_2024,Bull,S&P 500,2022-10-12,,day,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,requires_current_refresh_and_owner_crosswalk,"Open-ended in inspected Yardeni PDF; refresh before live attachment."
yardeni_sp500_bull_bear_tables_2024,Bear,S&P 500,2000-03-24,2002-10-09,day,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,requires_owner_crosswalk,"Yardeni S&P 500 bear market window; native to S&P 500 only."
yardeni_sp500_bull_bear_tables_2024,Bear,S&P 500,2007-10-09,2009-03-09,day,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,requires_owner_crosswalk,"Yardeni S&P 500 bear market window; native to S&P 500 only."
yardeni_sp500_bull_bear_tables_2024,Bear,S&P 500,2020-02-19,2020-03-23,day,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,requires_owner_crosswalk,"Yardeni S&P 500 bear market window; native to S&P 500 only."
yardeni_sp500_bull_bear_tables_2024,Bear,S&P 500,2022-01-03,2022-10-12,day,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,requires_owner_crosswalk,"Yardeni S&P 500 bear market window; native to S&P 500 only."
nber_business_cycle_dates,Crisis,US macro/business cycle,2001-03,2001-11,month,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,requires_owner_crosswalk,"NBER contraction window; macro crisis/stress source, not instrument-specific."
nber_business_cycle_dates,Crisis,US macro/business cycle,2007-12,2009-06,month,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,requires_owner_crosswalk,"NBER contraction window; macro crisis/stress source, not instrument-specific."
nber_business_cycle_dates,Crisis,US macro/business cycle,2020-02,2020-04,month,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,requires_owner_crosswalk,"NBER contraction window; macro crisis/stress source, not instrument-specific."
