path,size_bytes,mtime_epoch,decision
/Users/thrill3r/Documents/NinjaTrader 8/EBWebView/component_crx_cache/000ac7dc9366969db9d1e41810a3a27c747a7623535d856eecc2de86cfed80c7,1890,1758249290,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CBOE Market Data Internals.xml,890,1714340094,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CFE.xml,852,1714340094,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CME Bundle.xml,3331,1714340094,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CME.xml,2068,1714340094,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CBOE US Index Futures ETH.xml,23273,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CBOE US Index Futures RTH.xml,23268,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CFE FX Futures.xml,40081,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Agriculture Dairy ETH.xml,30396,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Agriculture Dairy RTH.xml,30391,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Commodities ETH.xml,23985,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Commodities RTH.xml,23985,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME FX Futures ETH.xml,42621,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME FX Futures RTH.xml,42616,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Forest Futures ETH.xml,32550,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Forest Futures.xml,32542,1773374218,context_only_not_valid_unlock
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Global Index Futures RTH.xml,59181,1773374218,context_only_not_valid_unlock
