requirement,evidence,status,notes
Use the named board as the live contract without disrupting concurrent work,board sha captured before audit; packet materialized under existing 034813 run root,pass,c205b02cd80077cf063f90cc0ada60e650f90ee9c85f62d19baf7b6e4fe44502  docs/plans/2026-05-10-actionable-regime-confidence-todo.md
Every active regime has calibrated confidence >=95%,no accepted source/control evidence or downstream promotion rerun was produced,blocked,accepted_rows_added=0 new_confidence_gate=false
Each regime has its own qualifying conditions,required owner-export verifier blocked on missing files,blocked,positive_spoofing_layering_rows.csv; matched_negative_normal_activity_rows.csv; provenance_manifest.json
Cross-market/cycle/timeframe validation passes,"R6 owner-export, R3 native-subhour, and R5 recency-extension roots absent",blocked,root readback absent for all three required source/control roots
"Operate providers: IBKR, TradingViewRemix/TradingView, yfinance, Kraken",provider-status --agent executed,partial,yfinance=True kraken_cli=True ibkr=configured_runtime_unhealthy tradingview_mcp=configured_runtime_unhealthy
Operate AutoQuant locally,autoquant-status executed against prepared workspace,partial,dependency_ready_data_ready; no new promotion run allowed
Run filter / Pre-Bayes readback,pre-bayes-status executed,blocked,latest_policy=null latest_gate_status=null latest_soft_evidence=null
Run BBN / policy-training readback,policy-training-status executed,blocked,matched_rows=0 for cisd_rb_long_v1 and breaker_rb_long_v1
Run CatBoost / path-ranking readback,policy-training-status structural path-ranking fields inspected,blocked,structural path ranking target export missing runtime_selection=disabled runtime_source=none runtime_matches=0
Run execution-tree / workflow readback,workflow-status executed,blocked,actionable_artifacts=0 branch_admission=fail_closed
Do not promote proxy/runtime/local-cache evidence into Board A acceptance,approval package assertions and source/control roots inspected,pass,approval_present=false canonical_merge=false downstream_rerun=false update_goal=false
