blocker,count
total_rows,45
signal_rows,42
mss_or_cisd_true,7
displacement_true,6
pda_true,39
strict_complete,3
"missingness:entry_context_incomplete:missing_mss_cisd,missing_displacement",29
missingness:entry_context_incomplete:missing_displacement,4
missingness:entry_context_complete,3
missingness:entry_context_incomplete:missing_mss_cisd,3
"missingness:entry_context_incomplete:missing_mss_cisd,missing_displacement,missing_pda",3
missingness:event_time_missing_from_provider_candles,3
