pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,source_timerange_label,source_timerange,trade_seq,is_win,parent_regime_root,parent_regime_confidence_floor,manipulation_overlay_state,sub_regime_tags,sub_sub_regime_or_profit_factor,profit_factor_family,profit_factor_leaf,regime_profit_branch_path,regime_profit_branch_path_version,branch_path_source,recipe_id,trade_or_bar_horizon,allowed_action,suppression_rule
SOL/USDT,2865.270955,2865.270955,105.835,2021-07-27T17:00:00+00:00,2021-07-28T12:00:00+00:00,27.073,28.612,0.001,0.001,1140,0.05473472340656634,156.98664302,exit_signal,0.271,-0.99,0.271,-0.99,26.893,28.76,False,,1.0,False,1627405200000,1627473600000,"[{'amount': 105.835, 'safe_price': 27.073, 'ft_order_side': 'buy', 'order_filled_timestamp': 1627405200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2868.1362259549996}, {'amount': 105.835, 'safe_price': 28.612, 'ft_order_side': 'sell', 'order_filled_timestamp': 1627473600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 3031.1791710199996}]",0.0,2,full_5y,20210101-20251231,1,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
AVAX/USDT,2610.03636,2610.03636,59.77,2021-08-26T06:00:00+00:00,2021-08-27T08:00:00+00:00,43.668,46.8,0.001,0.001,1560,0.06958169612745047,181.79236764,exit_signal,0.437,-0.99,0.437,-0.99,40.3,47.88,False,,1.0,False,1629957600000,1630051200000,"[{'amount': 59.77, 'safe_price': 43.668, 'ft_order_side': 'buy', 'order_filled_timestamp': 1629957600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2612.64639636}, {'amount': 59.77, 'safe_price': 46.8, 'ft_order_side': 'sell', 'order_filled_timestamp': 1630051200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2800.0332359999998}]",0.0,4,full_5y,20210101-20251231,2,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
AVAX/USDT,2369.9552,2369.9552,52.34,2021-08-30T04:00:00+00:00,2021-09-01T06:00:00+00:00,45.28,43.65,0.001,0.001,3000,-0.037924310671660494,-89.9687962,exit_signal,0.453,-0.99,0.453,-0.99,38.17,46.5,False,,1.0,False,1630296000000,1630476000000,"[{'amount': 52.34, 'safe_price': 45.28, 'ft_order_side': 'buy', 'order_filled_timestamp': 1630296000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2372.3251552}, {'amount': 52.34, 'safe_price': 43.65, 'ft_order_side': 'sell', 'order_filled_timestamp': 1630476000000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2286.925641}]",0.0,2,full_5y,20210101-20251231,3,False,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
AVAX/USDT,2834.325,2834.325,66.69,2021-09-07T09:00:00+00:00,2021-09-09T05:00:00+00:00,42.5,42.34,0.001,0.001,2640,-0.005755185990480109,-16.3283796,exit_signal,0.43,-0.99,0.43,-0.99,32.23,44.6,False,,1.0,False,1631005200000,1631163600000,"[{'amount': 66.69, 'safe_price': 42.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1631005200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2837.1593249999996}, {'amount': 66.69, 'safe_price': 42.34, 'ft_order_side': 'sell', 'order_filled_timestamp': 1631163600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2826.4782546}]",0.0,3,full_5y,20210101-20251231,4,False,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
BNB/USDT,2288.2126,2288.2126,5.702,2021-09-07T15:00:00+00:00,2021-09-09T15:00:00+00:00,401.3,420.0,0.001,0.001,2880,0.04450744869384292,101.9443474,exit_signal,4.1,-0.99,4.1,-0.99,369.0,437.1,False,,1.0,False,1631026800000,1631199600000,"[{'amount': 5.702, 'safe_price': 401.3, 'ft_order_side': 'buy', 'order_filled_timestamp': 1631026800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2290.5008126}, {'amount': 5.702, 'safe_price': 420.0, 'ft_order_side': 'sell', 'order_filled_timestamp': 1631199600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2397.23484}]",0.0,3,full_5y,20210101-20251231,5,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
SOL/USDT,2148.99545,2148.99545,12.593,2021-09-10T15:00:00+00:00,2021-09-11T14:00:00+00:00,170.65,188.58,0.001,0.001,1380,0.10286092460132894,221.26870661,exit_signal,1.71,-0.99,1.71,-0.99,168.5,193.51,False,,1.0,False,1631286000000,1631368800000,"[{'amount': 12.593, 'safe_price': 170.65, 'ft_order_side': 'buy', 'order_filled_timestamp': 1631286000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2151.1444454499997}, {'amount': 12.593, 'safe_price': 188.58, 'ft_order_side': 'sell', 'order_filled_timestamp': 1631368800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2377.16272794}]",0.0,5,full_5y,20210101-20251231,6,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
BNB/USDT,2370.2715,2370.2715,5.945,2021-09-10T15:00:00+00:00,2021-09-12T09:00:00+00:00,398.7,415.2,0.001,0.001,2520,0.039303811312840664,93.2538645,exit_signal,4.0,-0.99,4.0,-0.99,393.2,416.9,False,,1.0,False,1631286000000,1631437200000,"[{'amount': 5.945, 'safe_price': 398.7, 'ft_order_side': 'buy', 'order_filled_timestamp': 1631286000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2372.6417715}, {'amount': 5.945, 'safe_price': 415.2, 'ft_order_side': 'sell', 'order_filled_timestamp': 1631437200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2470.832364}]",0.0,6,full_5y,20210101-20251231,7,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
SOL/USDT,2352.91917,2352.91917,14.023,2021-09-13T01:00:00+00:00,2021-09-13T22:00:00+00:00,167.79,172.3,0.001,0.001,1260,0.02482713067372463,58.47464793,exit_signal,1.68,-0.99,1.68,-0.99,150.3,175.0,False,,1.0,False,1631494800000,1631570400000,"[{'amount': 14.023, 'safe_price': 167.79, 'ft_order_side': 'buy', 'order_filled_timestamp': 1631494800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2355.2720891699996}, {'amount': 14.023, 'safe_price': 172.3, 'ft_order_side': 'sell', 'order_filled_timestamp': 1631570400000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2418.5790629}]",0.0,0,full_5y,20210101-20251231,8,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
BNB/USDT,2548.306,2548.306,6.476,2021-09-13T08:00:00+00:00,2021-09-14T09:00:00+00:00,393.5,405.1,0.001,0.001,1500,0.027422133140049276,69.9498664,exit_signal,4.0,-0.99,4.0,-0.99,383.0,411.8,False,,1.0,False,1631520000000,1631610000000,"[{'amount': 6.476, 'safe_price': 393.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1631520000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2550.8543059999997}, {'amount': 6.476, 'safe_price': 405.1, 'ft_order_side': 'sell', 'order_filled_timestamp': 1631610000000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2626.0510275999995}]",0.0,1,full_5y,20210101-20251231,9,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
SOL/USDT,3211.13826,3211.13826,21.263,2021-09-14T21:00:00+00:00,2021-09-15T06:00:00+00:00,151.02,161.33,0.001,0.001,540,0.06613469962695231,212.58003195,exit_signal,1.52,-0.99,1.52,-0.99,142.6,166.5,False,,1.0,False,1631653200000,1631685600000,"[{'amount': 21.263, 'safe_price': 151.02, 'ft_order_side': 'buy', 'order_filled_timestamp': 1631653200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 3214.3493982600003}, {'amount': 21.263, 'safe_price': 161.33, 'ft_order_side': 'sell', 'order_filled_timestamp': 1631685600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 3433.79014979}]",0.0,2,full_5y,20210101-20251231,10,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
