symbol,status,rows,start_date,end_date,cache_path
SPY,ready,6559,2000-01-03,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/SPY_USD-1d.feather
QQQ,ready,6559,2000-01-03,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/QQQ_USD-1d.feather
IWM,ready,6458,2000-05-26,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/IWM_USD-1d.feather
DIA,ready,6559,2000-01-03,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/DIA_USD-1d.feather
EFA,ready,6143,2001-08-27,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/EFA_USD-1d.feather
EEM,ready,5737,2003-04-14,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/EEM_USD-1d.feather
HYG,ready,4733,2007-04-11,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/HYG_USD-1d.feather
LQD,ready,5915,2002-07-30,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/LQD_USD-1d.feather
TLT,ready,5915,2002-07-30,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/TLT_USD-1d.feather
IEF,ready,5915,2002-07-30,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/IEF_USD-1d.feather
SHY,ready,5915,2002-07-30,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/SHY_USD-1d.feather
GLD,ready,5333,2004-11-18,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/GLD_USD-1d.feather
UUP,ready,4761,2007-03-01,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/UUP_USD-1d.feather
XLU,ready,6559,2000-01-03,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/XLU_USD-1d.feather
XLP,ready,6559,2000-01-03,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/XLP_USD-1d.feather
XLV,ready,6559,2000-01-03,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/XLV_USD-1d.feather
USO,ready,4984,2006-04-10,2026-01-30,docs/experiments/actionable-regime-confidence/runs/20260511T212211-codex-board-b-yfinance-defensive-crossasset-v1-repaired/provider-cache/USO_USD-1d.feather
