surface,path,filename,size_bytes,candidate_root
tmp,/tmp/ict-engine-native-subhour-source-label-intake/native_subhour_source_label_rows.csv,native_subhour_source_label_rows.csv,2786719721,/tmp/ict-engine-native-subhour-source-label-intake
tmp,/tmp/ict-engine-native-subhour-source-label-intake/native_subhour_source_label_provenance.json,native_subhour_source_label_provenance.json,2400,/tmp/ict-engine-native-subhour-source-label-intake
tmp,/tmp/ict-engine-direct-manipulation-row-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,/tmp/ict-engine-direct-manipulation-row-intake
tmp,/tmp/ict-engine-direct-manipulation-row-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,/tmp/ict-engine-direct-manipulation-row-intake
tmp,/tmp/ict-engine-direct-manipulation-row-intake/provenance_manifest.json,provenance_manifest.json,1450,/tmp/ict-engine-direct-manipulation-row-intake
tmp,/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake
tmp,/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake
tmp,/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake/provenance_manifest.json,provenance_manifest.json,6572,/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake
tmp,/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake
tmp,/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake
tmp,/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake/provenance_manifest.json,provenance_manifest.json,1458,/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake
tmp,/private/tmp/ict-engine-native-subhour-source-label-intake/native_subhour_source_label_rows.csv,native_subhour_source_label_rows.csv,2786719721,/private/tmp/ict-engine-native-subhour-source-label-intake
tmp,/private/tmp/ict-engine-native-subhour-source-label-intake/native_subhour_source_label_provenance.json,native_subhour_source_label_provenance.json,2400,/private/tmp/ict-engine-native-subhour-source-label-intake
tmp,/private/tmp/ict-engine-direct-manipulation-row-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,/private/tmp/ict-engine-direct-manipulation-row-intake
tmp,/private/tmp/ict-engine-direct-manipulation-row-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,/private/tmp/ict-engine-direct-manipulation-row-intake
