label,threshold,calibration_support,calibration_label_hits,calibration_precision,calibration_wilson95_lcb,heldout_market_support,heldout_market_label_hits,heldout_market_precision,heldout_market_wilson95_lcb,heldout_time_support,heldout_time_label_hits,heldout_time_precision,heldout_time_wilson95_lcb,test_support,test_label_hits,test_precision,test_wilson95_lcb,min_split_support,min_split_wilson95_lcb,accepted_extra_trees_confidence_95,blockers
Bear,0.35,49292,25923,0.5259068409,0.5214969472,7422,3430,0.462139585,0.4508195825,16887,8562,0.5070172322,0.4994760123,7983,3653,0.4575973945,0.4466917192,7422,0.4466917192,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.355,49292,25923,0.5259068409,0.5214969472,7422,3430,0.462139585,0.4508195825,16887,8562,0.5070172322,0.4994760123,7983,3653,0.4575973945,0.4466917192,7422,0.4466917192,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.36,49292,25923,0.5259068409,0.5214969472,7422,3430,0.462139585,0.4508195825,16887,8562,0.5070172322,0.4994760123,7983,3653,0.4575973945,0.4466917192,7422,0.4466917192,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.365,45981,24600,0.5350035884,0.5304419332,7158,3284,0.4587873708,0.4472689338,16234,8317,0.5123198226,0.5046287535,7983,3653,0.4575973945,0.4466917192,7158,0.4466917192,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.37,39728,22892,0.5762182843,0.5713519491,6157,3173,0.515348384,0.5028594199,15648,8089,0.5169350716,0.5091022776,7915,3653,0.4615287429,0.4505675017,6157,0.4505675017,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.375,38667,22629,0.5852277136,0.580308764,5934,3091,0.5208965285,0.5081765538,13257,7742,0.583993362,0.5755798707,6566,3519,0.5359427353,0.5238625806,5934,0.5081765538,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.38,36946,21900,0.5927569967,0.5877376989,5932,3089,0.5207349966,0.5080128104,12741,7515,0.589828114,0.5812616115,5906,3321,0.5623095157,0.5496206698,5906,0.5080128104,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.385,36752,21837,0.5941717458,0.5891417977,5890,3067,0.520713073,0.5079455807,12741,7515,0.589828114,0.5812616115,5906,3321,0.5623095157,0.5496206698,5890,0.5079455807,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.39,36469,21722,0.5956291645,0.5905824393,5883,3067,0.5213326534,0.5085578258,12741,7515,0.589828114,0.5812616115,5906,3321,0.5623095157,0.5496206698,5883,0.5085578258,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.395,36469,21722,0.5956291645,0.5905824393,5883,3067,0.5213326534,0.5085578258,12741,7515,0.589828114,0.5812616115,5906,3321,0.5623095157,0.5496206698,5883,0.5085578258,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.4,36282,21639,0.5964114437,0.591353197,5856,3044,0.5198087432,0.5070038798,12741,7515,0.589828114,0.5812616115,5902,3321,0.5626906134,0.5499984332,5856,0.5070038798,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.405,36282,21639,0.5964114437,0.591353197,5856,3044,0.5198087432,0.5070038798,12741,7515,0.589828114,0.5812616115,5902,3321,0.5626906134,0.5499984332,5856,0.5070038798,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
Bear,0.41,35293,21367,0.6054175049,0.6003071183,5616,2924,0.5206552707,0.5075798811,12420,7394,0.5953301127,0.5866698169,5647,3233,0.5725163804,0.5595683106,5616,0.5075798811,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95
