rank_artifact,unit_label,provider,provider_label,branch_id,branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,symbol,direction,status,trade_count,win_rate_pct,sharpe,total_profit_pct,pre_bayes_filter_state,bbn_posterior,catboost_path_ranker_label,execution_tree_decision,outcome
state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T113922.949Z.json,OB/FVG fvg_displacement_retest_expansion_v1 - Binance BTCUSDT 1h,Binance,Binance BTCUSDT 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,BTC,long,completed,0,0.0,0.0,0.0,missing_not_run,missing_not_run,missing_not_run,missing_not_run,aq_rank_only_no_downstream_outcome
state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T113922.949Z.json,OB/FVG fvg_displacement_retest_expansion_v1 - Bybit BTCUSDT 1h,Bybit,Bybit BTCUSDT 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,BTC,long,completed,0,0.0,0.0,0.0,missing_not_run,missing_not_run,missing_not_run,missing_not_run,aq_rank_only_no_downstream_outcome
state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,OB/FVG fvg_displacement_retest_expansion_v1 - IBKR SPY 1h,IBKR,IBKR SPY 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,SPY,long,completed,70,22.8571,-1.2397,-4.75,missing_not_run,missing_not_run,missing_not_run,missing_not_run,aq_rank_only_no_downstream_outcome
state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,OB/FVG fvg_displacement_retest_expansion_v1 - Kraken XBTUSD 1h,Kraken,Kraken XBTUSD 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,BTC,long,completed,0,0.0,0.0,0.0,missing_not_run,missing_not_run,missing_not_run,missing_not_run,aq_rank_only_no_downstream_outcome
state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,OB/FVG fvg_displacement_retest_expansion_v1 - TradingViewRemix/TVR BTC-USD 1h,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,BTC,long,completed,0,0.0,0.0,0.0,missing_not_run,missing_not_run,missing_not_run,missing_not_run,aq_rank_only_no_downstream_outcome
state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,OB/FVG fvg_displacement_retest_expansion_v1 - yfinance/YF SPY 1h,yfinance/YF,yfinance/YF SPY 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,SPY,long,completed,115,31.3043,-0.3006,-4.81,missing_not_run,missing_not_run,missing_not_run,missing_not_run,aq_rank_only_no_downstream_outcome
state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,OB/FVG fvg_retest_continuation_long_v1 - Binance BTCUSDT 1h,Binance,Binance BTCUSDT 1h,fvg_retest_continuation_long_v1,TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,BTC,long,completed,0,0.0,0.0,0.0,missing_not_run,missing_not_run,missing_not_run,missing_not_run,aq_rank_only_no_downstream_outcome
state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,OB/FVG fvg_retest_continuation_long_v1 - Bybit BTCUSDT 1h,Bybit,Bybit BTCUSDT 1h,fvg_retest_continuation_long_v1,TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,BTC,long,completed,0,0.0,0.0,0.0,missing_not_run,missing_not_run,missing_not_run,missing_not_run,aq_rank_only_no_downstream_outcome
state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,OB/FVG fvg_retest_continuation_long_v1 - IBKR SPY 1h,IBKR,IBKR SPY 1h,fvg_retest_continuation_long_v1,TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,SPY,long,completed,93,25.8065,-2.0305,-7.09,missing_not_run,missing_not_run,missing_not_run,missing_not_run,aq_rank_only_no_downstream_outcome
state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,OB/FVG fvg_retest_continuation_long_v1 - Kraken XBTUSD 1h,Kraken,Kraken XBTUSD 1h,fvg_retest_continuation_long_v1,TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,BTC,long,completed,0,0.0,0.0,0.0,missing_not_run,missing_not_run,missing_not_run,missing_not_run,aq_rank_only_no_downstream_outcome
