row_id,trade_id,strategy,strategy_family,pair,timeframe,open_date,open_timestamp,open_dt,profit_ratio_num,release_allowed_v2,is_bad_loss_num,qqq_yf_1h_timestamp,qqq_yf_1h_ret_1,qqq_yf_1h_ret_4,qqq_yf_1h_ret_8,qqq_yf_1h_ret_16,qqq_yf_1h_range_pct,qqq_yf_1h_vol_16,qqq_yf_1h_eff_16,qqq_yf_1h_trend_dir,qqq_yf_1h_trend_expansion,qqq_yf_1h_transition_guardrail,nq_autoquant_15m_timestamp,nq_autoquant_15m_ret_1,nq_autoquant_15m_ret_4,nq_autoquant_15m_ret_8,nq_autoquant_15m_ret_16,nq_autoquant_15m_range_pct,nq_autoquant_15m_vol_16,nq_autoquant_15m_eff_16,nq_autoquant_15m_trend_dir,nq_autoquant_15m_trend_expansion,nq_autoquant_15m_transition_guardrail,provider_observations_aligned,provider_trend_expansion_votes,provider_transition_guardrail_votes,provider_bull_trend_votes,provider_agreement_v2,provider_agreement_trend_expansion_event,provider_disagreement_transition_guardrail_event,future_qqq_ret_16h,future_qqq_max_dd_16h,transition_stable_v2,path_specific_edge_v2,provider_agreement_trend_expansion_release_v2,allowed_action,regime_id_v2
1,0d6f016a420b89fa,TomacNQ_ScratchNoRSINoConflict15m,ScratchNoRSINoConflict,NQ/USD,15m,2025-02-27T08:30:00+00:00,1740645000000,2025-02-27 08:30:00+00:00,-0.003803428472897,0,True,2025-02-26 20:30:00+00:00,0.002074350159199101,-0.008649518951731716,-0.0012618647873372524,-0.017117572082502863,0.004470509796850012,0.006127095252900766,0.24862032507428886,-1,0,1,2025-02-27 08:30:00+00:00,0.0011313923668727632,-0.00024748746422187384,0.0009264745488823944,0.006118294241223232,0.001592922258935971,0.0008474494109949341,0.49702720253750193,1,0,0,2,0,1,1,0,0,1,-0.0275034878589292,-0.0275034878589292,1,0,0,observe_only,ProviderDisagreementTransitionGuardrail
2,664bc15cfd8ce764,TomacNQ_RegimePersistenceClusterDense15m,RegimePersistenceClusterDense,NQ/USD,15m,2025-03-02T23:30:00+00:00,1740958200000,2025-03-02 23:30:00+00:00,-0.0043197486691683,0,True,2025-02-28 20:30:00+00:00,0.00751374579688302,0.010900722018263975,0.011746017434693723,-0.009066907673327962,0.012554061810284433,0.005585439869859248,0.12588176734043227,1,0,1,2025-03-02 23:30:00+00:00,-0.0002945283183524161,0.003998685363715948,0.010418963616317445,0.01526582250434827,0.0014185171040427737,0.0027664057545700987,0.4881401673328119,1,1,0,2,1,1,2,1,1,1,-0.0016135523504960947,-0.0016135523504960947,1,0,0,observe_only,ProviderAgreementTrendExpansion
3,5af9a02b1b53bc69,TomacNQ_RegimeTrendPullbackSimple15m,RegimeTrendPullbackSimple,NQ/USD,15m,2025-03-03T15:45:00+00:00,1741016700000,2025-03-03 15:45:00+00:00,-0.0053268712272543,0,True,2025-03-03 15:30:00+00:00,-0.0034055159491833686,0.013807028683547662,0.00638668093435002,-0.01380029516302772,0.006681411596463046,0.005600811775912703,0.18635264205793803,1,0,1,2025-03-03 15:45:00+00:00,-0.005370416862235716,0.0005600087844515045,-0.009026546747724296,-0.008023253282239962,0.005838390711252072,0.00271541623495201,0.26970610144468465,-1,0,0,2,0,1,1,0,0,1,-0.019827343335922953,-0.024172209648746557,0,0,0,observe_only,ProviderDisagreementTransitionGuardrail
4,494813e53acb8b96,TomacNQ_RegimeTrendPullbackSimple15m,RegimeTrendPullbackSimple,NQ/USD,15m,2025-03-05T08:30:00+00:00,1741163400000,2025-03-05 08:30:00+00:00,-0.0018757144917936,0,False,2025-03-04 20:30:00+00:00,-0.013380325893918021,-5.025345972897721e-05,0.0007967852455121882,-0.009910666859112682,0.017497150929070573,0.009107538005901816,0.08634261205956142,1,0,1,2025-03-05 08:30:00+00:00,-0.0018757144918367663,0.000578562050779885,0.000890372843628251,0.000890372843628251,0.002346269320582675,0.0012182789415689118,0.06702248583910672,1,0,1,2,0,2,2,1,0,1,0.013259019348061729,-0.004399554298389452,1,0,0,observe_only,ProviderDisagreementTransitionGuardrail
5,362f633a8485a18b,TomacNQ_ScratchNoRSINoConflict15m,ScratchNoRSINoConflict,NQ/USD,15m,2025-03-05T11:45:00+00:00,1741175100000,2025-03-05 11:45:00+00:00,-0.002569778954533,0,True,2025-03-04 20:30:00+00:00,-0.013380325893918021,-5.025345972897721e-05,0.0007967852455121882,-0.009910666859112682,0.017497150929070573,0.009107538005901816,0.08634261205956142,1,0,1,2025-03-05 11:45:00+00:00,-0.0026031237484982483,-0.0023700637580532646,-0.005181692094313406,-0.0021813163576468453,0.005197528385643222,0.0014335307013056556,0.12248585713452739,-1,0,1,2,0,2,1,0,0,1,0.013259019348061729,-0.004399554298389452,1,0,0,observe_only,ProviderDisagreementTransitionGuardrail
6,2902c062118c9814,TomacNQ_RegimeTrendPullbackDense15m,RegimeTrendPullbackDense,NQ/USD,15m,2025-03-12T09:30:00+00:00,1741771800000,2025-03-12 09:30:00+00:00,0.007543943435597,1,False,2025-03-11 19:30:00+00:00,-0.008012950009592124,0.0005091333934668096,-0.002031169086093354,-0.04217770471671467,0.009074202673540858,0.008808468513387287,0.4573923509896257,-1,0,0,2025-03-12 09:30:00+00:00,-0.0006289894236592986,0.0005597667638483905,0.0037671393139595555,0.0024887538704212453,0.001759947784330637,0.001217975954179769,0.16438088466332829,1,0,1,2,0,1,1,0,0,1,0.011469826341546918,0.006900956754871235,0,1,0,observe_only,ProviderDisagreementTransitionGuardrail
7,85ef38a44f1ab560,TomacNQ_RegimeTrendPullbackSimple15m,RegimeTrendPullbackSimple,NQ/USD,15m,2025-03-12T11:15:00+00:00,1741778100000,2025-03-12 11:15:00+00:00,-0.0024770898264656,0,False,2025-03-11 19:30:00+00:00,-0.008012950009592124,0.0005091333934668096,-0.002031169086093354,-0.04217770471671467,0.009074202673540858,0.008808468513387287,0.4573923509896257,-1,0,0,2025-03-12 11:15:00+00:00,0.0006047425773663129,0.0027037421189413102,0.0021781670782277107,0.008025400098413682,0.0013017352595915805,0.001077901269010555,0.5261517124402196,1,0,0,2,0,0,1,0,0,1,0.011469826341546918,0.006900956754871235,0,0,0,observe_only,ProviderDisagreementTransitionGuardrail
8,62a1e28a4fe83840,TomacNQ_RegimeTrendPullbackNoRSI15m,RegimeTrendPullbackNoRSI,NQ/USD,15m,2025-03-12T15:45:00+00:00,1741794300000,2025-03-12 15:45:00+00:00,-0.0017441860465116,0,False,2025-03-12 15:30:00+00:00,0.007969687338833742,0.006793094124082799,0.012982937909468362,0.0008572102709041296,0.009755412485834038,0.0071614061855665555,0.009588820717044085,1,0,1,2025-03-12 15:45:00+00:00,0.0025930835600826985,0.007348817646509076,-0.0005332282332757288,0.0023366658916530447,0.0035142250727780936,0.002445032929496276,0.07531619482175393,-1,0,1,2,0,2,1,0,0,1,-0.0034049944891644257,-0.0034049944891644257,1,0,0,observe_only,ProviderDisagreementTransitionGuardrail
9,8f0e2383c4a8f7eb,TomacNQ_RegimeTrendPullbackNoRSI15m,RegimeTrendPullbackNoRSI,NQ/USD,15m,2025-03-12T22:15:00+00:00,1741817700000,2025-03-12 22:15:00+00:00,-0.0007083222053413,0,False,2025-03-12 19:30:00+00:00,-0.00039810263745876373,-0.0034049944891644257,0.003364969186861355,0.009564899773623736,0.00477907026802415,0.007005049598010182,0.11523423603910862,1,0,1,2025-03-12 22:15:00+00:00,0.0006619286510591849,0.001557505666298642,5.8028875168369964e-05,-0.003769003988669861,0.001462242801935731,0.0020020249153538143,0.1579886058399445,1,0,1,2,0,2,2,1,0,1,-0.006749394884154047,-0.006749394884154047,1,0,0,observe_only,ProviderDisagreementTransitionGuardrail
10,e587d3e9b70ca84f,TomacNQ_ScratchNoRSINoConflict15m,ScratchNoRSINoConflict,NQ/USD,15m,2025-03-14T10:30:00+00:00,1741948200000,2025-03-14 10:30:00+00:00,-0.0001990795498677,0,False,2025-03-13 19:30:00+00:00,-0.0005974836787646653,-0.0028104994708627595,-0.01868959523013447,-0.012898592327106329,0.005028249040375795,0.005619070466297789,0.18060851252954838,-1,0,1,2025-03-14 10:30:00+00:00,-0.00022249806777996373,-0.0007256809110807172,-0.0004565996206711276,0.0003984017060967293,0.001288433382137628,0.0007108776660285881,0.047226294043375576,-1,0,1,2,0,2,0,0,0,1,0.02412722887948715,0.012127666492494527,0,0,0,observe_only,ProviderDisagreementTransitionGuardrail
