provider,provider_label,branch_id,branch_path,material_path,strategy_path,rows
yfinance/YF,yfinance/YF SPY 1h,runtime_density_upbar_reclaim_long_v1,Transition -> RuntimeEvidenceDensity -> upbar_reclaim -> runtime_density_upbar_reclaim_long_v1,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/hdr-runtime_density_upbar_reclaim_long_v1-yfinance-yf-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/RuntimeDensityUpbarReclaimLongV1.py,2355
IBKR,IBKR SPY 1h,runtime_density_upbar_reclaim_long_v1,Transition -> RuntimeEvidenceDensity -> upbar_reclaim -> runtime_density_upbar_reclaim_long_v1,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/hdr-runtime_density_upbar_reclaim_long_v1-ibkr-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/RuntimeDensityUpbarReclaimLongV1.py,1935
Binance,Binance BTCUSDT 1h,runtime_density_upbar_reclaim_long_v1,Transition -> RuntimeEvidenceDensity -> upbar_reclaim -> runtime_density_upbar_reclaim_long_v1,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/hdr-runtime_density_upbar_reclaim_long_v1-binance-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/RuntimeDensityUpbarReclaimLongV1.py,11905
Bybit,Bybit BTCUSDT 1h,runtime_density_upbar_reclaim_long_v1,Transition -> RuntimeEvidenceDensity -> upbar_reclaim -> runtime_density_upbar_reclaim_long_v1,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/hdr-runtime_density_upbar_reclaim_long_v1-bybit-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/RuntimeDensityUpbarReclaimLongV1.py,1000
Kraken,Kraken XBTUSD 1h,runtime_density_upbar_reclaim_long_v1,Transition -> RuntimeEvidenceDensity -> upbar_reclaim -> runtime_density_upbar_reclaim_long_v1,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/hdr-runtime_density_upbar_reclaim_long_v1-kraken-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/RuntimeDensityUpbarReclaimLongV1.py,721
yfinance/YF,yfinance/YF SPY 1h,runtime_density_downbar_failure_short_v1,Transition -> RuntimeEvidenceDensity -> downbar_failure -> runtime_density_downbar_failure_short_v1,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/hdr-runtime_density_downbar_failure_short_v1-yfinance-yf-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/RuntimeDensityDownbarFailureShortV1.py,2355
IBKR,IBKR SPY 1h,runtime_density_downbar_failure_short_v1,Transition -> RuntimeEvidenceDensity -> downbar_failure -> runtime_density_downbar_failure_short_v1,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/hdr-runtime_density_downbar_failure_short_v1-ibkr-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/RuntimeDensityDownbarFailureShortV1.py,1935
Binance,Binance BTCUSDT 1h,runtime_density_downbar_failure_short_v1,Transition -> RuntimeEvidenceDensity -> downbar_failure -> runtime_density_downbar_failure_short_v1,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/hdr-runtime_density_downbar_failure_short_v1-binance-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/RuntimeDensityDownbarFailureShortV1.py,11905
Bybit,Bybit BTCUSDT 1h,runtime_density_downbar_failure_short_v1,Transition -> RuntimeEvidenceDensity -> downbar_failure -> runtime_density_downbar_failure_short_v1,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/hdr-runtime_density_downbar_failure_short_v1-bybit-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/RuntimeDensityDownbarFailureShortV1.py,1000
Kraken,Kraken XBTUSD 1h,runtime_density_downbar_failure_short_v1,Transition -> RuntimeEvidenceDensity -> downbar_failure -> runtime_density_downbar_failure_short_v1,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/hdr-runtime_density_downbar_failure_short_v1-kraken-1h-v1.material.json,docs/experiments/actionable-regime-confidence/runs/20260512T210227+0800-codex-high-density-six-provider-aq-runtime-evidence-v1/agent-material/RuntimeDensityDownbarFailureShortV1.py,721
