branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,provider,package_id,material_path,local_cache_replay,new_provider_fetch,unit_label,status,trade_count,win_rate_pct,sharpe,total_profit_pct,evidence_class,quality_weight,allowed_feedback_targets,pre_bayes_filter_allowed,bbn_learning_allowed,catboost_learning_allowed,execution_tree_branch_weight_update_allowed
TrendExpansion -> MomentumPersistence -> macd_signal_pullback -> macd_signal_pullback_continuation_v1,TrendExpansion,MomentumPersistence,macd_signal_pullback,macd_signal_pullback_continuation_v1,yfinance/YF,macd-signal-pullback-yfinance-yf-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-signal-pullback-yfinance-yf-1h-v1.material.json,True,False,MACD signal pullback continuation - yfinance/YF SPY 1h,completed,14,64.2857,0.1266,2.22,low_density_weak_positive_provider_sample,0.1,branch_nursery_only,false,false,false,false
TrendExpansion -> MomentumPersistence -> macd_zero_line_reclaim -> macd_zero_line_reclaim_long_v1,TrendExpansion,MomentumPersistence,macd_zero_line_reclaim,macd_zero_line_reclaim_long_v1,IBKR,macd-zero-line-reclaim-ibkr-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-zero-line-reclaim-ibkr-1h-v1.material.json,True,False,MACD zero-line reclaim - IBKR SPY 1h,completed,16,56.25,0.7144,2.5,low_density_weak_positive_provider_sample,0.1,branch_nursery_only,false,false,false,false
TrendExpansion -> MomentumPersistence -> macd_zero_line_reclaim -> macd_zero_line_reclaim_long_v1,TrendExpansion,MomentumPersistence,macd_zero_line_reclaim,macd_zero_line_reclaim_long_v1,yfinance/YF,macd-zero-line-reclaim-yfinance-yf-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-zero-line-reclaim-yfinance-yf-1h-v1.material.json,True,False,MACD zero-line reclaim - yfinance/YF SPY 1h,completed,10,50.0,0.1778,4.66,low_density_weak_positive_provider_sample,0.1,branch_nursery_only,false,false,false,false
TrendExpansion -> MomentumPersistence -> macd_signal_pullback -> macd_signal_pullback_continuation_v1,TrendExpansion,MomentumPersistence,macd_signal_pullback,macd_signal_pullback_continuation_v1,IBKR,macd-signal-pullback-ibkr-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-signal-pullback-ibkr-1h-v1.material.json,True,False,MACD signal pullback continuation - IBKR SPY 1h,completed,14,21.4286,-0.5743,-1.86,low_density_negative_sample,0.05,branch_nursery_only,false,false,false,false
TrendExpansion -> MomentumPersistence -> macd_zero_line_reclaim -> macd_zero_line_reclaim_long_v1,TrendExpansion,MomentumPersistence,macd_zero_line_reclaim,macd_zero_line_reclaim_long_v1,TradingViewRemix/TVR,macd-zero-line-reclaim-tvr-btc-usd-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-zero-line-reclaim-tvr-btc-usd-1h-v1.material.json,True,False,MACD zero-line reclaim - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> MomentumPersistence -> macd_signal_pullback -> macd_signal_pullback_continuation_v1,TrendExpansion,MomentumPersistence,macd_signal_pullback,macd_signal_pullback_continuation_v1,TradingViewRemix/TVR,macd-signal-pullback-tvr-btc-usd-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-signal-pullback-tvr-btc-usd-1h-v1.material.json,True,False,MACD signal pullback continuation - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> MomentumPersistence -> macd_zero_line_reclaim -> macd_zero_line_reclaim_long_v1,TrendExpansion,MomentumPersistence,macd_zero_line_reclaim,macd_zero_line_reclaim_long_v1,Kraken,macd-zero-line-reclaim-kraken-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-zero-line-reclaim-kraken-1h-v1.material.json,True,False,MACD zero-line reclaim - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> MomentumPersistence -> macd_signal_pullback -> macd_signal_pullback_continuation_v1,TrendExpansion,MomentumPersistence,macd_signal_pullback,macd_signal_pullback_continuation_v1,Kraken,macd-signal-pullback-kraken-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-signal-pullback-kraken-1h-v1.material.json,True,False,MACD signal pullback continuation - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> MomentumPersistence -> macd_zero_line_reclaim -> macd_zero_line_reclaim_long_v1,TrendExpansion,MomentumPersistence,macd_zero_line_reclaim,macd_zero_line_reclaim_long_v1,Binance,macd-zero-line-reclaim-binance-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-zero-line-reclaim-binance-1h-v1.material.json,True,False,MACD zero-line reclaim - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> MomentumPersistence -> macd_signal_pullback -> macd_signal_pullback_continuation_v1,TrendExpansion,MomentumPersistence,macd_signal_pullback,macd_signal_pullback_continuation_v1,Binance,macd-signal-pullback-binance-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-signal-pullback-binance-1h-v1.material.json,True,False,MACD signal pullback continuation - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
