package_id,provider,symbol,provider_symbol,timeframe,branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,strategy_class_name,material_path,material_sha256,data_path,data_rows,data_sha256,source_material,source_material_sha256,local_cache_replay,new_provider_fetch,provider_authority_state
macd-zero-line-reclaim-yfinance-yf-1h-v1,yfinance/YF,SPY,SPY,1h,TrendExpansion -> MomentumPersistence -> macd_zero_line_reclaim -> macd_zero_line_reclaim_long_v1,TrendExpansion,MomentumPersistence,macd_zero_line_reclaim,macd_zero_line_reclaim_long_v1,MacdZeroLineReclaimLongV1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-zero-line-reclaim-yfinance-yf-1h-v1.material.json,7af1da6d403c4a3c690121ef7e3fb82e849fd407975f4ac9a523c45ae1d041a5,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv,2355,996b2f744b6c9f1ca2e630916cfbb6b9d1becdca8aa8709a004d225b2fe12b77,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-yfinance-yf-1h-v1.material.json,f1f93bbf3645744c81143bb84de5e5d23cba75c266c7bf94ac4bd50d00aeb0c9,true,false,replay_from_184332_provider_preflight
macd-signal-pullback-yfinance-yf-1h-v1,yfinance/YF,SPY,SPY,1h,TrendExpansion -> MomentumPersistence -> macd_signal_pullback -> macd_signal_pullback_continuation_v1,TrendExpansion,MomentumPersistence,macd_signal_pullback,macd_signal_pullback_continuation_v1,MacdSignalPullbackContinuationV1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-signal-pullback-yfinance-yf-1h-v1.material.json,96516e02656df28726865c430d681200405dcf43ad99f13e0fe31f175b00d63b,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv,2355,996b2f744b6c9f1ca2e630916cfbb6b9d1becdca8aa8709a004d225b2fe12b77,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-yfinance-yf-1h-v1.material.json,f1f93bbf3645744c81143bb84de5e5d23cba75c266c7bf94ac4bd50d00aeb0c9,true,false,replay_from_184332_provider_preflight
macd-zero-line-reclaim-ibkr-1h-v1,IBKR,SPY,SPY,1h,TrendExpansion -> MomentumPersistence -> macd_zero_line_reclaim -> macd_zero_line_reclaim_long_v1,TrendExpansion,MomentumPersistence,macd_zero_line_reclaim,macd_zero_line_reclaim_long_v1,MacdZeroLineReclaimLongV1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-zero-line-reclaim-ibkr-1h-v1.material.json,a47b0c50ee3370f186e16a342e8374613ca074fa145483a68d7750a864cb9024,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/data/normalized/ibkr_spy_1h_90d.normalized.csv,1427,24fcdb5982d442bf20a8e66a47d93a2c1f32caf6bb7173c42333d6290a33c48c,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-ibkr-1h-v1.material.json,21c9f5c2d401c008fb30845e86c6780b4687a0410bec01cbe31662ca2239bb8e,true,false,replay_from_184332_provider_preflight
macd-signal-pullback-ibkr-1h-v1,IBKR,SPY,SPY,1h,TrendExpansion -> MomentumPersistence -> macd_signal_pullback -> macd_signal_pullback_continuation_v1,TrendExpansion,MomentumPersistence,macd_signal_pullback,macd_signal_pullback_continuation_v1,MacdSignalPullbackContinuationV1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-signal-pullback-ibkr-1h-v1.material.json,f3101b30ba51f132a6483140281d8dab94147edf81fde42caed4d6cd84900ee4,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/data/normalized/ibkr_spy_1h_90d.normalized.csv,1427,24fcdb5982d442bf20a8e66a47d93a2c1f32caf6bb7173c42333d6290a33c48c,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-ibkr-1h-v1.material.json,21c9f5c2d401c008fb30845e86c6780b4687a0410bec01cbe31662ca2239bb8e,true,false,replay_from_184332_provider_preflight
macd-zero-line-reclaim-tvr-btc-usd-1h-v1,TradingViewRemix/TVR,BTCUSD,BTC-USD,1h,TrendExpansion -> MomentumPersistence -> macd_zero_line_reclaim -> macd_zero_line_reclaim_long_v1,TrendExpansion,MomentumPersistence,macd_zero_line_reclaim,macd_zero_line_reclaim_long_v1,MacdZeroLineReclaimLongV1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-zero-line-reclaim-tvr-btc-usd-1h-v1.material.json,1ec35afe6c2a568fa56cad20d2194f7ee8312cec9a27373f8068bbed2d4069f9,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/data/normalized/tvr_btc_usd_1h.normalized.csv,719,907759881864aabc08c99ba56d1a5d5f459531298bc0a3c9632aab2a356d5e62,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-tvr-btc-usd-1h-v1.material.json,4790f51f371d55a81feceae173ee57713dddc6a63e1d319a2588525cb4cabc5a,true,false,replay_from_184332_provider_preflight
macd-signal-pullback-tvr-btc-usd-1h-v1,TradingViewRemix/TVR,BTCUSD,BTC-USD,1h,TrendExpansion -> MomentumPersistence -> macd_signal_pullback -> macd_signal_pullback_continuation_v1,TrendExpansion,MomentumPersistence,macd_signal_pullback,macd_signal_pullback_continuation_v1,MacdSignalPullbackContinuationV1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-signal-pullback-tvr-btc-usd-1h-v1.material.json,b81ac0633a7083868c77368aed21763ea9728a7a3cb36e73fdc5997fd8529477,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/data/normalized/tvr_btc_usd_1h.normalized.csv,719,907759881864aabc08c99ba56d1a5d5f459531298bc0a3c9632aab2a356d5e62,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-tvr-btc-usd-1h-v1.material.json,4790f51f371d55a81feceae173ee57713dddc6a63e1d319a2588525cb4cabc5a,true,false,replay_from_184332_provider_preflight
macd-zero-line-reclaim-kraken-1h-v1,Kraken,XBTUSD,XBTUSD,1h,TrendExpansion -> MomentumPersistence -> macd_zero_line_reclaim -> macd_zero_line_reclaim_long_v1,TrendExpansion,MomentumPersistence,macd_zero_line_reclaim,macd_zero_line_reclaim_long_v1,MacdZeroLineReclaimLongV1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-zero-line-reclaim-kraken-1h-v1.material.json,bd5adf6fef33530049e4ff23ec93e156d6a0cd469b5064c85504f5ebead0bf19,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/data/normalized/kraken_futures_pfxbtusd_1h.normalized.csv,2000,0271dd42a2edbf299b8283a3929f34b52699703daa92cc3e7f430bb87750c539,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-kraken-1h-v1.material.json,138aac74ae414ea36fc6c1caf5f28c1a8e4ac54ddb81211093b511febfb72583,true,false,replay_from_184332_provider_preflight
macd-signal-pullback-kraken-1h-v1,Kraken,XBTUSD,XBTUSD,1h,TrendExpansion -> MomentumPersistence -> macd_signal_pullback -> macd_signal_pullback_continuation_v1,TrendExpansion,MomentumPersistence,macd_signal_pullback,macd_signal_pullback_continuation_v1,MacdSignalPullbackContinuationV1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-signal-pullback-kraken-1h-v1.material.json,d7820a8862594917c28c8bcaff8d9b197a4b03c18beb8c43e3a1fabfe2ffba6e,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/data/normalized/kraken_futures_pfxbtusd_1h.normalized.csv,2000,0271dd42a2edbf299b8283a3929f34b52699703daa92cc3e7f430bb87750c539,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-kraken-1h-v1.material.json,138aac74ae414ea36fc6c1caf5f28c1a8e4ac54ddb81211093b511febfb72583,true,false,replay_from_184332_provider_preflight
macd-zero-line-reclaim-binance-1h-v1,Binance,BTCUSDT,BTCUSDT,1h,TrendExpansion -> MomentumPersistence -> macd_zero_line_reclaim -> macd_zero_line_reclaim_long_v1,TrendExpansion,MomentumPersistence,macd_zero_line_reclaim,macd_zero_line_reclaim_long_v1,MacdZeroLineReclaimLongV1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-zero-line-reclaim-binance-1h-v1.material.json,9ce7d39c0c4af9161c78953b5a6a0b8867553ae1d80a8eb469098368f49d4cf0,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv,11905,e6a371a3334b83eb89fdfb0f2e8d9d794e93cddb0af894001f4537840fea5079,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-binance-1h-v1.material.json,ed86a685329629f3015d05bcff44d8fea00f95f4d3d64eacdf6a8144eb8a44b2,true,false,replay_from_184332_provider_preflight
macd-signal-pullback-binance-1h-v1,Binance,BTCUSDT,BTCUSDT,1h,TrendExpansion -> MomentumPersistence -> macd_signal_pullback -> macd_signal_pullback_continuation_v1,TrendExpansion,MomentumPersistence,macd_signal_pullback,macd_signal_pullback_continuation_v1,MacdSignalPullbackContinuationV1,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/agent-material/macd-signal-pullback-binance-1h-v1.material.json,6cb76ec9f58dba92e99e49db7e3d5784652759cd1dfecee0694e03ff5f13248b,docs/experiments/actionable-regime-confidence/runs/20260512T193452+0800-codex-macd-momentum-branch-keyed-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv,11905,e6a371a3334b83eb89fdfb0f2e8d9d794e93cddb0af894001f4537840fea5079,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-binance-1h-v1.material.json,ed86a685329629f3015d05bcff44d8fea00f95f4d3d64eacdf6a8144eb8a44b2,true,false,replay_from_184332_provider_preflight
