root,filename,exists,sha256
/tmp/ict-engine-board-a-r6-owner-export-v1,validation_contract_approval.json,False,
/tmp/ict-engine-board-a-r6-owner-export-v1,owner_approval_reference.md,False,
/tmp/ict-engine-board-a-r6-owner-export-v1,positive_spoofing_layering_rows.csv,False,
/tmp/ict-engine-board-a-r6-owner-export-v1,matched_negative_normal_activity_rows.csv,False,
/tmp/ict-engine-board-a-r6-owner-export-v1,provenance_manifest.json,False,
/private/tmp/ict-engine-board-a-r6-owner-export-v1,validation_contract_approval.json,False,
/private/tmp/ict-engine-board-a-r6-owner-export-v1,owner_approval_reference.md,False,
/private/tmp/ict-engine-board-a-r6-owner-export-v1,positive_spoofing_layering_rows.csv,False,
/private/tmp/ict-engine-board-a-r6-owner-export-v1,matched_negative_normal_activity_rows.csv,False,
/private/tmp/ict-engine-board-a-r6-owner-export-v1,provenance_manifest.json,False,
