surface,slug,route,query,method,status,error,parse_error,record_count_top10,required_filename_hit,owner_hit,mainregimev2_hit,r3_native_subhour_hit,r5_recency_hit,order_context_hit,top_titles,url
datacite,mainregimev2_exact,r5_r3_exact,"""MainRegimeV2""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22MainRegimeV2%22&page%5Bsize%5D=10
osf,mainregimev2_exact,r5_r3_exact,"""MainRegimeV2""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22MainRegimeV2%22&page%5Bsize%5D=10
figshare,mainregimev2_exact,r5_r3_exact,"""MainRegimeV2""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,mainregimev2_exact,r5_r3_exact,"""MainRegimeV2""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22MainRegimeV2%22
datacite,mainregimev2_crisis_exact,r3_exact,"""MainRegimeV2"" ""Crisis""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22MainRegimeV2%22+%22Crisis%22&page%5Bsize%5D=10
osf,mainregimev2_crisis_exact,r3_exact,"""MainRegimeV2"" ""Crisis""",GET,200,,,9,False,False,False,False,False,False,Crisis Migration | Personal Crisis | Coping with crisis,https://api.osf.io/v2/search/?q=%22MainRegimeV2%22+%22Crisis%22&page%5Bsize%5D=10
figshare,mainregimev2_crisis_exact,r3_exact,"""MainRegimeV2"" ""Crisis""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,mainregimev2_crisis_exact,r3_exact,"""MainRegimeV2"" ""Crisis""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22MainRegimeV2%22+%22Crisis%22
datacite,stock_market_regimes_extension_exact,r5_exact,"""stock_market_regimes_2026_extension""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22stock_market_regimes_2026_extension%22&page%5Bsize%5D=10
osf,stock_market_regimes_extension_exact,r5_exact,"""stock_market_regimes_2026_extension""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22stock_market_regimes_2026_extension%22&page%5Bsize%5D=10
figshare,stock_market_regimes_extension_exact,r5_exact,"""stock_market_regimes_2026_extension""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,stock_market_regimes_extension_exact,r5_exact,"""stock_market_regimes_2026_extension""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22stock_market_regimes_2026_extension%22
datacite,stock_market_regimes_2026_exact,r5_context,"""stock market regimes 2026""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22stock+market+regimes+2026%22&page%5Bsize%5D=10
osf,stock_market_regimes_2026_exact,r5_context,"""stock market regimes 2026""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22stock+market+regimes+2026%22&page%5Bsize%5D=10
figshare,stock_market_regimes_2026_exact,r5_context,"""stock market regimes 2026""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,stock_market_regimes_2026_exact,r5_context,"""stock market regimes 2026""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22stock+market+regimes+2026%22
datacite,native_subhour_rows_exact,r3_exact,"""native_subhour_source_label_rows""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22native_subhour_source_label_rows%22&page%5Bsize%5D=10
osf,native_subhour_rows_exact,r3_exact,"""native_subhour_source_label_rows""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22native_subhour_source_label_rows%22&page%5Bsize%5D=10
