field,value
run_id,20260512T030617-codex-r6-owner-export-target-verifier-after-030300-v1
gate_result,r6_owner_export_target_verifier_after_030300_v1=owner_export_target_missing_required_files_no_promotion
intake_root,/tmp/ict-engine-board-a-r6-owner-export-v1
command_exit,2
verifier_status,blocked
verifier_reason,missing_required_files
missing_positive_rows,/tmp/ict-engine-board-a-r6-owner-export-v1/positive_spoofing_layering_rows.csv
missing_matched_controls,/tmp/ict-engine-board-a-r6-owner-export-v1/matched_negative_normal_activity_rows.csv
missing_provenance_manifest,/tmp/ict-engine-board-a-r6-owner-export-v1/provenance_manifest.json
approval_decision_package,/private/tmp/r6_oystacher_approval_decision_package_v1.json.valid
accepted_rows_added,0
new_confidence_gate,false
canonical_merge_allowed,false
downstream_promotion_rerun_allowed,false
strict_full_objective_achieved,false
trade_usable,false
update_goal,false
