requirement,status,evidence,gap
named_board_file_preserved,pass,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,
every_active_regime_calibrated_95_confidence,blocked,accepted_source_confidence_95_labels=[]; source_label_decision=source_label_equivalence_arrival_calibration_v1=source_confidence_scored_no_acceptance,No source-label regime has Wilson95/source-confidence acceptance at 0.95.
per_regime_qualifying_conditions,blocked,"field_complete_labels=['Bull', 'Sideways']; accepted_labels=[]",Bull/Sideways are field-complete leads only; Bear/Crisis are not accepted.
cross_market_cycle_timeframe_validation,blocked,ready_public_cross_timeframe_source_label_exports_found=0; current_timeframes={'1d': 248440},Current source-label equivalence sidecar is daily-only; no ready source-owned cross-timeframe export was found.
r6_owner_export_or_explicit_flip_approval,blocked,r6_owner_export_root_exists=False; approval_present=False; flip_controls=False,R6 owner-export root is absent and approval package remains non-approving.
r3_native_subhour_source_labels,blocked,r3_native_subhour_source_label_root_exists=False,Native sub-hour source-label root is absent.
r5_source_panel_recency_extension,blocked,r5_source_panel_recency_extension_root_exists=False,R5 source-panel recency-extension root is absent.
provider_autoquant_filter_prebayes_bbn_catboost_execution_tree_chain,blocked,readonly_runtime_gate=readonly_runtime_chain_refresh_after_013042_v1=commands_ran_non_promoting_roots_blocked; downstream_promotion_rerun_allowed=False,"Read-only runtime surfaces were callable, but promotion rerun remains disallowed until source/control gates pass."
canonical_merge_allowed,blocked,canonical_merge_allowed=False,Canonical merge remains false.
strict_full_objective,blocked,strict_full_objective_achieved=False; update_goal=False,Objective is not complete; update_goal must remain false.
