split_family,split_name,positive_support,negative_support,positive_lcb,negative_lcb,positive_rows_needed_for_95,negative_rows_needed_for_95,max_rows_needed_for_pairwise_balance,pass
heldout_symbol_exact,CBOT soybean call options,0,2,0.0,0.34237195289,73,71,73,False
heldout_symbol_exact,COMEX copper futures,0,2,0.0,0.34237195289,73,71,73,False
heldout_symbol_exact,LME copper futures / COMEX copper futures cross-market example,2,0,0.34237195289,0.0,71,73,73,False
heldout_venue_exact,LME and COMEX,2,0,0.34237195289,0.0,71,73,73,False
heldout_symbol_exact,COMEX Gold Futures June delivery,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,COMEX Silver Futures,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,December 2014 E-mini S&P 500 futures,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,December 2017 Gold futures,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,December 2017 Silver futures,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,"Gold Futures contract, April 2014 expiry",1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,"Gold Futures contract, August 2015 expiry",1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,"Gold Futures contract, December 2013 expiry",1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,ICE Brent/WTI crude spread April 2020,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,March 2014 E-mini S&P 500 futures,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,March-delivery Silver Futures,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,"Platinum Futures contract, July 2016 expiry",1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,RBOB gasoline futures,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,"Silver Futures contract, March 2012 expiry",1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,"Silver Futures contract, March 2013 expiry",1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,"Silver Futures contract, March 2014 expiry",1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,"Silver Futures contract, May 2014 expiry",1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,Soft Red Winter wheat futures,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,light sweet crude oil futures,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_venue_exact,IFEU electronic market,1,1,0.206543291474,0.206543291474,72,72,72,False
heldout_symbol_exact,April 2017 Gold futures,2,2,0.34237195289,0.34237195289,71,71,71,False
