requirement,evidence,status
Every regime reaches accepted 95%-99% confidence,No accepted verifier-native R3/R5/R6 source-control unlock exists; no new calibration packet can be promoted.,blocked
"Each regime has cross-market, cross-period, and cross-timeframe validation",Latest accepted source-control roots are absent or non-promoting; cross-axis validation cannot be completed from proxy rows.,blocked
R3 native-subhour Crisis-capable MainRegimeV2 labels,exists=True notes=present but TSIE-derived/quarantined and Crisis-absent per 071032/071346; 071032/071346 report Crisis=0.,blocked
R5 source-owned post-2026-01-30 MainRegimeV2 recency rows,exists=False file_count=0,blocked
R6 owner/export rows with valid normal controls and provenance,exists=False file_count=0; 071107/071316 found local code/OHLCV false positives only.,blocked
"Real provider coverage for IBKR, TradingViewRemix, yfinance, and Kraken",provider_summary=entry_model:2/2 ready | live_runtime:1/3 ready | local_runtime:1/2 ready | market_data:1/7 ready; pending=9,partial_non_promoting
Real Auto-Quant operation,status=dependency_ready_data_ready data_ready=True; selected-data promotion is blocked until source-control unlock.,partial_non_promoting
Filter / Pre-Bayes / BBN / CatBoost / path-ranking / execution-tree chain,"workflow_missing_selected_history=True path_ranking=  ""summary_line"": ""structural_path_ranking_target rows=1 history_rows=7 candidate_set_size=1 mature_rows=0 history_mature_rows=0 propensity_rows=1 calibrated_rows=0 execution_gate_rows=0 training_weight_rows=0""",partial_non_promoting
Do not disturb concurrent Board A work,This audit writes a new run root only and requires append-only board registration.,pass
No proxy signals accepted as completion,"OHLCV archives, source-code hits, public CFTC route context, TSIE rows, and binary NIFTY labels remain non-promoting.",pass
Completion / update_goal,Required roots and downstream promotion are absent; objective not achieved.,not_complete
