requirement,passed,evidence
all_regimes_95_plus_confidence,False,No accepted current packet proves every strict regime at 95%+ after latest source-control refresh.
per_regime_qualifying_condition,False,No new accepted regime packet; legacy gaps remain fail-closed.
cross_market_period_timeframe_validation,False,Required source/control unlock absent; no valid cross-axis selected-history promotion.
r6_owner_export_controls,False,Required root /tmp/ict-engine-board-a-r6-owner-export-v1 absent.
r5_post_cutoff_source_panel_recency,False,Required root /tmp/ict-engine-source-panel-recency-extension absent.
r3_crisis_capable_native_subhour_labels,False,R3 root present but settled as TSIE-derived/quarantined with no Crisis promotion.
provider_coverage_readback,True,entry_model:2/2 ready | live_runtime:1/3 ready | local_runtime:1/2 ready | market_data:1/7 ready
autoquant_runtime_readback,True,status=dependency_ready_data_ready healthy=True
direct_verifier_run_after_unlock,False,Not run because valid source/control unlock is false.
split_calibration_after_unlock,False,Not run because valid source/control unlock is false.
canonical_merge_after_unlock,False,Not run because valid source/control unlock is false.
selected_data_autoquant_promotion,False,Not run because valid source/control unlock is false.
filter_pre_bayes_bbn_catboost_execution_tree_promotion,False,Not run because valid source/control unlock is false.
proxy_only_evidence_excluded,True,Public repository/DataCite/Dataverse/Kaggle/HF/Zenodo/TSIE context remains non-promoting.
