date,open,high,low,close,volume,wap,count
2026-02-17 16:01:00-05:00,67727.75,67887.75,67217.0,67629.25,18.01368014,67638.45,2056
2026-02-17 17:00:00-05:00,67629.5,67749.75,67485.0,67495.0,15.07168142,67595.65,1916
2026-02-17 18:00:00-05:00,67495.0,67576.5,67349.0,67469.75,6.86415208,67472.4,1691
2026-02-17 19:00:00-05:00,67470.0,67595.0,67262.0,67271.5,8.42489352,67466.575,1811
2026-02-17 20:00:00-05:00,67271.5,67328.75,66840.75,67123.25,9.49995775,67083.85,1911
2026-02-17 21:00:00-05:00,67123.25,67385.5,67118.5,67296.5,5.55109195,67284.075,1574
2026-02-17 22:00:00-05:00,67296.75,67660.75,67292.75,67592.25,3.73965666,67501.7,1261
2026-02-17 23:00:00-05:00,67592.25,67855.5,67464.25,67771.25,4.69407904,67592.85,1207
2026-02-18 00:00:00-05:00,67798.75,67889.25,67571.5,67598.0,4.87673198,67665.125,1016
2026-02-18 01:00:00-05:00,67598.25,67928.0,67582.75,67808.25,2.40313221,67801.0,1457
2026-02-18 02:00:00-05:00,67808.25,68184.0,67660.0,68088.25,5.56753221,67989.825,2782
2026-02-18 03:00:00-05:00,68120.75,68435.75,68037.0,68090.5,4.01056937,68164.6,665
2026-02-18 04:00:00-05:00,68097.25,68252.25,67979.0,68135.75,1.89800583,68155.85,635
2026-02-18 05:00:00-05:00,68138.0,68156.0,67701.75,67742.5,3.03965576,67928.175,733
2026-02-18 06:00:00-05:00,67760.0,70369.5,64675.0,70369.5,23.23850047,67315.175,1017
2026-02-18 07:00:00-05:00,67337.75,67651.5,67326.0,67428.5,5.2909826,67474.125,1302
2026-02-18 08:00:00-05:00,67434.25,67565.5,67030.25,67217.5,8.31198877,67394.9,1463
2026-02-18 09:00:00-05:00,67217.5,67340.75,66686.75,67177.75,11.53826013,67115.55,1692
2026-02-18 10:00:00-05:00,67191.25,68322.75,66665.0,67669.25,19.96319041,67624.525,2044
2026-02-18 11:00:00-05:00,67669.0,67673.5,66864.0,67101.5,15.20076913,67201.7,2020
2026-02-18 12:00:00-05:00,67101.25,67450.5,66864.0,67143.0,11.03751515,67141.625,1990
2026-02-18 13:00:00-05:00,67150.25,67201.5,65869.0,66323.5,23.49769499,66650.4,2328
2026-02-18 14:00:00-05:00,66323.5,66580.25,65172.5,66149.5,18.66162254,66201.7,2550
2026-02-18 15:00:00-05:00,66149.5,66503.5,66116.5,66221.75,12.44283365,66294.45,1899
2026-02-18 16:01:00-05:00,66276.0,66469.5,66066.5,66306.0,6.76422832,66262.575,1889
2026-02-18 17:00:00-05:00,66306.0,66452.5,66202.25,66362.75,8.03292557,66324.175,1883
2026-02-18 18:00:00-05:00,66367.25,66481.75,66241.5,66427.0,6.4005881,66344.9,1772
2026-02-18 19:00:00-05:00,66427.25,66551.0,66314.75,66420.5,7.26599954,66426.2,2035
2026-02-18 20:00:00-05:00,66402.5,66850.5,66402.5,66826.0,7.82868572,66667.775,1895
2026-02-18 21:00:00-05:00,66826.25,66928.5,66617.75,66815.0,7.6217864,66769.8,1843
