date,open,high,low,close,volume,wap,count
2026-03-31 16:01:00-04:00,67813.75,68187.5,67807.0,68187.5,-1.0,-1.0,-1
2026-03-31 17:00:00-04:00,68187.5,68367.25,67829.5,68203.25,-1.0,-1.0,-1
2026-03-31 18:00:00-04:00,68203.25,68266.5,67888.0,68107.5,-1.0,-1.0,-1
2026-03-31 19:00:00-04:00,68107.5,68301.5,68012.5,68210.75,-1.0,-1.0,-1
2026-03-31 20:00:00-04:00,68210.75,68280.75,67756.5,68265.25,-1.0,-1.0,-1
2026-03-31 21:00:00-04:00,68265.25,68289.5,67619.75,67732.75,-1.0,-1.0,-1
2026-03-31 22:00:00-04:00,67732.75,67853.0,67535.0,67591.0,-1.0,-1.0,-1
2026-03-31 23:00:00-04:00,67591.0,68176.0,67590.75,68115.5,-1.0,-1.0,-1
2026-04-01 00:00:00-04:00,68115.5,68408.5,67955.0,68242.25,-1.0,-1.0,-1
2026-04-01 01:00:00-04:00,68242.25,68700.0,68093.75,68403.25,-1.0,-1.0,-1
2026-04-01 02:00:00-04:00,68403.25,69184.0,68403.0,69064.25,-1.0,-1.0,-1
2026-04-01 03:00:00-04:00,69064.25,69258.0,68629.25,68656.5,-1.0,-1.0,-1
2026-04-01 04:00:00-04:00,68656.5,68808.25,68424.25,68627.5,-1.0,-1.0,-1
2026-04-01 05:00:00-04:00,68627.5,68690.75,68348.0,68617.0,-1.0,-1.0,-1
2026-04-01 06:00:00-04:00,68617.0,68617.0,68382.25,68551.0,-1.0,-1.0,-1
2026-04-01 07:00:00-04:00,68551.0,68699.25,68486.5,68678.5,-1.0,-1.0,-1
2026-04-01 08:00:00-04:00,68678.5,68742.5,68225.25,68358.25,-1.0,-1.0,-1
2026-04-01 09:00:00-04:00,68358.25,68654.0,67906.5,68074.0,-1.0,-1.0,-1
2026-04-01 10:00:00-04:00,68074.0,68653.5,68029.5,68563.25,-1.0,-1.0,-1
2026-04-01 11:00:00-04:00,68563.25,68933.5,68403.75,68898.0,-1.0,-1.0,-1
2026-04-01 12:00:00-04:00,68898.0,68975.75,68590.25,68806.0,-1.0,-1.0,-1
2026-04-01 13:00:00-04:00,68806.0,69144.25,68238.0,68243.5,-1.0,-1.0,-1
2026-04-01 14:00:00-04:00,68243.5,68298.0,67924.0,68053.75,-1.0,-1.0,-1
2026-04-01 15:00:00-04:00,68053.75,68268.25,68021.75,68147.0,-1.0,-1.0,-1
2026-04-01 16:01:00-04:00,68174.5,68229.0,67944.5,68169.25,-1.0,-1.0,-1
2026-04-01 17:00:00-04:00,68169.25,68523.5,68158.0,68364.75,-1.0,-1.0,-1
2026-04-01 18:00:00-04:00,68364.75,68364.75,68072.25,68119.25,-1.0,-1.0,-1
2026-04-01 19:00:00-04:00,68119.25,68231.0,67984.25,68105.75,-1.0,-1.0,-1
2026-04-01 20:00:00-04:00,68105.75,68640.75,68049.5,68588.5,-1.0,-1.0,-1
2026-04-01 21:00:00-04:00,68588.5,68588.5,67036.0,67343.25,-1.0,-1.0,-1
2026-04-01 22:00:00-04:00,67343.25,67343.25,66607.5,66858.5,-1.0,-1.0,-1
2026-04-01 23:00:00-04:00,66858.5,66946.0,66495.5,66572.75,-1.0,-1.0,-1
2026-04-02 00:00:00-04:00,66572.75,66631.75,66213.0,66326.5,-1.0,-1.0,-1
2026-04-02 01:00:00-04:00,66326.5,66618.5,66280.75,66590.0,-1.0,-1.0,-1
2026-04-02 02:00:00-04:00,66590.0,66795.75,66540.0,66662.5,-1.0,-1.0,-1
2026-04-02 03:00:00-04:00,66662.5,66909.75,66547.0,66902.5,-1.0,-1.0,-1
2026-04-02 04:00:00-04:00,66902.5,66902.5,66406.0,66411.25,-1.0,-1.0,-1
2026-04-02 05:00:00-04:00,66411.25,66492.75,66267.25,66453.5,-1.0,-1.0,-1
2026-04-02 06:00:00-04:00,66453.5,66490.75,66207.25,66435.0,-1.0,-1.0,-1
2026-04-02 07:00:00-04:00,66435.0,66460.5,66136.25,66194.5,-1.0,-1.0,-1
2026-04-02 08:00:00-04:00,66194.5,66227.75,65954.5,66028.5,-1.0,-1.0,-1
