verifier_field,positive_mappable,positive_available_sources,control_mappable,control_available_sources,adapter_decision
label,True,positive_label,True,normal_label,ready
source_report,True,source_dataset|source_owner,False,,requires_augmented_export_field_or_explicit_transform
source_section,False,,False,,requires_augmented_export_field_or_explicit_transform
trade_date,True,event_start,False,,requires_augmented_export_field_or_explicit_transform
symbol,True,symbol,False,,requires_augmented_export_field_or_explicit_transform
venue_or_market_center,True,venue_or_market_center,False,,requires_augmented_export_field_or_explicit_transform
participant_type_code,False,,False,,requires_augmented_export_field_or_explicit_transform
participant_identifier,False,,False,,requires_augmented_export_field_or_explicit_transform
side,False,,False,,requires_augmented_export_field_or_explicit_transform
earliest_order_received_time,True,event_start,False,,requires_augmented_export_field_or_explicit_transform
latest_order_received_time,True,event_end,False,,requires_augmented_export_field_or_explicit_transform
order_count,False,,False,,requires_augmented_export_field_or_explicit_transform
total_order_quantity,False,,False,,requires_augmented_export_field_or_explicit_transform
activity_description,True,species,True,matching_dimensions,ready
matched_negative_group_id,True,matched_control_group_id,True,matched_control_group_id,ready
session_bucket,True,split_role,False,,requires_augmented_export_field_or_explicit_transform
source_row_id,True,source_row_id,True,control_row_id,ready
