requirement,evidence,status,gap
Named Board B file is the active profitability contract,docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md,pass,
Regime-root branch identity is preserved as the downstream contract,Board B branch-path contract text,pass,
Source/control unlock is valid before promotion,docs/experiments/actionable-regime-confidence/runs/20260512T085612+0800-codex-public-spoofing-source-control-route-triage-after-085131-v1/checks/public_spoofing_source_control_route_triage_after_085131_v1_assertions.out; docs/experiments/actionable-regime-confidence/runs/20260512T085727+0800-codex-official-public-spoofing-source-control-route-triage-after-085131-v1/checks/official_public_spoofing_source_control_route_triage_after_085131_v1_assertions.out; docs/experiments/actionable-regime-confidence/runs/20260512T085808+0800-codex-public-case-attachment-route-refresh-after-085131-v1/checks/public_case_attachment_route_refresh_after_085131_v1_assertions.out; docs/experiments/actionable-regime-confidence/runs/20260512T085131+0800-codex-source-control-dropzone-dispatch-refresh-after-083703-v1/checks/source_control_dropzone_dispatch_refresh_after_083703_v1_assertions.out; docs/experiments/actionable-regime-confidence/runs/20260512T085042+0800-codex-current-objective-audit-after-083703-v1/checks/current_objective_audit_after_083703_v1_assertions.out,blocked,latest settled source/control artifacts remain fail-closed
"Exactly one selected historical path exists: HTF, MTF, or LTF",docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md,blocked,explicit user-selected history remains absent
Selected-data AutoQuant training/promotion has run,docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md,blocked,selected-data AutoQuant promotion remains false
Filter / Pre-Bayes -> BBN -> CatBoost/path-ranking -> execution tree rerun is authorized and complete,docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md,blocked,downstream promotion rerun remains false
"Provider surfaces IBKR, TradingViewRemix, yfinance, and Kraken are not used as proxy completion",Objective audit plus Board A/B gates,pass,provider visibility is diagnostic only until source/control and selected-history gates pass
No update_goal call unless every objective requirement is complete,085612_public_route:false; 085727_official_route:false; 085808_case_attachment:false; 085131_dropzone:false; 085042_objective_audit:false,pass,
Current cursor remains fail-closed,docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md,pass,
Count 085808 only as terminal fail-closed public case-route context,docs/experiments/actionable-regime-confidence/runs/20260512T085808+0800-codex-public-case-attachment-route-refresh-after-085131-v1,pass,terminal_files=6; no row-level source/control unlock
