check,value
r6_required_files_present_count,0
r6_owner_export_unlock,False
r5_recency_unlock,False
r3_native_subhour_unlock,False
r3_crisis_rows,0
r3_source_status,tsie_quarantined
r6_depth_or_order_lifecycle_files_found,0
dispatch_sent_evidence,False
owner_data_cli_ready,False
owner_data_env_ready,False
valid_required_root_unlock,False
source_control_evidence_acquired,False
canonical_merge,False
downstream_promotion_rerun,False
strict_full_objective,False
trade_usable,False
update_goal,False
