timestamp,open,high,low,close,volume,wap,count
2021-05-13T08:00:00+00:00,403.96,404.46,402.7,403.67,3210.525,403.575,461
2021-05-13T09:00:00+00:00,403.79,404.82,403.51,404.32,1721.75,404.252,282
2021-05-13T10:00:00+00:00,404.29,404.52,403.4,404.43,3244.5,404.013,312
2021-05-13T11:00:00+00:00,404.35,406.25,404.17,405.66,18027.6,405.555,2435
2021-05-13T12:00:00+00:00,405.65,407.17,403.61,406.6,30490.2,406.442,3626
2021-05-13T13:00:00+00:00,406.6,410.07,406.56,410.04,269858.5,408.657,63732
2021-05-13T14:00:00+00:00,410.05,412.02,410.05,411.81,354143.425,410.984,78133
2021-05-13T15:00:00+00:00,411.82,411.93,409.21,409.67,280344.0,410.268,68002
2021-05-13T16:00:00+00:00,409.67,411.13,409.47,409.86,189820.975,410.439,46152
2021-05-13T17:00:00+00:00,409.85,410.44,407.84,408.8,284589.2,408.886,70776
2021-05-13T18:00:00+00:00,408.82,411.7,408.75,411.05,274777.05,410.813,67199
2021-05-13T19:00:00+00:00,411.05,412.35,410.21,410.26,520357.825,411.498,106653
2021-05-13T20:00:00+00:00,410.26,410.78,409.86,410.73,92824.55,410.259,5211
2021-05-13T21:00:00+00:00,410.73,410.87,410.39,410.7,7836.0,410.61,699
2021-05-13T22:00:00+00:00,410.78,410.9,410.46,410.67,2612.35,410.667,317
2021-05-13T23:00:00+00:00,410.63,411.17,410.22,411.0,2453.65,410.834,321
2021-05-14T08:00:00+00:00,412.13,412.99,412.0,412.83,711.475,412.526,96
2021-05-14T09:00:00+00:00,412.92,413.42,412.8,412.8,633.0,413.14,115
2021-05-14T10:00:00+00:00,412.97,413.02,412.67,412.79,1995.55,412.893,251
2021-05-14T11:00:00+00:00,412.76,413.4,412.63,413.14,8948.9,413.125,998
2021-05-14T12:00:00+00:00,412.86,413.37,412.02,413.0,16792.525,412.816,2086
2021-05-14T13:00:00+00:00,413.01,414.92,412.73,414.92,182558.325,413.907,41024
2021-05-14T14:00:00+00:00,414.9,415.37,414.07,415.28,273796.55,414.774,66272
2021-05-14T15:00:00+00:00,415.28,415.75,414.84,415.39,124925.55,415.377,30168
2021-05-14T16:00:00+00:00,415.39,416.27,415.32,416.24,89198.425,415.903,20566
2021-05-14T17:00:00+00:00,416.24,416.53,416.07,416.43,94657.025,416.323,21584
2021-05-14T18:00:00+00:00,416.43,417.49,416.31,417.22,151005.85,416.914,32270
2021-05-14T19:00:00+00:00,417.22,417.38,416.3,416.55,502026.825,416.894,89640
2021-05-14T20:00:00+00:00,416.55,417.29,415.98,417.02,107649.825,416.75,5108
2021-05-14T21:00:00+00:00,416.99,417.12,416.58,416.96,3378.425,416.78,157
2021-05-14T22:00:00+00:00,416.96,417.22,416.93,417.14,876.675,417.103,63
2021-05-14T23:00:00+00:00,417.13,417.45,417.11,417.44,923.05,417.266,92
2021-05-17T08:00:00+00:00,415.34,416.12,415.3,416.07,583.85,415.782,96
2021-05-17T09:00:00+00:00,415.88,416.05,415.55,415.67,455.7,415.829,77
2021-05-17T10:00:00+00:00,415.53,415.55,415.0,415.09,3761.125,415.174,516
2021-05-17T11:00:00+00:00,415.05,415.45,414.55,414.68,10968.85,414.858,1510
2021-05-17T12:00:00+00:00,415.11,416.5,414.45,414.95,12220.525,414.85,1581
2021-05-17T13:00:00+00:00,414.9,416.39,414.48,414.94,187837.625,415.381,44973
2021-05-17T14:00:00+00:00,414.92,415.59,413.94,414.89,233518.75,414.824,61476
2021-05-17T15:00:00+00:00,414.86,415.08,413.81,414.16,173484.775,414.372,43903
2021-05-17T16:00:00+00:00,414.14,415.12,413.84,414.47,112575.95,414.51,27059
2021-05-17T17:00:00+00:00,414.46,414.72,413.36,414.03,121690.15,413.993,28043
2021-05-17T18:00:00+00:00,414.03,415.22,413.87,415.17,119763.85,414.536,27090
2021-05-17T19:00:00+00:00,415.17,415.7,414.76,415.53,294254.8,415.271,64314
2021-05-17T20:00:00+00:00,415.54,415.94,414.02,415.75,60687.55,415.599,3135
2021-05-17T21:00:00+00:00,415.77,415.84,415.64,415.64,809.625,415.771,98
2021-05-17T22:00:00+00:00,415.64,415.87,415.35,415.35,4955.875,415.698,424
2021-05-17T23:00:00+00:00,415.37,416.23,415.37,416.23,2437.475,415.661,294
2021-05-18T08:00:00+00:00,417.07,417.08,416.77,416.77,497.55,417.007,58
2021-05-18T09:00:00+00:00,416.75,417.01,416.67,416.74,348.05,416.795,67
2021-05-18T10:00:00+00:00,416.67,417.05,416.55,416.66,380.625,416.781,70
2021-05-18T11:00:00+00:00,416.68,416.78,415.98,416.16,6822.875,416.356,854
