provider,symbol,timeframe,cell_type,root_scope,disposition,reason,data_status,score_status,label_status,runtime_code_changed,thresholds_relaxed,trade_usable
yfinance,CL=F,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,DIA,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,ES=F,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,GC=F,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,GLD,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,NQ=F,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,QQQ,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,SPY,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,USO,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,YM=F,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,^DJI,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,^GSPC,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,^NDX,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,^VIX,1m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,CL=F,5m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,DIA,5m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
yfinance,ES=F,5m,bar_root,Bull/Bear/Sideways/Crisis,unsupported_for_accepted_confidence,usable_close_and_close_score_but_missing_independent_source_backed_root_labels,usable,scored,unsupported_missing_independent_root_labels,False,False,False
