Next Page Token = CfDJ8OqP5ZkTT9ZGj66XXRbxXyAGUIVuAVpuFf0E9h6ToTdyKwu0REtNI2OAm3hufUlkMw1JH_oCgprJwOB4Mk6nMPry7NahYCMuszkse6Dc_8_GBGQpse-Qz85UJlOhPLO7B1QZPfMSxH918o0h-8BVI4bg1A
name,size,creationDate
BYBIT_0GUSDT_SPOT_5m.csv,25199303,2026-05-09 10:43:24.267000
BYBIT_1INCHUSDT_SPOT_5m.csv,166013502,2026-05-09 10:43:32.657000
BYBIT_2ZUSDC_SPOT_5m.csv,22867963,2026-05-09 10:44:29.544000
BYBIT_2ZUSDT_SPOT_5m.csv,24521053,2026-05-09 10:44:47.719000
BYBIT_A8USDT_SPOT_5m.csv,72874495,2026-05-09 10:44:45.216000
BYBIT_AAPLXUSDT_SPOT_5m.csv,31881534,2026-05-09 10:44:44
BYBIT_AAVEUSDC_SPOT_5m.csv,34510188,2026-05-09 10:44:43.081000
BYBIT_AAVEUSDT_SPOT_5m.csv,171610005,2026-05-09 10:44:46.157000
BYBIT_ACHUSDT_SPOT_5m.csv,166317093,2026-05-09 10:44:44.958000
BYBIT_ACSUSDT_SPOT_5m.csv,129433330,2026-05-09 10:44:46.478000
BYBIT_ADAEUR_SPOT_5m.csv,101175149,2026-05-09 10:44:44.364000
BYBIT_ADAMNT_SPOT_5m.csv,21795195,2026-05-09 10:44:42.951000
BYBIT_ADAUSDC_SPOT_5m.csv,151564527,2026-05-09 10:44:46.995000
BYBIT_ADAUSDT_SPOT_5m.csv,168558317,2026-05-09 10:44:45.239000
BYBIT_AEDZUSDC_SPOT_5m.csv,5442217,2026-05-09 10:44:46.208000
BYBIT_AEDZUSDT_SPOT_5m.csv,5999193,2026-05-09 10:44:44.352000
BYBIT_AEROUSDT_SPOT_5m.csv,58062470,2026-05-09 10:44:44.524000
BYBIT_AEVOUSDT_SPOT_5m.csv,89076380,2026-05-09 10:44:43.995000
BYBIT_AFCUSDT_SPOT_5m.csv,141887202,2026-05-09 10:44:46.343000
BYBIT_AGIUSDT_SPOT_5m.csv,127582593,2026-05-09 10:44:45.867000
