requirement,evidence,status,gap
named board file remains authoritative and was re-read,docs/plans/2026-05-10-actionable-regime-confidence-todo.md sha256=05ebe2d952c07ebf623341b08bf303592002edd1a95e938937e89f85a9508257,satisfied_for_audit,
every active MainRegimeV2 regime reaches >=95% calibrated confidence,docs/experiments/actionable-regime-confidence/runs/20260512T061813+0800-codex-source-confidence-failure-decomposition-after-061421-v1/checks/source_confidence_failure_decomposition_after_061421_v1_assertions.out,blocked,061813 reports accepted_label_count=0; 063906 keeps TSIE accepted rows at 0
validate on other markets,docs/experiments/actionable-regime-confidence/runs/20260512T061813+0800-codex-source-confidence-failure-decomposition-after-061421-v1/checks/source_confidence_failure_decomposition_after_061421_v1_assertions.out,blocked,source-label equivalence root has rows but 0/4 labels pass required Wilson95 gates
validate on other periods and cycles/timeframes,docs/experiments/actionable-regime-confidence/runs/20260512T063926+0800-codex-r3-tsie-target-root-postwriter-readback-v1/checks/r3_tsie_target_root_postwriter_readback_v1_assertions.out,blocked,R3 path is physical but TSIE-quarantined; R5 recency root absent; Crisis missing
"use IBKR, TradingViewRemix, yfinance, Kraken, local/cache provider surfaces",docs/experiments/actionable-regime-confidence/runs/20260512T062854-codex-readonly-runtime-refresh-after-062604-v1/readonly-runtime-refresh-after-062604-v1/readonly_runtime_refresh_after_062604_v1.json,partial_readonly,read-only runtime refresh only; provider summary=unavailable
operate Auto-Quant before promotion,docs/experiments/actionable-regime-confidence/runs/20260512T062854-codex-readonly-runtime-refresh-after-062604-v1/readonly-runtime-refresh-after-062604-v1/readonly_runtime_refresh_after_062604_v1.json,blocked_readonly_only,"Auto-Quant state={'fresh_bootstrap_needed': True, 'fresh_healthy': False, 'fresh_state_status': 'missing_dependency', 'v71_bootstrap_needed': True, 'v71_healthy': False, 'v71_state_status': 'missing_dependency'}; no source-unlocked promotion run"
run filter / Pre-Bayes layer after source unlock,docs/experiments/actionable-regime-confidence/runs/20260512T062854-codex-readonly-runtime-refresh-after-062604-v1/readonly-runtime-refresh-after-062604-v1/readonly_runtime_refresh_after_062604_v1.json,partial_readonly,post-analyze readback=unavailable; not promotion evidence
run BBN after source unlock,docs/experiments/actionable-regime-confidence/runs/20260512T062854-codex-readonly-runtime-refresh-after-062604-v1/readonly-runtime-refresh-after-062604-v1/readonly_runtime_refresh_after_062604_v1.json,blocked_not_rerun,"no valid required-root unlock, so no promotion BBN rerun is allowed"
run CatBoost/path-ranking after source unlock,docs/experiments/actionable-regime-confidence/runs/20260512T062854-codex-readonly-runtime-refresh-after-062604-v1/readonly-runtime-refresh-after-062604-v1/readonly_runtime_refresh_after_062604_v1.json,blocked_not_rerun,latest read-only path-ranking/policy artifacts are not calibrated promotion evidence
run execution-tree readback after source unlock,docs/experiments/actionable-regime-confidence/runs/20260512T062854-codex-readonly-runtime-refresh-after-062604-v1/readonly-runtime-refresh-after-062604-v1/readonly_runtime_refresh_after_062604_v1.json,blocked_not_rerun,"read-only analyze-live observe output exists, but source/control promotion rerun is forbidden"
do not disturb multi-agent board work,append-only audit; board sha256 before artifact=05ebe2d952c07ebf623341b08bf303592002edd1a95e938937e89f85a9508257,satisfied_for_audit,no cursor rewrite and no target-root mutation by this audit
completion decision / update_goal,docs/experiments/actionable-regime-confidence/runs/20260512T063906+0800-codex-current-objective-audit-after-r3-tsie-quarantine-v1/checks/current_objective_audit_after_r3_tsie_quarantine_v1_assertions.out,blocked,"strict_full_objective=false, trade_usable=false, update_goal=false"
