check,observed,disposition
query_count,24,readback_only
all_query_exits_zero,true,query_transport_ok
datacite_mainregimev2,0,no_r5_or_regime_schema_unlock
dataverse_mainregimev2,0,no_r5_or_regime_schema_unlock
datacite_native_subhour_source_label_rows,0,no_r3_unlock
dataverse_native_subhour_source_label_rows,0,no_r3_unlock
datacite_strict_direct_manipulation_positive_rows,0,no_r6_positive_rows
dataverse_strict_direct_manipulation_positive_rows,0,no_r6_positive_rows
datacite_strict_direct_manipulation_matched_controls,0,no_r6_control_rows
dataverse_strict_direct_manipulation_matched_controls,0,no_r6_control_rows
datacite_strict_oystacher,0,no_owner_export_route
dataverse_strict_oystacher,0,no_owner_export_route
datacite_direct_manipulation_broad_top_results,false_positive_context,no_unlock
datacite_strict_3red_top_results,figshare_rfc_taps_3red_model,no_3red_trading_unlock
valid_required_root_unlock,false,no_unlock
source_control_evidence_acquired,false,no_unlock
canonical_merge,false,no_required_unlock
downstream_promotion_rerun,false,no_required_unlock
update_goal,false,strict_objective_not_complete
