base_symbol,comparison_symbol,relationship_type,relationship_confidence,timeframe,session,comparison_timeframe,comparison_session,timeframe_aligned,session_overlap,correlation_window_bars,recent_correlation,event_time,smt_signal,base_swing_type,base_level,comparison_swing_type,comparison_level,swept_side,normalized_for_inverse_correlation,raw_comparison_swing_type,raw_comparison_level,event_window_bars,event_time_delta_bars,same_event_window_confirmed,near_pd_array,pd_array_type,mss_or_cisd_confirmed,displacement_confirmed,regime_bucket,provider_provenance,evidence_source,confidence,forward_return,outcome_hit,strict_entry_context_complete,confirmation_role,actionable,fail_closed_reason,branch_path
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-07T18:25:00+00:00,bullish_smt,LL,28642.5,HL,7358.75,sell_side_liquidity,False,HL,7358.75,5,3,True,True,FVG,False,False,transition,yfinance_cached_provider_window,closed_provider_data_event_alignment_expansion,0.2,-0.0014832135129475815,False,False,confirmation_only,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-08T19:15:00+00:00,bearish_smt,HH,29306.0,LH,7418.75,buy_side_liquidity,False,LH,7418.75,5,1,True,True,FVG,False,True,transition,yfinance_cached_provider_window,closed_provider_data_event_alignment_expansion,0.2,0.001126193381054356,False,False,confirmation_only,False,entry_context_incomplete:missing_mss_cisd,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-11T05:45:00+00:00,bullish_smt,LL,29317.5,HL,7410.25,sell_side_liquidity,False,HL,7410.25,5,0,True,True,FVG,False,True,range,yfinance_cached_provider_window,closed_provider_data_event_alignment_expansion,0.2,-0.0007757422830692116,False,False,confirmation_only,False,entry_context_incomplete:missing_mss_cisd,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-11T08:10:00+00:00,bullish_smt,LL,29268.75,HL,7412.0,sell_side_liquidity,False,HL,7412.0,5,4,True,True,session_high_low,False,True,range,yfinance_cached_provider_window,closed_provider_data_event_alignment_expansion,0.2,0.001263736732898995,True,False,confirmation_only,False,entry_context_incomplete:missing_mss_cisd,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-11T14:30:00+00:00,bullish_smt,LL,29246.75,HL,7421.5,sell_side_liquidity,False,HL,7421.5,5,0,True,True,session_high_low,False,True,range,yfinance_cached_provider_window,closed_provider_data_event_alignment_expansion,0.2,0.003590281508771032,True,False,confirmation_only,False,entry_context_incomplete:missing_mss_cisd,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-07T08:05:00+00:00,bearish_smt,HH,28814.5,LH,7408.5,buy_side_liquidity,False,LH,7408.5,5,1,True,True,session_high_low,True,True,transition,yfinance_cached_provider_window,closed_provider_data_event_alignment_expansion,0.35,-0.002153375937760489,True,True,confirmation_only,False,none,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-07T15:25:00+00:00,bullish_smt,LL,28823.75,HL,7391.25,sell_side_liquidity,False,HL,7391.25,5,0,True,True,FVG,False,True,transition,yfinance_cached_provider_window,closed_provider_data_event_alignment_expansion,0.2,-0.003924966425507949,False,False,confirmation_only,False,entry_context_incomplete:missing_mss_cisd,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-07T18:05:00+00:00,bearish_smt,HH,28721.5,LH,7370.5,buy_side_liquidity,False,LH,7370.5,5,2,True,True,FVG,False,False,transition,yfinance_cached_provider_window,closed_provider_data_event_alignment_expansion,0.2,-0.0015521721690298052,True,False,confirmation_only,False,"entry_context_incomplete:missing_mss_cisd,missing_displacement",Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-08T20:00:00+00:00,bearish_smt,HH,29386.75,LH,7425.0,buy_side_liquidity,False,LH,7425.0,5,0,True,True,session_high_low,False,True,transition,yfinance_cached_provider_window,closed_provider_data_event_alignment_expansion,0.2,-0.002886973702139256,True,False,confirmation_only,False,entry_context_incomplete:missing_mss_cisd,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,929,0.8692,2026-05-11T00:35:00+00:00,bearish_smt,HH,29399.75,LH,7412.75,buy_side_liquidity,False,LH,7412.75,5,0,True,True,session_high_low,True,True,transition,yfinance_cached_provider_window,closed_provider_data_event_alignment_expansion,0.35,-0.0018802429852473243,True,True,confirmation_only,False,none,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1
