rank,target_type,instrument_set,roots,rare_roots,support_floor_min,support_floor_sum,score,action
1,two_market_pair,PFE+TSLA,"Bear,Sideways,Crisis","Bear,Crisis",74,294,11429.4,use_as_next_positive_exact_source_pair
2,two_market_pair,INTC+PFE,"Bear,Sideways,Crisis","Bear,Crisis",74,275,11427.5,use_as_next_positive_exact_source_pair
3,two_market_pair,AMD+PFE,"Bear,Sideways,Crisis","Bear,Crisis",74,242,11424.2,use_as_next_positive_exact_source_pair
4,two_market_pair,NKE+TSLA,"Bear,Crisis","Bear,Crisis",117,263,9326.3,use_as_next_positive_exact_source_pair
5,two_market_pair,COP+TSLA,"Bear,Crisis","Bear,Crisis",112,258,9325.8,use_as_next_positive_exact_source_pair
6,two_market_pair,INTC+NKE,"Bear,Crisis","Bear,Crisis",117,244,9324.4,use_as_next_positive_exact_source_pair
7,two_market_pair,COP+INTC,"Bear,Crisis","Bear,Crisis",112,239,9323.9,use_as_next_positive_exact_source_pair
8,two_market_pair,SBUX+TSLA,"Bear,Crisis","Bear,Crisis",93,239,9323.9,use_as_next_positive_exact_source_pair
9,two_market_pair,INTC+SBUX,"Bear,Crisis","Bear,Crisis",93,220,9322.0,use_as_next_positive_exact_source_pair
10,two_market_pair,AMD+NKE,"Bear,Crisis","Bear,Crisis",94,211,9321.1,use_as_next_positive_exact_source_pair
11,two_market_pair,AMD+COP,"Bear,Crisis","Bear,Crisis",94,206,9320.6,use_as_next_positive_exact_source_pair
12,two_market_pair,AMD+SBUX,"Bear,Crisis","Bear,Crisis",93,187,9318.7,use_as_next_positive_exact_source_pair
13,single_root_anchor,GE,Bull,,184,184,1,keep_as_positive_anchor_not_negative_probe
14,single_root_anchor,GS,Bull,,179,179,1,keep_as_positive_anchor_not_negative_probe
15,single_root_anchor,JPM,Bull,,170,170,1,keep_as_positive_anchor_not_negative_probe
16,single_root_anchor,MS,Bull,,169,169,1,keep_as_positive_anchor_not_negative_probe
17,single_root_anchor,WFC,Bull,,163,163,1,keep_as_positive_anchor_not_negative_probe
18,single_root_anchor,NKE,Bear,Bear,117,117,4,keep_as_positive_anchor_not_negative_probe
19,single_root_anchor,COP,Bear,Bear,112,112,4,keep_as_positive_anchor_not_negative_probe
20,single_root_anchor,SBUX,Bear,Bear,93,93,4,keep_as_positive_anchor_not_negative_probe
21,single_root_anchor,PFE,Bear,Bear,74,74,4,keep_as_positive_anchor_not_negative_probe
22,single_root_anchor,MCD,Sideways,,102,102,2,keep_as_positive_anchor_not_negative_probe
23,single_root_anchor,CVX,Sideways,,98,98,2,keep_as_positive_anchor_not_negative_probe
24,single_root_anchor,DIS,Sideways,,80,80,2,keep_as_positive_anchor_not_negative_probe
25,single_root_anchor,MSFT,Sideways,,77,77,2,keep_as_positive_anchor_not_negative_probe
26,single_root_anchor,VZ,Sideways,,76,76,2,keep_as_positive_anchor_not_negative_probe
27,single_root_anchor,TSLA,Crisis,Crisis,146,146,5,keep_as_positive_anchor_not_negative_probe
28,single_root_anchor,INTC,Crisis,Crisis,127,127,5,keep_as_positive_anchor_not_negative_probe
29,single_root_anchor,AMD,Crisis,Crisis,94,94,5,keep_as_positive_anchor_not_negative_probe
