base_symbol,comparison_symbol,relationship_type,available_in_local_universe,relationship_confidence,evidence_source,fail_closed_reason
NQ,ES,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
NQ,YM,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
NQ,RTY,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
NQ,QQQ,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
NQ,SPY,positive,True,0.25,seed_resolver_plus_available_universe_filter,
NQ,DIA,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
NQ,IWM,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
NQ,NAS100,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
NQ,US500,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
NQ,US30,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
NQ,DXY,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
NQ,VIX,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
ES,NQ,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
ES,YM,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
ES,RTY,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
ES,SPY,positive,True,0.25,seed_resolver_plus_available_universe_filter,
ES,QQQ,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
ES,DIA,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
ES,VIX,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
ES,DXY,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
EURUSD,GBPUSD,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
EURUSD,DXY,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
EURUSD,EURGBP,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
XAUUSD,XAGUSD,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
XAUUSD,GDX,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
XAUUSD,DXY,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
XAUUSD,US10Y,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
XAUUSD,REAL_YIELD,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
BTC,ETH,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
BTC,SOL,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
BTC,TOTAL,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
BTC,QQQ,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
BTC,DXY,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
BTCUSDT,ETHUSDT,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
BTCUSDT,SOLUSDT,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
BTCUSDT,TOTAL,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
BTCUSDT,QQQ,positive,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
BTCUSDT,DXY,negative,False,0.0,seed_resolver_plus_available_universe_filter,comparison_symbol_not_available_locally
