fold,trades,win_rate,profit_factor,total_return_units,fold_gate
2017,12,0.75,2.2214575309320908,0.21049959325076595,fail_closed
2018,12,0.5,1.0833888824625468,0.010469200071778428,fail_closed
2019,38,0.4473684210526316,0.871020359539746,-0.07530694889997969,fail_closed
2020,59,0.5254237288135594,1.3237139981730282,0.15279749560024158,pass
2021,31,0.4838709677419355,2.0088869717500195,0.20180712898607078,fail_closed
2022,18,0.6666666666666666,1.21588074412296,0.027869624023358575,fail_closed
2023,47,0.44680851063829785,1.3985986024257149,0.13466647816168675,fail_closed
2024,63,0.6031746031746031,1.5618740310088692,0.18111480278059722,pass
2025,52,0.4423076923076923,0.6995177493159063,-0.06799010100672731,fail_closed
2026,16,0.625,2.919981267102678,0.07753889395671276,fail_closed
