path,size_bytes,mtime_epoch,name_hits,content_hits,classification
/Users/thrill3r/Downloads/external-memory/mempalace/LICENSE,1079,1775657866,license,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-memory/mempalace/mempalace/layers.py,17224,1775657866,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/bypass-paywalls-chrome-clean-master/LICENSE,1091,1606038362,license,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/bypass-paywalls-chrome-clean-master/LICENSE.txt,1091,1606038362,license,license,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv,8273022,1767845127,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.json,159781,1767845127,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.csv,3201374,1767765844,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/ym future 2021-2025/symbology.json,55943,1767765844,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv,4267811,1767765443,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.json,56948,1767765443,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.csv,3560949,1767764729,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/nq future 2021-2025/symbology.json,54038,1767764729,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv,30984640,1767858991,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.json,1324648,1767858991,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/camofox-browser/LICENSE,1064,1777950050,license,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/gbrain/LICENSE,1066,1776608876,license,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/gbrain/docs/architecture/infra-layer.md,4220,1776608876,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/gbrain/src/commands/export.ts,1674,1776608876,export,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/cognee/LICENSE,11344,1776593526,license,,keyword_candidate_not_sufficient
