requirement_id,prompt_requirement,status,evidence_summary,artifact_refs,blocker
objective_board_file,Use the named Board A markdown as the authoritative plan.,covered,board_exists=True sha256=2f3b3ec0acc69df4fb5a3ae1a60f5abd45befc7db4d4c1a6977c8fee83196c1e,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,
all_regimes_95_confidence,Every active regime reaches 95% calibrated confidence.,blocked,latest settled source/control packets add 0 accepted rows; valid_required_root_unlock=false,docs/experiments/actionable-regime-confidence/runs/20260512T074116+0800-codex-r3-possible-file-manual-review-after-073755-v1/r3-possible-file-manual-review-after-073755-v1/r3_possible_file_manual_review_after_073755_v1.json;docs/experiments/actionable-regime-confidence/runs/20260512T074219+0800-codex-local-source-control-manual-review-after-073755-v1/local-source-control-manual-review-after-073755-v1/local_source_control_manual_review_after_073755_v1.json;docs/experiments/actionable-regime-confidence/runs/20260512T074844+0800-codex-databento-gc-raw-recency-disposition-after-074424-v1/databento-gc-raw-recency-disposition-after-074424-v1/databento_gc_raw_recency_disposition_after_074424_v1.json,"R6 controls/approval absent, R5 source-panel recency absent, and R3 native-subhour remains Crisis-incomplete."
cross_market_cross_timeframe,Validate regimes across other markets and other periods/timeframes.,blocked,074424 codehost and 074447 open-data routes found 0 required files; 074844 raw GC OHLCV is post-cutoff but unlabeled.,docs/experiments/actionable-regime-confidence/runs/20260512T074424+0800-codex-public-codehost-source-route-probe-after-074116-v1/public-codehost-source-route-probe-after-074116-v1/public_codehost_source_route_probe_after_074116_v1.json;docs/experiments/actionable-regime-confidence/runs/20260512T074447+0800-codex-open-data-catalog-source-route-probe-after-074116-v1/open-data-catalog-source-route-probe-after-074116-v1/open_data_catalog_source_route_probe_after_074116_v1.json;docs/experiments/actionable-regime-confidence/runs/20260512T074844+0800-codex-databento-gc-raw-recency-disposition-after-074424-v1/databento-gc-raw-recency-disposition-after-074424-v1/databento_gc_raw_recency_disposition_after_074424_v1.json,No accepted MainRegimeV2 source export exists to validate across the requested axes.
provider_breadth,"Use IBKR, TradingViewRemix, yfinance, and Kraken where available.",partial,provider_summary=entry_model:2/2 ready | live_runtime:1/3 ready | local_runtime:1/2 ready | market_data:1/7 ready,docs/experiments/actionable-regime-confidence/runs/20260512T074341+0800-codex-current-objective-audit-after-074116-v1/current-objective-audit-after-074116-v1/current_objective_audit_after_074116_v1.json,"Provider readback exists, but provider breadth does not replace missing source/control acceptance."
auto_quant_operated,Operate Auto-Quant rather than inferring from docs.,partial,auto_quant_status=dependency_ready_data_ready,docs/experiments/actionable-regime-confidence/runs/20260512T074341+0800-codex-current-objective-audit-after-074116-v1/current-objective-audit-after-074116-v1/current_objective_audit_after_074116_v1.json,Selected-data AutoQuant promotion remains blocked until source/control unlock.
filter_pre_bayes_bbn_catboost_execution_tree,"Run through filter/Pre-Bayes, BBN, CatBoost/path-ranking, and execution tree.",blocked,"workflow_blocking_reason=user_selected_historical_data_missing; path_ranking={'calibrated_rows': 0, 'mature_rows': 0, 'rows': 1}",docs/experiments/actionable-regime-confidence/runs/20260512T074341+0800-codex-current-objective-audit-after-074116-v1/current-objective-audit-after-074116-v1/current_objective_audit_after_074116_v1.json,Downstream promotion remains forbidden before source/control unlock and canonical merge.
r6_owner_export_or_approval,Acquire verifier-native R6 owner/export rows with matched controls or explicit approval.,blocked,"r6_root_exists=False; approval={'exists': True, 'approval_present': False, 'canonical_merge_allowed_now': False, 'downstream_rerun_allowed_now': False, 'flip_controls_accepted_under_current_contract': False, 'positive_spoof_rows': 5182, 'flip_rows': 1553, 'matched_groups': 1313}",/private/tmp/r6_oystacher_approval_decision_package_v1.json.valid,Approval package is present but non-approving; R6 owner/export root is absent.
r5_post_cutoff_source_panel,Acquire post-2026-01-30 R5 source-panel rows matching source-panel schema.,blocked,r5_root_exists=False; databento_post_cutoff_raw_ohlcv=True; source_label_columns=False,docs/experiments/actionable-regime-confidence/runs/20260512T074844+0800-codex-databento-gc-raw-recency-disposition-after-074424-v1/databento-gc-raw-recency-disposition-after-074424-v1/databento_gc_raw_recency_disposition_after_074424_v1.json,Databento GC raw OHLCV is not source-owned MainRegimeV2 label evidence.
r3_crisis_native_subhour,Acquire verifier-native Crisis-capable R3 native-subhour MainRegimeV2 labels.,blocked,r3_root_exists=True; r3_gate=r3_possible_file_manual_review_after_073755_v1=tsie_existing_native_subhour_root_non_promoting_no_unlock,docs/experiments/actionable-regime-confidence/runs/20260512T074116+0800-codex-r3-possible-file-manual-review-after-073755-v1/r3-possible-file-manual-review-after-073755-v1/r3_possible_file_manual_review_after_073755_v1.json,Existing R3 files are TSIE-derived and Crisis has no direct source taxonomy class.
multi_agent_append_only,Do not disturb concurrent multi-agent board work.,covered,this audit is additive; Current Cursor is not edited; no target roots mutated,docs/experiments/actionable-regime-confidence/runs/20260512T075206+0800-codex-current-objective-audit-after-074844-v1,
goal_completion_update_goal,Only report completion and call update_goal when all explicit requirements are covered.,blocked,strict_full_objective=false; update_goal=false,docs/experiments/actionable-regime-confidence/runs/20260512T075206+0800-codex-current-objective-audit-after-074844-v1,At least one required checklist row is blocked; update_goal must not be called.
